"title","rating","replacement_cost","n","inventory_value","inventory_pct"
"Dirty Ace","NC-17","29.99","5","149.95","0.16189599809719568500"
"Jericho Mulan","NC-17","29.99","5","149.95","0.16189599809719568500"
"Patient Sister","NC-17","29.99","5","149.95","0.16189599809719568500"
"Poseidon Forever","PG-13","29.99","5","149.95","0.16189599809719568500"
"Virgin Daisy","PG-13","29.99","5","149.95","0.16189599809719568500"
"Berets Agent","PG-13","24.99","6","149.94","0.16188520143176739600"
"Bride Intrigue","G","24.99","6","149.94","0.16188520143176739600"
"Celebrity Horn","PG-13","24.99","6","149.94","0.16188520143176739600"
"Fool Mockingbird","PG","24.99","6","149.94","0.16188520143176739600"
"Lola Agent","PG","24.99","6","149.94","0.16188520143176739600"
"Sea Virgin","PG","24.99","6","149.94","0.16188520143176739600"
"Secrets Paradise","G","24.99","6","149.94","0.16188520143176739600"
"Show Lord","PG-13","24.99","6","149.94","0.16188520143176739600"
"Whisperer Giant","PG-13","24.99","6","149.94","0.16188520143176739600"
"Wonka Sea","NC-17","24.99","6","149.94","0.16188520143176739600"
"Egg Igby","PG","20.99","7","146.93","0.15863540513785236400"
"Goldmine Tycoon","R","20.99","7","146.93","0.15863540513785236400"
"Grapes Fury","G","20.99","7","146.93","0.15863540513785236400"
"Redemption Comforts","NC-17","20.99","7","146.93","0.15863540513785236400"
"Splendor Patton","R","20.99","7","146.93","0.15863540513785236400"
"Telegraph Voyage","PG","20.99","7","146.93","0.15863540513785236400"
"Airplane Sierra","PG-13","28.99","5","144.95","0.15649766538305111400"
"Fury Murder","PG-13","28.99","5","144.95","0.15649766538305111400"
"Sagebrush Clueless","G","28.99","5","144.95","0.15649766538305111400"
"Zoolander Fiction","R","28.99","5","144.95","0.15649766538305111400"
"Creatures Shakespeare","NC-17","23.99","6","143.94","0.15540720217479391100"
"Hellfighters Sierra","PG","23.99","6","143.94","0.15540720217479391100"
"High Encino","R","23.99","6","143.94","0.15540720217479391100"
"Horn Working","PG","23.99","6","143.94","0.15540720217479391100"
"Vacation Boondock","R","23.99","6","143.94","0.15540720217479391100"
"Bound Cheaper","PG","17.99","8","143.92","0.15538560884393733200"
"Butterfly Chocolat","G","17.99","8","143.92","0.15538560884393733200"
"Coldblooded Darling","G","27.99","5","139.95","0.15109933266890654300"
"Confused Candles","PG-13","27.99","5","139.95","0.15109933266890654300"
"Holes Brannigan","PG","27.99","5","139.95","0.15109933266890654300"
"Manchurian Curtain","PG","27.99","5","139.95","0.15109933266890654300"
"Paycheck Wait","PG-13","27.99","5","139.95","0.15109933266890654300"
"Tramp Others","PG","27.99","5","139.95","0.15109933266890654300"
"United Pilot","R","27.99","5","139.95","0.15109933266890654300"
"Downhill Enough","G","19.99","7","139.93","0.15107773933804996500"
"Wonderland Christmas","PG","19.99","7","139.93","0.15107773933804996500"
"Badman Dawn","R","22.99","6","137.94","0.14892920291782042500"
"Borrowers Bedazzled","G","22.99","6","137.94","0.14892920291782042500"
"Doors President","NC-17","22.99","6","137.94","0.14892920291782042500"
"Earring Instinct","R","22.99","6","137.94","0.14892920291782042500"
"Gentlemen Stage","NC-17","22.99","6","137.94","0.14892920291782042500"
"Haunting Pianist","R","22.99","6","137.94","0.14892920291782042500"
"Jekyll Frogmen","PG","22.99","6","137.94","0.14892920291782042500"
"Orient Closer","R","22.99","6","137.94","0.14892920291782042500"
"Panther Reds","NC-17","22.99","6","137.94","0.14892920291782042500"
"Queen Luke","PG","22.99","6","137.94","0.14892920291782042500"
"Spice Sorority","NC-17","22.99","6","137.94","0.14892920291782042500"
"Voice Peach","PG-13","22.99","6","137.94","0.14892920291782042500"
"Working Microcosmos","R","22.99","6","137.94","0.14892920291782042500"
"Apache Divine","NC-17","16.99","8","135.92","0.14674827650130601900"
"Dogma Family","G","16.99","8","135.92","0.14674827650130601900"
"Primary Glass","G","16.99","8","135.92","0.14674827650130601900"
"Rugrats Shakespeare","PG-13","16.99","8","135.92","0.14674827650130601900"
"Cleopatra Devil","PG-13","26.99","5","134.95","0.14570099995476197200"
"Expecations Natural","PG-13","26.99","5","134.95","0.14570099995476197200"
"Gorgeous Bingo","R","26.99","5","134.95","0.14570099995476197200"
"Groundhog Uncut","PG-13","26.99","5","134.95","0.14570099995476197200"
"Mission Zoolander","PG-13","26.99","5","134.95","0.14570099995476197200"
"Reap Unfaithful","PG-13","26.99","5","134.95","0.14570099995476197200"
"Reunion Witches","R","26.99","5","134.95","0.14570099995476197200"
"Satisfaction Confidential","G","26.99","5","134.95","0.14570099995476197200"
"War Notting","G","26.99","5","134.95","0.14570099995476197200"
"Weekend Personal","R","26.99","5","134.95","0.14570099995476197200"
"Worker Tarzan","R","26.99","5","134.95","0.14570099995476197200"
"Worst Banger","PG","26.99","5","134.95","0.14570099995476197200"
"Basic Easy","PG-13","18.99","7","132.93","0.14352007353824756500"
"English Bulworth","PG-13","18.99","7","132.93","0.14352007353824756500"
"None Spiking","NC-17","18.99","7","132.93","0.14352007353824756500"
"Titanic Boondock","R","18.99","7","132.93","0.14352007353824756500"
"Brooklyn Desert","R","21.99","6","131.94","0.14245120366084694000"
"Chasing Fight","PG","21.99","6","131.94","0.14245120366084694000"
"Christmas Moonshine","NC-17","21.99","6","131.94","0.14245120366084694000"
"Congeniality Quest","PG-13","21.99","6","131.94","0.14245120366084694000"
"Driving Polish","NC-17","21.99","6","131.94","0.14245120366084694000"
"Falcon Volume","PG-13","21.99","6","131.94","0.14245120366084694000"
"Freddy Storm","NC-17","21.99","6","131.94","0.14245120366084694000"
"Homicide Peach","PG-13","21.99","6","131.94","0.14245120366084694000"
"Independence Hotel","NC-17","21.99","6","131.94","0.14245120366084694000"
"Karate Moon","PG-13","21.99","6","131.94","0.14245120366084694000"
"Pinocchio Simon","PG","21.99","6","131.94","0.14245120366084694000"
"Sundance Invasion","NC-17","21.99","6","131.94","0.14245120366084694000"
"Vanishing Rocky","NC-17","21.99","6","131.94","0.14245120366084694000"
"Confessions Maguire","PG-13","25.99","5","129.95","0.14030266724061740100"
"Grinch Massage","R","25.99","5","129.95","0.14030266724061740100"
"Idaho Love","PG-13","25.99","5","129.95","0.14030266724061740100"
"Peak Forever","PG","25.99","5","129.95","0.14030266724061740100"
"Pure Runner","NC-17","25.99","5","129.95","0.14030266724061740100"
"Sleepy Japanese","PG","25.99","5","129.95","0.14030266724061740100"
"Sleuth Orient","NC-17","25.99","5","129.95","0.14030266724061740100"
"Summer Scarface","G","25.99","5","129.95","0.14030266724061740100"
"Shock Cabin","PG-13","15.99","8","127.92","0.13811094415867470500"
"Amadeus Holy","PG","20.99","6","125.94","0.13597320440387345500"
"Encounters Curtain","NC-17","20.99","6","125.94","0.13597320440387345500"
"Escape Metropolis","R","20.99","6","125.94","0.13597320440387345500"
"Excitement Eve","G","20.99","6","125.94","0.13597320440387345500"
"Grease Youth","G","20.99","6","125.94","0.13597320440387345500"
"Neighbors Charade","R","20.99","6","125.94","0.13597320440387345500"
"Packer Madigan","PG-13","20.99","6","125.94","0.13597320440387345500"
"Pirates Roxanne","PG","20.99","6","125.94","0.13597320440387345500"
"Shanghai Tycoon","PG","20.99","6","125.94","0.13597320440387345500"
"Shawshank Bubble","PG","20.99","6","125.94","0.13597320440387345500"
"Sugar Wonka","PG","20.99","6","125.94","0.13597320440387345500"
"Troopers Metal","R","20.99","6","125.94","0.13597320440387345500"
"Chill Luck","PG","17.99","7","125.93","0.13596240773844516600"
"Money Harold","PG","17.99","7","125.93","0.13596240773844516600"
"Pelican Comforts","PG","17.99","7","125.93","0.13596240773844516600"
"Chicken Hellfighters","PG","24.99","5","124.95","0.13490433452647283000"
"Core Suit","PG-13","24.99","5","124.95","0.13490433452647283000"
"Northwest Polish","PG","24.99","5","124.95","0.13490433452647283000"
"Tuxedo Mile","R","24.99","5","124.95","0.13490433452647283000"
"Arabia Dogma","NC-17","29.99","4","119.96","0.12951679847775654800"
"Blindness Gun","PG-13","29.99","4","119.96","0.12951679847775654800"
"Bonnie Holocaust","G","29.99","4","119.96","0.12951679847775654800"
"Hollywood Anonymous","PG","29.99","4","119.96","0.12951679847775654800"
"Jeepers Wedding","R","29.99","4","119.96","0.12951679847775654800"
"Lawless Vision","G","29.99","4","119.96","0.12951679847775654800"
"Sassy Packer","G","29.99","4","119.96","0.12951679847775654800"
"Uncut Suicides","PG-13","29.99","4","119.96","0.12951679847775654800"
"West Lion","G","29.99","4","119.96","0.12951679847775654800"
"Cheaper Clyde","G","23.99","5","119.95","0.12950600181232825900"
"Joon Northwest","NC-17","23.99","5","119.95","0.12950600181232825900"
"Lawrence Love","NC-17","23.99","5","119.95","0.12950600181232825900"
"Nemo Campus","NC-17","23.99","5","119.95","0.12950600181232825900"
"Roots Remember","PG-13","23.99","5","119.95","0.12950600181232825900"
"Silence Kane","R","23.99","5","119.95","0.12950600181232825900"
"Taxi Kick","PG-13","23.99","5","119.95","0.12950600181232825900"
"Tomatoes Hellfighters","PG","23.99","5","119.95","0.12950600181232825900"
"Color Philadelphia","G","19.99","6","119.94","0.12949520514689997000"
"National Story","NC-17","19.99","6","119.94","0.12949520514689997000"
"Racer Egg","NC-17","19.99","6","119.94","0.12949520514689997000"
"Sinners Atlantis","PG-13","19.99","6","119.94","0.12949520514689997000"
"Straight Hours","R","19.99","6","119.94","0.12949520514689997000"
"Sunrise League","PG-13","19.99","6","119.94","0.12949520514689997000"
"Wardrobe Phantom","G","19.99","6","119.94","0.12949520514689997000"
"Cat Coneheads","G","14.99","8","119.92","0.12947361181604339100"
"Expendable Stallion","PG","14.99","8","119.92","0.12947361181604339100"
"Juggler Hardly","PG-13","14.99","8","119.92","0.12947361181604339100"
"Trip Newton","PG-13","14.99","8","119.92","0.12947361181604339100"
"Alamo Videotape","G","16.99","7","118.93","0.12840474193864276600"
"Detective Vision","PG-13","16.99","7","118.93","0.12840474193864276600"
"Massacre Usual","R","16.99","7","118.93","0.12840474193864276600"
"Dying Maker","PG","28.99","4","115.96","0.12519813230644089100"
"Element Freddy","NC-17","28.99","4","115.96","0.12519813230644089100"
"Forever Candidate","NC-17","28.99","4","115.96","0.12519813230644089100"
"Fugitive Maguire","R","28.99","4","115.96","0.12519813230644089100"
"Loser Hustler","PG","28.99","4","115.96","0.12519813230644089100"
"Magnolia Forrester","PG-13","28.99","4","115.96","0.12519813230644089100"
"Monster Spartacus","PG","28.99","4","115.96","0.12519813230644089100"
"Rider Caddyshack","PG","28.99","4","115.96","0.12519813230644089100"
"Side Ark","G","28.99","4","115.96","0.12519813230644089100"
"Streak Ridgemont","PG-13","28.99","4","115.96","0.12519813230644089100"
"Casablanca Super","G","22.99","5","114.95","0.12410766909818368800"
"French Holiday","PG","22.99","5","114.95","0.12410766909818368800"
"Hope Tootsie","NC-17","22.99","5","114.95","0.12410766909818368800"
"Human Graffiti","NC-17","22.99","5","114.95","0.12410766909818368800"
"Wash Heavenly","R","22.99","5","114.95","0.12410766909818368800"
"Willow Tracy","R","22.99","5","114.95","0.12410766909818368800"
"Dream Pickup","PG","18.99","6","113.94","0.12301720588992648400"
"Drifter Commandments","PG-13","18.99","6","113.94","0.12301720588992648400"
"Flying Hook","NC-17","18.99","6","113.94","0.12301720588992648400"
"Inch Jet","NC-17","18.99","6","113.94","0.12301720588992648400"
"Jumping Wrath","NC-17","18.99","6","113.94","0.12301720588992648400"
"Others Soup","PG","18.99","6","113.94","0.12301720588992648400"
"Outfield Massacre","NC-17","18.99","6","113.94","0.12301720588992648400"
"Rage Games","R","18.99","6","113.94","0.12301720588992648400"
"Liberty Magnificent","G","27.99","4","111.96","0.12087946613512523400"
"Madre Gables","PG-13","27.99","4","111.96","0.12087946613512523400"
"Vietnam Smoochy","PG-13","27.99","4","111.96","0.12087946613512523400"
"Atlantis Cause","G","15.99","7","111.93","0.12084707613884036700"
"Pocus Pulp","NC-17","15.99","7","111.93","0.12084707613884036700"
"Snatch Slipper","PG","15.99","7","111.93","0.12084707613884036700"
"Steel Santa","NC-17","15.99","7","111.93","0.12084707613884036700"
"Confidential Interview","NC-17","13.99","8","111.92","0.12083627947341207800"
"Deer Virginian","NC-17","13.99","8","111.92","0.12083627947341207800"
"Frost Head","PG","13.99","8","111.92","0.12083627947341207800"
"Scalawag Duck","NC-17","13.99","8","111.92","0.12083627947341207800"
"Spy Mile","PG-13","13.99","8","111.92","0.12083627947341207800"
"Sweethearts Suspects","G","13.99","8","111.92","0.12083627947341207800"
"Alabama Devil","PG-13","21.99","5","109.95","0.11870933638403911700"
"Attacks Hate","PG-13","21.99","5","109.95","0.11870933638403911700"
"Bull Shawshank","NC-17","21.99","5","109.95","0.11870933638403911700"
"Instinct Airport","PG","21.99","5","109.95","0.11870933638403911700"
"Mars Roman","NC-17","21.99","5","109.95","0.11870933638403911700"
"Betrayed Rear","NC-17","26.99","4","107.96","0.11656079996380957700"
"Bikini Borrowers","NC-17","26.99","4","107.96","0.11656079996380957700"
"Cincinatti Whisperer","NC-17","26.99","4","107.96","0.11656079996380957700"
"Dangerous Uptown","PG","26.99","4","107.96","0.11656079996380957700"
"Dragon Squad","NC-17","26.99","4","107.96","0.11656079996380957700"
"Mask Peach","NC-17","26.99","4","107.96","0.11656079996380957700"
"Meet Chocolate","G","26.99","4","107.96","0.11656079996380957700"
"Reef Salute","NC-17","26.99","4","107.96","0.11656079996380957700"
"Stampede Disturbing","R","26.99","4","107.96","0.11656079996380957700"
"Agent Truman","PG","17.99","6","107.94","0.11653920663295299900"
"American Circus","R","17.99","6","107.94","0.11653920663295299900"
"Disciple Mother","PG","17.99","6","107.94","0.11653920663295299900"
"Lebowski Soldiers","PG-13","17.99","6","107.94","0.11653920663295299900"
"Musketeers Wait","PG","17.99","6","107.94","0.11653920663295299900"
"Outlaw Hanky","PG-13","17.99","6","107.94","0.11653920663295299900"
"Perfect Groove","PG-13","17.99","6","107.94","0.11653920663295299900"
"Baked Cleopatra","G","20.99","5","104.95","0.11331100366989454600"
"Bear Graceland","R","20.99","5","104.95","0.11331100366989454600"
"Coast Rainbow","PG","20.99","5","104.95","0.11331100366989454600"
"Destiny Saturday","G","20.99","5","104.95","0.11331100366989454600"
"Mermaid Insects","NC-17","20.99","5","104.95","0.11331100366989454600"
"Mother Oleander","R","20.99","5","104.95","0.11331100366989454600"
"Moulin Wake","PG-13","20.99","5","104.95","0.11331100366989454600"
"Pride Alamo","NC-17","20.99","5","104.95","0.11331100366989454600"
"Durham Panky","R","14.99","7","104.93","0.11328941033903796700"
"Effect Gladiator","PG","14.99","7","104.93","0.11328941033903796700"
"Fiction Christmas","PG","14.99","7","104.93","0.11328941033903796700"
"Shepherd Midsummer","R","14.99","7","104.93","0.11328941033903796700"
"Tights Dawn","R","14.99","7","104.93","0.11328941033903796700"
"Bilko Anonymous","PG-13","25.99","4","103.96","0.11224213379249392100"
"Cabin Flash","NC-17","25.99","4","103.96","0.11224213379249392100"
"Mob Duffel","G","25.99","4","103.96","0.11224213379249392100"
"Teen Apollo","G","25.99","4","103.96","0.11224213379249392100"
"Invasion Cyclone","PG","12.99","8","103.92","0.11219894713078076400"
"Pulp Beverly","G","12.99","8","103.92","0.11219894713078076400"
"Swarm Gold","PG-13","12.99","8","103.92","0.11219894713078076400"
"Cause Date","R","16.99","6","101.94","0.11006120737597951400"
"Chocolat Harry","NC-17","16.99","6","101.94","0.11006120737597951400"
"Gunfight Moon","NC-17","16.99","6","101.94","0.11006120737597951400"
"Philadelphia Wife","PG-13","16.99","6","101.94","0.11006120737597951400"
"Backlash Undefeated","PG-13","24.99","4","99.96","0.10792346762117826400"
"Darkness War","NC-17","24.99","4","99.96","0.10792346762117826400"
"Glass Dying","G","24.99","4","99.96","0.10792346762117826400"
"Labyrinth League","PG-13","24.99","4","99.96","0.10792346762117826400"
"Tenenbaums Command","PG-13","24.99","4","99.96","0.10792346762117826400"
"Dragonfly Strangers","NC-17","19.99","5","99.95","0.10791267095574997500"
"Heaven Freedom","PG","19.99","5","99.95","0.10791267095574997500"
"Midnight Westward","G","19.99","5","99.95","0.10791267095574997500"
"Sweden Shining","PG","19.99","5","99.95","0.10791267095574997500"
"Clueless Bucket","R","13.99","7","97.93","0.10573174453923556800"
"Intentions Empire","PG-13","13.99","7","97.93","0.10573174453923556800"
"Jerk Paycheck","NC-17","13.99","7","97.93","0.10573174453923556800"
"Sleeping Suspects","PG-13","13.99","7","97.93","0.10573174453923556800"
"Timberland Sky","G","13.99","7","97.93","0.10573174453923556800"
"Alley Evolution","NC-17","23.99","4","95.96","0.10360480144986260700"
"Creepers Kane","NC-17","23.99","4","95.96","0.10360480144986260700"
"Express Lonely","R","23.99","4","95.96","0.10360480144986260700"
"Hook Chariots","G","23.99","4","95.96","0.10360480144986260700"
"Pickup Driving","G","23.99","4","95.96","0.10360480144986260700"
"Rear Trading","NC-17","23.99","4","95.96","0.10360480144986260700"
"Siege Madre","R","23.99","4","95.96","0.10360480144986260700"
"Spirit Flintstones","R","23.99","4","95.96","0.10360480144986260700"
"Twisted Pirates","PG","23.99","4","95.96","0.10360480144986260700"
"Wanda Chamber","PG-13","23.99","4","95.96","0.10360480144986260700"
"Angels Life","G","15.99","6","95.94","0.10358320811900602900"
"Birds Perdition","G","15.99","6","95.94","0.10358320811900602900"
"Candles Grapes","NC-17","15.99","6","95.94","0.10358320811900602900"
"Carol Texas","PG","15.99","6","95.94","0.10358320811900602900"
"Forrest Sons","R","15.99","6","95.94","0.10358320811900602900"
"Harper Dying","G","15.99","6","95.94","0.10358320811900602900"
