id,name,type,city,subcountry,country
190,agency for rational energy use and ecology,priv,kiev,,ukraine
191,agency for the promotion of european research,sci,rome,,italy
192,agency of development initiatives,ngo,bishkek,,kyrgyzstan
193,agl,priv,sydney,,australia
194,agora,priv,santa clara,,united states
195,agrhymet,sci,niamey,,niger
196,agribusiness support fund,priv,lahore,,pakistan
197,agricultural commodities supply,priv,addis ababa,,ethiopia
198,agricultural development institute,priv,stutterheim,,south africa
199,agricultural economics society,ngo,banbury,,united kingdom
200,agricultural leadership foundation of hawaii,ngo,kailua,,united states
201,agricultural plant biotechnology association,ngo,bogota,,colombia
202,agricultural research council,sci,pretoria,,south africa
203,agriculture chamber of new caledonia,ngo,noumea,,new caledonia
204,agrimat,priv,legon,,ghana
205,agrinergy ltd,priv,london,,united kingdom
206,agritech,priv,singapore,,singapore
207,agriterra,ngo,arnhem,,netherlands
208,agrivet,priv,Antananarivo,,Madagascar
209,agro chamber,ngo,guatemala city,,guatemala
210,agrocampus ouest,acad,rennes,,france
211,agro-ecotourism association of wild cashews - eben nada,ngo,chama,,panama
212,agro-fishing eco-tourist association of quebro,ngo,quebro,,panama
213,agrofrontera,ngo,guaybin,,dominican republic
214,agroicone,priv,sao paulo,,brazil
215,agronomes et vrinaires sans frontires,ngo,lyon,,france
216,agronomic research for development,sci,paris,,france
217,agronomy and veterinary institute hassan ii,acad,rabat,,morocco
218,agroparistech,acad,paris,,france
219,agropolis institute,sci,montpellier,,france
220,agrotour cameroun,ngo,douala,,cameroon
221,agua blanca,subgov,agua blanca,,ecuador
222,agua inc.,priv,serekunda,,gambia
223,agua para el pueblo,ngo,tegucigalpa,,honduras
224,aguaclara llc,priv,washington dc,,united states
225,agueda,subgov,aguead,,portugal
226,ahfad university for women,acad,omdurman,,sudan
227,ahmedabad bus rapid transit system,priv,usmanpura,,india
228,ahrend,priv,sint-oedenrode,,netherlands
229,aid and actions,ngo,geneva,,switzerland
230,aid for rural education access initiative- areai,ngo,new york city,,united states
231,aid for trade logistics,ngo,kingereka,,tanzania
232,aid green,priv,suwon,,south korea
233,aida,ngo,san francisco,,united states
234,aidafrica,ngo,La Crescenta,,California
235,aiders international,ngo,montreal,,canada
236,aidhub international ltd,ngo,melbourne,,australia
237,aids association,ngo,marrakesh,,morocco
238,aids law project,ngo,philadelphia,,united states
239,aids study center in rio grande do sul,sci,porto alegro,,brazil
240,aidsportal,ngo,london,,united kingdom
241,aiesec international,ngo,montreal,,canada
242,aifo,ngo,bologna,,italy
243,aikagroup,priv,helsinki,,finland
244,aimst university,acad,Bedong,,Malaysia
245,aip foundation,ngo,lisbon,,portugal
246,air india,priv,new delhi,,india
247,air mariutus,priv,port louis,,mariutus
248,air namibia,priv,windhoek,,namibia
249,air new zealand,priv,auckland,,new zealand
250,air senegal,priv,dakar,,senegal
251,air transport action group,priv,geneva,,switzerland
252,airbus,priv,lieden,,netherlands
253,airport group of the south of mexico,priv,mexico city,,mexico
254,airports council international,ngo,montreal,,canada
255,airtel,priv,new delhi,,india
256,aisbl world ocean network,ngo,brussels,,belgium
257,aitutaki conservation trust,ngo,home,,cook islands
258,aitutaki island government,subgov,arutanga,,cook islands
259,ajedui,ngo,cotonou,,benin
260,ajuda de desenvolvimento de povo para povo,ngo,matola,,mozambique
261,akaa project,ngo,wayland (ma),,united states
262,akatu institute,ngo,sao paulo,,brazil
263,akhil bhartiya magasargiya vikas mandal,ngo,buldhana,,india
264,akumal ecological center,ngo,akumal,,mexico
265,akwapim mountain women's forum,ngo,accra,,ghana
266,akzonobel,priv,amsterdam,,netherlands
267,al farabi kazakh national university,acad,almaty,,kazakhstan
268,al mabarrat association,ngo,ghobeiry,,lebanon
269,al majd rehabilitation,priv,giza,,egypt
270,alaska native tribal health consortium,ngo,anchorage,,united states
271,alaska permanent fund corporation,priv,juneau,,united states
272,albania,natgov,tirana,,albania
273,albawsala,ngo,tunis,,tunisia
274,albemarle,priv,charlotte,,united states
275,albertine rift conservation society,ngo,kampala,,uganda
276,alberto hurtado university,acad,santiago,,chile
277,albion farms and fisheries,priv,richmond,,canada
278,albion fisheries research centre,acad,albion,,mauritius
279,alcacer do sal,subgov,alcacer do sal,,portugal
280,alcalda de barahona,subgov,barahona,,dominican republic
281,alcaldía arroyo barril,subgov,arroyo barril,,dominican republic
282,alcaldia de rincon del mar,subgov,rincon del mar,,colombia
283,"alchem field services, inc.",priv,oklahoma city,,united states
284,alecta,priv,stockholm,,sweden
285,alert youth fund,ngo,amsterdam,,netherlands
286,aleut international association,ngo,anchorage,,united states
287,alexander technological educational institute of thessaloniki,acad,thessaloniki,,greece
288,alexander von humboldt biological resources research institute,sci,bogota,,colombia
289,alexandria university,acad,alexandria,,egypt
290,alfred p. sloan foundation,ngo,new york,,united states
291,alfred state college,acad,alfred,,united states
292,alfred wegener institute,sci,bremerhaven,,germany
293,algeria,natgov,algiers,,algeria
294,alkifah co,priv,al-ahsa,,saudi arabia
295,all india association for educational research,ngo,pondicherry,,india
296,all india institute of local self government,ngo,mumbai,,india
297,all-china environment federation,ngo,beijing,,china
298,all-china youth federation,ngo,beijing,,china
299,allen & overy,priv,london,,united kingdom
300,allergan,priv,dublin,,ireland
301,allgemeiner deutscher automobil-club e.v.,priv,munich,,germany
302,alliance for energy efficiency,ngo,mexico city,,mexico
303,alliance for financial inclusion,ngo,kuala lumpur,,malaysia
304,alliance for global water adaptation,ngo,stockholm,,sweden
305,alliance for responsible mining,ngo,envigado,,colombia
306,alliance for rural electrification,ngo,brussels,,belgium
307,alliance for zero extinction,ngo,the plains,,united states
308,alliance maghreb pour l'eau,ngo,casablanca,,morocoo
309,alliance of automobile manufacturers,ngo,washington dc,,united states
310,alliance of central asian mountain communities,ngo,bishkek,,kyrgyzstan
311,alliance of civil society organizations for clean energy access,ngo,london,,united kingdom
312,alliance of independent journalists,ngo,jakarta,,indonesia
313,alliance of independent travel traders,ngo,berlin,,germany
314,alliance of quebec professional fishermen,ngo,quebec,,canada
315,alliance of small island states,intergov,new york city,,united states
316,alliance to save energy,ngo,washington dc,,united states
317,allianz se,priv,munich,,germany
318,alligator head foundation,ngo,port antonio,,jamaica
319,all-ukrainian ecological league,ngo,kiev,,ukraine
320,almae,priv,Marcoussis,,France
321,almeida,subgov,almeida,,portugal
322,alnitak marine research and education center,ngo,madrid,,spain
323,alphazulu advocates,ngo,hounslow,,united kingdom
324,alpine convention,intergov,innsbruck,,austria
325,altai republic of the russian federation,subgov,gorno-altaysk,,russia
326,alternatives africa,ngo,nairobi,,kenya
327,althelia ecosphere,priv,london,,united kingdom
328,altifrem.org,ngo,nesoddtangen,,norway
329,altis-catholic university of the sacred heart,acad,milan,,italy
330,altria,priv,richmond,,united states
331,"alvan ikoku federal college of education, owerri",acad,owerri,,nigeria
332,amambay,subgov,Pedro Juan Caballero,,paraguay
333,amatela,ngo,tela,,honduras
334,amateur fishing club association,ngo,san jose,,costa rica
335,amathus holidays,priv,london,,united kingdom
336,amazon,priv,seattle,,united states
337,amazon university of pando cobija,acad,cobija,,bolivia
338,amazonas sustainability foundation,ngo,manaus,,brazil
339,ambev,priv,sao paulo,,brazil
340,ambidextr films,priv,mumbai,,india
341,ambilital,priv,ermidas sado,,portugal
342,ambivium institute on security and cooperation,acad,washington dc,,united states
343,amel association,ngo,beirut,,lebanon
344,amend,ngo,dar es salaam,,tanzania
345,america solidaria,ngo,santiago,,chile
346,american academy of pediatrics,ngo,itasca,,united states
347,american association for the advancement of science,ngo,washington dc,,united states
348,american association of geographers,ngo,washington dc,,united states
349,american association of port authorities,ngo,alexandria,,united states
350,american bar association,ngo,chicago,,united states
351,american chemical society,ngo,washington dc,,united states
352,american chemistry council,ngo,washington dc,,united states
353,american college & university presidents climate commitment,ngo,boston,,united states
354,american college of nurse midwives,ngo,silver spring,,united states
355,american college of obstetricians and gynecologists,ngo,washington dc,,united states
356,american corner abuja,ngo,abuja,,nigeria
357,american council on renewable energy,ngo,washington dc,,united states
358,american councils for international education,ngo,washington dc,,united states
359,american feline practitioners association,ngo,Hillsborough,,united states
360,american forest and paper association,ngo,washington dc,,united states
361,american heart association,ngo,dallas,,united states
362,american institute of chemical engineers,ngo,new york city,,united states
363,american language center of marrakesh,ngo,marrakesh,,morocco
364,american microscopical society,ngo,mount berry,,united states
365,american petroleum institute,ngo,washington dc,,united states
366,american physiological society,ngo,rockville,,united states
367,american portland cement alliance,ngo,washington dc,,united states
368,american samoa,subgov,pago pago,,united states
369,american society of naturalists,ngo,davis,,united states
370,american society of plant biologists,ngo,derwood,,united states
371,american university in cairo,acad,new cairo,,egypt
372,american university of beirut,acad,beirut,,lebanon
373,american university of iraq,acad,sulaymaniyah,,iraq
374,american university of nigeria,ngo,yola,,nigeria
375,amigos de sian ka'an,ngo,cancun,,mexico
376,amrita sree,ngo,kollam,,india
377,amstein + walthert,priv,chur,,switzerland
378,amsterdam,subgov,amsterdam,,netherlands
379,amsterdam university of applied sciences,acad,amsterdam,,netherlands
380,an taisce,ngo,dublin,,ireland
381,ana national water agency,priv,brasilia,,brazil
382,anaadi foundation,ngo,palani,,india
383,anambra state,subgov,awka,,nigeria
384,anatoliki sa,ngo,thermi,,greece
385,anatomical society of great britain and ireland,ngo,london,,united kingdom
386,andalusia,subgov,seville,,spain
387,andean community,intergov,lima,,peru
388,andean development corporation,intergov,caracas,,venezuela
389,andean education and promotion center,ngo,cusco,,peru
390,andean mountain association,ngo,athens,,united states
391,andhra pradesh,subgov,hyderabad,,india
392,andorra,natgov,andorra la vella,,andorra
393,anepap,ngo,bellavista,,peru
394,anglia ruskin university,acad,cambridge,,united kingdom
395,anglo american plc,priv,london,,united kingdom
396,angola,natgov,luanda,,angola
397,anguilla,subgov,the valley,,united kingdom
398,anhembi morumbi university,acad,sao paulo,,brazil
399,anima institute,sci,joinville,,brazil
400,animal-welfare-institute,ngo,washington dc,,united states
401,ankara university,acad,ankara,,turkey
402,annakshetra foundation trust,ngo,jaipur,,india
403,annemasse agglo,subgov,annemasse,,france
404,annual reviews,ngo,palo alto,,united states
405,"anova food, llc",priv,tampa,,united states
406,antarctic climate and ecosystems co-operative research centre,sci,hobart,,australia
407,antarctic province of chile,subgov,puerto williams,,chile
408,anthropocene institute,sci,palo alto,,united states
409,antigua and barbuda,natgov,st. john's,,antigua and barbuda
410,antwerp,subgov,antwerp,,belgium
411,anupam ghosh of asian marine conservation association (amca),sci,kolkata,,india
412,anyang university,acad,anyang,,south korea
413,aosis,intergov,new york city,,united states
414,ap,priv,new york city,,united states
415,ap7,priv,stockholm,,sweden
416,ape alliance,ngo,stroud,,united kingdom
417,apesca,ngo,san pedro sula,,honduras
418,apoteket ab,priv,stockholm,,sweden
419,applied and industrial mathematical society,ngo,paris,,france
420,appropriate rural technology institute,ngo,Maharashtra,,India
421,aprender,ngo,florianopolis,,brazil
422,april,priv,sao paulo,,brazil
423,aprodein,ngo,somoto,,nicaragua
424,aprovecho research center,sci,cotton grove,,united states
425,apru,ngo,hong kong,,china
426,aqal investing,priv,munich,,germany
427,aqua publica europea,ngo,brussels,,belgium
428,aquafed - the international federation of private water operators,ngo,paris,,france
429,aquafil,priv,arco,,italy
430,aquamarine foundation,sci,buenos aires,,argentina
431,aquameridian,ngo,hong kong,,china
432,aquamor,priv,harare,,zimbabwe
433,aquarium,priv,rio de janeiro,,brazil
434,aquarium conservation partnership,ngo,monterrey,,united states
435,aquasis,ngo,la tour-de-peilz,,switzerland
436,aquaspe ag,priv,zurich,,switzerland
437,ar now!,ngo,quezon city,,philippines
438,arab african international bank,priv,cairo,,egypt
439,arab bank of economic development in africa,intergov,khartoum,,sudan
440,arab center for the studies of arid zones and dry lands,intergov,damascus,,syria
441,arab league center for water,intergov,cairo,,egypt
442,arab network for environment & development,ngo,cairo,,egypt
443,arab office for youth and the environment,ngo,cairo,,egypt
444,arab organization of persons with disabilities,ngo,cairo,,egypt
445,arab youth union,ngo,damascus,,syria
446,arafura and timor seas expert forum,ngo,casuarina,,australia
447,aragon,subgov,zaragoza,,spain
448,arajuno road project,ngo,el puyo,,ecuafor
449,aram group,priv,capelle aan den ijssel,,netherlands
450,aramark,priv,philadelphia,,united states
451,aras group,priv,dubai,,united arab emirates
452,araucanía,subgov,temuco,,chile
453,arbor day foundation,ngo,lincoln,,united states
454,arborem,ngo,guarulhos,,brazil
455,"arcadis us, inc.",priv,london,,united kingdom
456,arcelormittal,priv,luxembourg city,,luxembourg
457,archdiocese of sao paulo charity,ngo,sao paulo,,brazil
458,archelon,ngo,athens,,greece
459,archipelago marine research,priv,victoria,,canada
460,architects hawaii,priv,honolulu,,united states
461,architecture 2030,ngo,santa fe,,united states
462,arctic and western alaska landscape conservation cooperatives,ngo,anchorage,,united states
463,arctic council,intergov,tromso,,norway
464,argentina,natgov,buenos aires,,argentina
465,argentina geoestudios,priv,cordoba,,argentina
466,argentine association of doctors for the environment,ngo,santa fe,,argentina
467,argentine biotechnology forum,ngo,buenos aires,,argentina
468,argentine birds,sci,buenos aires,,argentina
469,argentine seedling association,ngo,buenos aires,,argentina
470,argentine wildlife foundation,ngo,buenos aires,,argentina
471,argentinean environmental centre,ngo,buenos aires,,argentina
472,argentinean foundation for environment and natural resources,ngo,buenos aires,,argentina
473,argo community,sci,plouzane,,france
474,argonauta institute,ngo,ubatuba,,brazil
475,argos foundation,ngo,medellin,,colombia
476,argostoli,subgov,argostoli,,greece
477,aristotle university of thessaloniki,acad,thessaloniki,,greece
478,arizona,subgov,phoenix,,united states
479,arizona state university,acad,phoenix,,united states
480,arm of hope foundation,ngo,port harcourt,,nigeria
481,arm technology,priv,cambridge,,united kingdom
482,armada dominicana,natgov,santo domingo,,dominican republic
483,armajaro,priv,london,,united kingdom
484,armateurs de france,ngo,paris,,france
485,armenia,natgov,yerevan,,armenia
486,armenian women for health and a healthy environment,ngo,yerevan,,armenia
487,arnergy,priv,st. victoria island,,lagos
488,arno atoll,subgov,majuro,,marshall islands
489,arroyo barril,subgov,arroyo barril,,dominican republic
490,ars energy,priv,boninne,,belgium
491,artisan fishermen's cooperative of tarcoles,ngo,tarcoles,,costa rica
492,artisanal fishing web - teiapesca,ngo,curitiba,,brazil
493,artisanal gold council,ngo,victoria,,canada
494,artists project earth,ngo,upper brailes,,united kingdom
495,aruba,natgov,oranjestad,,aruba
496,aruba airport authority,priv,oranjestad,,aruba
497,aruba birdlife conservation,ngo,oranjestad,,aruba
498,aruba centre of excellence for the sustainable development of sids,ngo,oranjestad,,aruba
499,aruba chamber of commerce,ngo,oranjestad,,aruba
500,aruba tourism and hotel industry association,ngo,oranjestad,,aruba
501,aruba trade and industry association,ngo,oranjestad,,aruba
502,arunoday sarveshwari lok kalyan samiti,ngo,ujjain,,india
503,arup,priv,london,,united kingdom
504,asantys systems,priv,ottobeuren,,germany
505,ascobans,un,bonn,,germany
506,asean automotive federation,ngo,jakarta,,indonesia
507,asean disability forum,ngo,manila,,philippines
508,asean youth leaders association,ngo,manila,,philippines
509,ashoka,ngo,arlington (va),,united states
510,ashurst,priv,london,,united kingdom
511,asia capital venture,priv,chakan,,india
512,asia cultural artists association,ngo,hong kong,,china
513,asia dalit rights forum,ngo,new delhi,,india
514,asia foundation,ngo,san francisco,,united states
515,asia injury prevention foundation,ngo,hanoi,,vietnam
516,asia marine science education association,sci,tokyo,,japan
517,asia pacific association of educators in agriculture and environment,ngo,los banos,,philippines
518,asia pacific association of medical journal editors,ngo,manila,,philippines
519,"asia pacific forum on women, law and development",ngo,chiang mai,,thailand
520,asia pacific network for global change research,intergov,kobe,,japan
521,asia pacific university community engagement network,ngo,pulau pinang,,malaysia
522,asia productivity organization,intergov,tokyo,,japan
523,asia pulp and paper,priv,jakarta,,indonesia
524,asia regional cookstove program,ngo,Yogyakarta,,indonesia
525,asia riches international investment negotiation limited,priv,hong kong,,china
526,asia/pacific cultural centre for unesco,ngo,toyko,,japan
527,Asian Alliance of Approprate technology Practitioners,ngo,manilla,,philippines
528,asian clean fuels association,ngo,singapore,,singapore
529,asian development bank,intergov,mandaluyong,,philippines
530,asian disaster reduction center,intergov,kobe,,japan
531,asian environmental compliance and enforcement network,intergov,bangkok,,thailand
532,asian farmers association for sustainable rural development,ngo,quezon city,,philippines
533,asian institute of journalism & communication,acad,manila,,philippines
534,asian institute of technology,acad,khlong neung,,thailand
535,asian network for higher education in nuclear technology,ngo,daejeon,,south korea
536,asian ngo coalition for agrarian reform and rural development,ngo,quezon city,,philippines
537,asian pacific development corporation,priv,pampano beach,,united states
538,asian philanthropy forum,ngo,san francisco,,united states
539,asian productivity organization,intergov,toyko,,japan
540,asian regional exchange for new alternatives,ngo,seoul,,south korea
541,asian seafood improvement collaborative,ngo,singapore,,singapore
542,asian universities alternative appraisal,ngo,sapporo,,japan
543,asia-pacific cultural centre for unesco in nara,ngo,nara,,japan
544,asia-pacific economic cooperation,intergov,singapore,,singapore
545,asia-pacific network for global change research,intergov,kobe,,japan
546,asia-pacific regional network for early childhood,ngo,singapore,,singapore
547,asja ambiente italia s.p.a.,priv,rivoli,,italy
548,asociation of women professionals in the land use sector,ngo,kathmandu,,nepal
549,asopesan,ngo,san nicolas,,colombia
550,asosiasi perikanan pole and line dan hand line,priv,jakarta,,indonesia
551,aspen,subgov,aspen,,united states
552,aspen institute,ngo,washington dc,,united states
553,aspen international mountain foundation,ngo,aspen,,united states
554,associate indonesian forest concession holders,ngo,jakarta,,indonesia
555,associate of indonesian plywood producers,ngo,jakarta,,indonesia
556,associates in research and education for development,ngo,dakar,,senegal
557,association conference of evangelical churches of guatemala,ngo,guatemala city,,guatemala
558,association cooperative research center in nanosciences,sci,san sebastian,,spain
559,association for civil society development,ngo,rijeka,,croatia
560,association for diseases caused by chronic and / or environmental intoxication,ngo,rome,,italy
561,association for economic and community development assistance,ngo,n'djamena,,sabangali
562,association for emission control by catalyst,ngo,brussels,,belgium
563,association for international solidarity in asia,ngo,rome,,italy
564,association for overseas countries and territories,ngo,brussels,,belgium
565,association for protection of nature & environment - kairouan,ngo,kairouan,,tunisia
566,association for research and development of sciences,acad,lisbon,,portugal
567,association for social development,ngo,buenos aires,,argentina
568,association for sustainable human development,ngo,yerevan,,armenia
569,association for the advancement of sustainability in higher education,ngo,philadelphia,,united states
570,association for the conservation of nature in rwanda,ngo,kigali,,rwanda
571,association for the development and protection of the environment - la marsa,ngo,la marsa,,tunisia
572,association for the development of education in africa,intergov,abidjan,,cote d'ivoire
573,association for the development of mountain regions in the republic of macedonia,ngo,skopje,,macedonia
574,association for the organization and business education of women in el salvado,ngo,san vicente,,el salvador
575,association for the protection of environment & nature - ariana,ngo,ariana,,tunisia
576,association for the safeguard of the medina of gafsa,ngo,gafsa,,tunisia
577,association for the study and development of natural resources and institutions,ngo,bamako,,mali
578,association for the study of animal behavior,ngo,norwich,,united kingdom
579,"association for the use, management and conservation of the palmar mangrove",ngo,palmar,,ecuador
580,association for unification of law in africa,ngo,paris,,france
581,association helps women and children,ngo,brazzaville,,congo
582,association merterre,ngo,marseille,,france
