id,country,region,population,area (sq. mi.),pop. density (per sq. mi.),coastline (coast/area ratio),net migration,infant mortality (per 1000 births),gdp ($ per capita),literacy (%),phones (per 1000),arable (%),crops (%),other (%),climate,birthrate,deathrate,agriculture,industry,service
105,Jersey,Western Europe,91084,116,785.2,60.34,2.76,5.24,24800,,811.3,0.0,0.0,100.0,3.0,9.3,9.28,0.05,0.02,0.93
106,Jordan,Near East,5906760,92300,64.0,0.03,6.59,17.35,4300,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68
107,Kazakhstan,C.W. Of Ind. States,15233244,2717300,5.6,0.0,-3.35,29.21,6300,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547
108,Kenya,Sub-Saharan Africa,34707817,582650,59.6,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.6509999999999999
109,Kiribati,Oceania,105432,811,130.0,140.94,0.0,48.52,800,,42.7,2.74,50.68,46.58,2.0,30.65,8.26,0.08900000000000001,0.242,0.6679999999999999
110,"Korea, North",Asia (Ex. Near East),23113019,120540,191.8,2.07,0.0,24.04,1300,99.0,42.4,20.76,2.49,76.75,3.0,15.54,7.13,0.3,0.34,0.36
111,"Korea, South",Asia (Ex. Near East),48846823,98480,496.0,2.45,0.0,7.05,17800,97.9,486.1,17.18,1.95,80.87,3.0,10.0,5.85,0.033,0.40299999999999997,0.563
112,Kuwait,Near East,2418393,17820,135.7,2.8,14.18,9.95,19000,83.5,211.0,0.73,0.11,99.16,1.0,21.94,2.41,0.004,0.479,0.516
113,Kyrgyzstan,C.W. Of Ind. States,5213898,198500,26.3,0.0,-2.45,35.64,1600,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.20800000000000002,0.439
114,Laos,Asia (Ex. Near East),6368481,236800,26.9,0.0,0.0,85.22,1700,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
115,Latvia,Baltics,2274735,64589,35.2,0.82,-2.23,9.55,10200,99.8,321.4,29.67,0.47,69.86,3.0,9.24,13.66,0.04,0.261,0.6990000000000001
116,Lebanon,Near East,3874050,10400,372.5,2.16,0.0,24.52,4800,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
117,Lesotho,Sub-Saharan Africa,2022331,30355,66.6,0.0,-0.74,84.23,3000,84.8,23.7,10.87,0.13,89.0,3.0,24.75,28.71,0.163,0.44299999999999995,0.39399999999999996
118,Liberia,Sub-Saharan Africa,3042004,111370,27.3,0.52,0.0,128.87,1000,57.5,2.3,3.95,2.28,93.77,2.0,44.77,23.1,0.769,0.054000000000000006,0.177
119,Libya,Northern Africa,5900754,1759540,3.4,0.1,0.0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
120,Liechtenstein,Western Europe,33987,160,212.4,0.0,4.85,4.7,25000,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55
121,Lithuania,Baltics,3585906,65200,55.0,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
122,Luxembourg,Western Europe,474413,2586,183.5,0.0,8.97,4.81,55100,100.0,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
123,Macau,Asia (Ex. Near East),453125,28,16183.0,146.43,4.86,4.39,19400,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.001,0.07200000000000001,0.927
124,Macedonia,Eastern Europe,2050554,25333,80.9,0.0,-1.45,10.09,6700,,260.0,22.26,1.81,75.93,3.0,12.02,8.77,0.11800000000000001,0.319,0.563
125,Madagascar,Sub-Saharan Africa,18595469,587040,31.7,0.82,0.0,76.83,800,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.5589999999999999
126,Malawi,Sub-Saharan Africa,13013926,118480,109.8,0.0,0.0,103.32,600,62.7,7.9,23.38,1.49,75.13,2.0,43.13,19.33,0.342,0.158,0.499
127,Malaysia,Asia (Ex. Near East),24385858,329750,74.0,1.42,0.0,17.7,9000,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.084,0.48,0.436
128,Maldives,Asia (Ex. Near East),359008,300,1196.7,214.67,0.0,56.52,3900,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62
129,Mali,Sub-Saharan Africa,11716829,1240000,9.5,0.0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2.0,49.82,16.89,0.45,0.17,0.38
130,Malta,Western Europe,400214,316,1266.5,62.28,2.07,3.89,17700,92.8,505.0,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
131,Marshall Islands,Oceania,60422,11854,5.1,3.12,-6.04,29.45,1600,93.7,91.2,16.67,38.89,44.44,2.0,33.05,4.78,0.317,0.149,0.534
132,Martinique,Latin Amer. And Carib,436131,1100,396.5,31.82,-0.05,7.09,14400,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06,0.11,0.83
133,Mauritania,Sub-Saharan Africa,3177388,1030700,3.1,0.07,0.0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1.0,40.99,12.16,0.25,0.29,0.46
134,Mauritius,Sub-Saharan Africa,1240827,2040,608.3,8.68,-0.9,15.03,11400,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.059000000000000004,0.298,0.643
135,Mayotte,Sub-Saharan Africa,201234,374,538.1,49.52,6.78,62.4,2600,,49.7,,,,2.0,40.95,7.7,,,
136,Mexico,Latin Amer. And Carib,107449525,1972550,54.5,0.47,-4.87,20.91,9000,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.7020000000000001
137,"Micronesia, Fed. St.",Oceania,108004,702,153.9,870.66,-20.99,30.21,2000,89.0,114.8,5.71,45.71,48.58,2.0,24.68,4.75,0.289,0.152,0.5589999999999999
138,Moldova,C.W. Of Ind. States,4466706,33843,132.0,0.0,-0.26,40.42,1800,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
139,Monaco,Western Europe,32543,2,16271.5,205.0,7.75,5.43,27000,99.0,1035.6,0.0,0.0,100.0,,9.19,12.91,0.17,,
140,Mongolia,Asia (Ex. Near East),2832224,1564116,1.8,0.0,0.0,53.79,1800,97.8,55.1,0.77,0.0,99.23,1.0,21.59,6.95,0.20600000000000002,0.214,0.58
141,Montserrat,Latin Amer. And Carib,9439,102,92.5,39.22,0.0,7.35,3400,97.0,,20.0,0.0,80.0,2.0,17.59,7.1,,,
142,Morocco,Northern Africa,33241259,446550,74.4,0.41,-0.98,41.62,4000,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.35700000000000004,0.426
143,Mozambique,Sub-Saharan Africa,19686505,801590,24.6,0.31,0.0,130.79,1200,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,0.262,0.348,0.39
144,Namibia,Sub-Saharan Africa,2044147,825418,2.5,0.19,0.0,48.98,7200,84.0,62.6,0.99,0.0,99.01,1.0,24.32,18.86,0.09699999999999999,0.315,0.588
145,Nauru,Oceania,13287,21,632.7,142.86,0.0,9.95,5000,,143.0,0.0,0.0,100.0,2.0,24.76,6.7,,,
146,Nepal,Asia (Ex. Near East),28287147,147181,192.2,0.0,0.0,66.98,1400,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
147,Netherlands,Western Europe,16491461,41526,397.1,1.09,2.91,5.04,28600,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736
148,Netherlands Antilles,Latin Amer. And Carib,221736,960,231.0,37.92,-0.41,10.03,11400,96.7,365.3,10.0,0.0,90.0,2.0,14.78,6.45,0.01,0.15,0.84
149,New Caledonia,Oceania,219246,19060,11.5,11.83,0.0,7.72,15000,91.0,252.2,0.38,0.33,99.29,2.0,18.11,5.69,0.15,0.08800000000000001,0.762
150,New Zealand,Oceania,4076140,268680,15.2,5.63,4.05,5.85,21600,99.0,441.7,5.6,6.99,87.41,3.0,13.76,7.53,0.043,0.273,0.684
151,Nicaragua,Latin Amer. And Carib,5570129,129494,43.0,0.7,-1.22,29.11,2300,67.5,39.7,15.94,1.94,82.12,2.0,24.51,4.45,0.165,0.275,0.56
152,Niger,Sub-Saharan Africa,12525094,1267000,9.9,0.0,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1.0,50.73,20.91,0.39,0.17,0.44
153,Nigeria,Sub-Saharan Africa,131859731,923768,142.7,0.09,0.26,98.8,900,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.26899999999999996,0.48700000000000004,0.244
154,N. Mariana Islands,Oceania,82459,477,172.9,310.69,9.61,7.11,12500,97.0,254.7,13.04,4.35,82.61,2.0,19.43,2.29,,,
