orig,repl
asian clean fuels association (singapore),asian clean fuels association
"asian development bank,",asian development bank
asian network for higher education in nuclear technology (republic of korea),asian network for higher education in nuclear technology
asian ngo coalition for agrarian reform and rural development (angoc) (philippines),asian ngo coalition for agrarian reform and rural development
asian productivity organisation,asian productivity organization
"asian productivity organization, tokyo, japan",asian productivity organization
asia-pacific economic coordination,asia-pacific economic cooperation
asja ambiente italia s.p.a. (italy),asja ambiente italia s.p.a.
asociacin costa rica por siempre,costa rica forever association
asociacin de artesanos y servicios marinos,association of craftsmen and marine services
asociacin de cangrejeros - santa teresa,association of crabbers - santa teresa
asociacin de hoteles y restaurantes de sosa y cabarete,association of hotels and restaurants of sosua and cabarete
asociacin de pescadores de juanillo,juanillo fishermen's association
asociacin de productores agropecuarios jambeli,association of agricultural producers jambeli
asociacin de productores de sal - asprosal,association of salt producers - asprosal
asociacin oceanogrfica del uruguay,oceanographic association of uruguay
"asociacin para el uso, manejo y conservacin del manglar palmar","association for the use, management and conservation of the palmar mangrove"
asociacin virgen de guadalupe,virgin association of guadalupe
asociacio?n de biotecnologi?a vegetal agri?cola,agricultural plant biotechnology association
asociación agro pesca eco-turístico de quebro,agro-fishing eco-tourist association of quebro
asociación agro-ecoturística el espavé - eben ezer,agro-ecotourism association of wild cashews - eben nada
asociación amigos del parque marino de roatán (roatán marine park),friends of the roatán marine park association
asociación argentina de médicos por el medio ambiente,argentine association of doctors for the environment
asociación argentina de médicos por el medio ambiente (aamma),argentine association of doctors for the environment
asociacion caguama,loggerhead association
asociacion camara de pesca turstica de guanacaste,guanacaste chamber of tourism
asociacion chajulense val vaq'chujol,chajulense union association
"asociación civil estudios y proyectos, argentina","civil association studies and projects, argentina"
asociacion club amateur de pesca,amateur fishing club association
asociacion comunitaria de baha malaga,community association of baha malaga
asociación comunitaria de bahía málaga - ecomanglar - santiago valencia,ecomanglar
asociación conferencia de iglesias evangélicas de guatemala,association conference of evangelical churches of guatemala
asociacion de biologia marina,marine biology association
asociación de cámaras de tecnología agropecuaria,chamber of agricultural technology association
asociación de campesinos unidos para el desarrollo de bahía honda,association of united peasants for the development of bahia honda
asociación de desarrollo sostenible de sosúa,sosúa sustainable development association
asociación de dueños de barcos de samaná,association of boat owners of samaná
asociación de fundaciones empresariales,association of business foundations
asociacion de hoteles y restaurantes de sosa y cabarete,association of hotels and restaurants of sosua and cabarete
asociación de pequeños productores agropecuarios visión integral (santa elena).,association of small agricultural producers integral vision
asociacion de pequenos productores de talamanca,association of small producers of talamanca
asociacion de pesca turistica costarricense,costa rican fishing federation
asociacion de pescadores de pesca turistica de flamingo,association of fishing fishermen of flamingo
asociacion de pescadores del litoral del san juan,association of fishermen of the coast of san juan
asociacion de remo y canotaje de puerto plata,rowing and boating association of puerto plata
asociacion deportiva club nacional de pesca,sports association national fishing club
asociacion desarrollo puerto plata,puerto plata development association
asociacion ecologica herencia ambiental,environmental heritage ecological association
asociacion equipo ecolgico natal ecomanglar,ecomanglar
asociacion hondurena para el desarollo,honduran association for the development of technical and financial services
asociacion hondurena para el desarollo (honduras),honduran association for the development of technical and financial services
asociacion latinoamericana de operadores de agua y saneamiento,latin american association of water and sanitation operators
"asociación mexicana de ex-participantes del barco mundial de la juventud, a.c.",mexican association of ex-participants of the world youth boat
asociacion mujeres ebano,ebony women's association
asociacion nacional de empresas de agua y saneamiento,national association of water and sanitation companies
asociación nacional de empresas de agua y saneamiento de méxico,national association of water and sanitation companies of mexico
asociacion nacional de operadores de transportes acuaticos de quepos,national association of aquatic transport operators of quepos
asociacion nacional para la conservacin de la naturaleza,national association for the conservation of nature
asociación nacional para la conservación de la naturaleza,national association for the conservation of nature
asociacion nautica de tamarindo,tamarindo nautical association
asociación nicaragüense de turismo receptiva,nicaraguan association of receptive tourism
"asociación para la conservación, investigación de la biodiversidad y el desarrollo sustentable –","partnership for conservation, biodiversity research and sustainable development"
asociación para la organización y educación empresarial femenina de el salvador (el salvador),association for the organization and business education of women in el salvado
asociacion peruana de escultismo,peruvian association of scouting
asociacion playa dorada,golden beach association
asociation de empresas para el ahorro de la energria en la edificacion a.c. (aeaee) (mexico),alliance for energy efficiency
asr: alliance of independent travel traders (germany),alliance of independent travel traders
assemblée parlementaire de la francophonie,parliamentary assembly of la francophonie
assoc. of european automobile manufacturers (aeca) (belgium),association of european automobile manufacturers
associação brasileira de agua e energia,brazilian association of water and energy
associação brasileira de biotecnologia industrial,brazilian association of industrial biotechnology
associação brasileira de cimento portland,brazilian portland cement association
associação brasileira dos profissionais de sustentabilidade,brazilian association of sustainability professionals
associação de desenvolvimento territorial de santa catarina,territorial development association of santa catarina
associação mato-grossense dos municípios,mato-grossense association of municipalities
associacão nacional dos carroceiros e catadores de materiais reciclãveis,national association of carriers and waste pickers
associação shared services & outsourcing platform,association shared services and outsourcing platform
associacio catalana de tecnics de climatitzacio i refrigeracio,catalan association of air conditioning and refrigeration technicians
associacion centro de investigacion cooperativa en nanociencias,association cooperative research center in nanosciences
associación de pedagogos de cuba,association of cuba pedagogues
associacion semilleros argentinos,argentine seedling association
associao caboverdiana de ecoturismo,cape verdean ecotourism association
"associao comunitria para o desenvolvimento do morrinho,",community association for the development of morrinho
associao de defesa e educao ambiental adea,defense association and environmental education adea
associao dos jovens com iniciativa empresarial,association of young people with entrepreneurship
associao ecolgica joinvillense - vida verde,ecological association joinvillense - green living
associao itapaoense de surf,surfing association itapaoense
associao movimento socioambiental caminho das guas,socio-environmental movement path of water
associao varandinha de povoao velha,beautiful association of povoao velha
association aide aux femmes et enfants,association helps women and children
association ardito desio,bold desio association
association belge des eco-conseillers et des conseillers en environnement,belgian association of eco-advisers and environmental advisers
association bio caledonia,caledonian association of biological certification
association burundaise pour la protection de la nature,burundian association for the protection of nature
"association burundaise pour le developpement rural ""face a la malnutrition et la pauvrete""","burundian association for rural development ""facing malnutrition and poverty"""
association d'aide au développement économique et communautaire.,association for economic and community development assistance
association de developpement et de protection de l'environnement- la marsa,association for the development and protection of the environment - la marsa
association de gestion integree des ressources,integrated resource management association
association de lutte contre le sida,aids association
association des ecomaires,eco-friendly association
"association des ecomaires,",eco-friendly association
association des jeunes solidaires de l'afrique,solidarity youth association of africa
association des pcheurs prof. des iles des mad.,fishmeran owners association of the islands of madeline
association des scientifiques environnementalistes pour un dveloppement,association of environmental scientists for development
association d'etude et de mise en valeur des ressouces naturelles et des institutions,association for the study and development of natural resources and institutions
association d'etude et de mise en valeur des ressouces naturelles et des institutions (aserni),association for the study and development of natural resources and institutions
association du sahel d'aide à la femme et à l'enfance,sahel association of assistance to women and children
association for emission control by catalyst (belgium),association for emission control by catalyst
association for responsible mining (arm),alliance for responsible mining
association for the study of animal behavior (united kingdom of great britain and northern ireland),association for the study of animal behavior
association for unification of law in africa (unida),association for unification of law in africa
association guineenne des femmes chercheurs,guinean association of women researchers
association ingénieurs sans frontières,engineers without borders - france
"association merterre,",association merterre
association monegasque pour la protection de la nature,monegasque association for the protection of nature
association of american geographers (united states),association of american geographers
association of applied biologists (united kingdom of great britain and northern ireland),association of applied biologists
association of australian palaeontologists (aap) (australia),geological society of australia
association of caribbean states - caribbean sea comission,association of caribbean states
association of chemistry and the environment (united kingdom of great britain and northern ireland),association of chemistry and the environment
association of family and corporate foundations (afe),association of family and corporate foundations
association of field ornithologists (united states),association of field ornithologists
association of generators with renewable energy - ager (guatemala),association of generators with renewable energy
association of independent travel agents,association of independent travel agents
association of intl. automobile manufacturers (united states),association of international automobile manufacturers
association of lighting and mercury recyclers (almr),association of lighting and mercury recyclers
association of southeast asian nations (asean) working group (singapore),association of southeast asian nations
"association of veterinary anaesthetists, (united states)",association of veterinary anaesthetists
association technique internationale des bois tropicaux,international technical association of tropical timber
association universitaire pour l'environnement,university association for the environment
associazione italiana amici di raoul follereau,italian association friends of raoul follereau
associazione malttie da intossicazione cronica e/o ambientale,association for diseases caused by chronic and / or environmental intoxication
associazione malttie da intossicazione cronica e/o ambientale (a.m.i.c.a),association for diseases caused by chronic and / or environmental intoxication
associazione per la solidarietà internazionale in asia,association for international solidarity in asia
ata (brazil),ata
"ateneo nacional de la juventud, a.c.","national athenaeum of youth, a.c."
"ateneo nacional de la juventud, a.c.;","national athenaeum of youth, a.c."
atkins,atkins global
atlas copco drilling solutions inc (united states),atlas copco drilling solutions inc
atomic institute of austrian universities,atomic institute of austrian universities
aube nouvelle pour la femme et le developpement,new dawn for women and development
"aufferville, department of agriculture;",aufferville
augeo africa,augeo africa
aurinkoteknillinen yhdistys (solar technology association) (finland),solar technology association (finland)
australian agricultural and resource economics society (australia),australian agricultural and resource economics society
"australian capital territory,",australian capital territory
australian entomological society (australia),australian entomological society
australian society for parasitology (australia),australian society for parasitology
australian-marine-conservation society,australian marine conservation society
austrian development agency,austria
"autm,",Association of University Technology Managers
aves argentinas,argentine birds
ayuda en acción,help in action
ayuntamiento del distrito nacional,santo domingo
"azuay,",azuay
babiker badri scientific association for women studies (bbsaws),babiker badri scientific association for women studies
bahamas national trust,bahamas
baker & mckenzie (australia),baker & mckenzie
"baldy center for law and social policy, sunybuffalo (united states)",university of buffalo
bali focus foundation (indonesia),bali focus foundation
balifokus,balifokus
baltic marine environment protection commission (helcom),baltic marine environment protection commission
"bamboo bikes initiative,",bamboo bikes initiative
ban toxics,ban toxics
bank of america merrill lynch,bank of america
bank of the south pacific,bank south pacific
bank of the southern pacific,bank south pacific
bar municipality,bar
"barclays,",barclays
barefoot college,barefoot college of india
barendra advancement integrated committee (philippines),barendra advancement integrated committee
"base of the pyramid (bop) hub,",base of the pyramid hub
basf (germany),basf
basf se,basf
basque,basque country
"basque country,",basque country
bataan coastal care foundation (philippines),bataan coastal care foundation
bataan ngo consortium (philippines),bataan ngo consortium
bath spa university college,bath spa university college
bay islands conservation association,bay islands conservation association
bayer ag,bayer
bayer environmental science (germany),bayer
baylor university (united states),baylor university
bcs inc. (united states),bcs inc.
beesago (mali),beesago
beijing forestry university (china),beijing forestry university
beijing jike new tech development company (beijing jike co) (china),beijing jike new tech development company
belgian nuclear research centre,belgian nuclear research centre
belgian science policy office (belspo),belgium
"belgium,",belgium
belize audubon society,belize audubon society
belize fisheries department,belize
belize institute of environmental law and policy,belize institute of environmental law and policy
bgb & associates,bgb & associates
bgp engineers (netherlands),Energy Engineering Solutions
bgp engineers (united states),Energy Engineering Solutions
"bharti walmart, a joint venture between bharti enterprises and walmart",bharti walmart
bica guanaja,bay islands conservation association
bica roatan,bay islands conservation association
"bica roatan,",bay islands conservation association
bill & melinda gates foundation,bill and melinda gates foundation
bill & melinda gates foundation;,bill and melinda gates foundation
bill and melinda gates foundation,bill and melinda gates foundation
bio thau,bio thau
biocomercio - turisbio: alianza peruana para el turismo rural como servicio,peruvian alliance for rural tourism and service
biocomercio - turisbio: alianza peruana para el turismo rural como servicio (peru),peruvian alliance for rural tourism and service
biodiversity reseach institute,biodiversity reseach institute
biogas energy systems (united states),biogas energy systems
"bio-gas technology, llc (united states)","bio-gas technology, llc"
biokultura egyesulet,hungarian bioculture association
biokultura klub,hungarian bioculture association2
bioline international (united states),bioline international
"biology of marine organisms and biomimetics unit, university of mons",university of mons
biomaxx systems inc. (canada),biomaxx systems inc.
biomed central (united states),biomed central
bionersis (france),bionersis
bionet international - global taxonomy network,bionet international
"biorock indonesia,",biorock indonesia
biosfera 1 and,biosfera 1
biosfera i,biosfera 1
biothermica technologies inc (canada),biothermica technologies inc
biscay provincial council,biscay
biwater (united kingdom of great britain and northern ireland),biwater
bjerknes centre for climate research,university of bergen
bjerknes climate data centre,university of bergen
black sea commission,black sea commission
black sea commission and its permanent secretariat,black sea commission
black sea regional energy centre (bsrec) (bulgaria),black sea regional energy centre
blacksmith institute,blacksmith institute
blacksmith institute (united states),pure earth
blackwell publishing (united kingdom of great britain and northern ireland),blackwell publishing
blue climate solutions,blue-climate-solutions
blue sky energy corp. (canada),blue sky energy corp.
"blue-ocean-institute,",blue-ocean-institute
blyth star enterprises ltd (united kingdom of great britain and northern ireland),blyth star enterprises ltd
bmj publishing group (united kingdom of great britain and northern ireland),bmj publishing group
bo?aziçi university,bogazici university
bond ocean safari,bond safari kovalam
bond ocean safari kovalam-partnership free divers,bond safari kovalam
bosch siemens household appliances,bosch
bose research & development inc (united states),bose research & development inc
botanical society of america (united states),botanical society of america
botanical society of china (china),botanical society of china
botanical society of japan (japan),botanical society of japan
bournemouth and west hampshire (united kingdom of great britain and northern ireland),bournemouth and west hampshire
boy scouts association of thailand (thailand),boy scouts association of thailand
bp,british petroleum
bp (united kingdom of great britain and northern ireland),british petroleum
bp (united states),british petroleum
bp plc,british petroleum
bp products north america inc. (united states),british petroleum
brest_metropole oceane,brest metropole
"bretton woods ii,",bretton woods ii
bristol meyers squibb (united states),bristol meyers squibb
bristol water (united kingdom of great britain and northern ireland),bristol water
bristol-myers squibb,bristol meyers squibb
british airways,british airways
british association for biofuels and oils (united kingdom of great britain and northern ireland),green fuels ltd.
"british columbia,",british columbia
british ecological society (united kingdom of great britain and northern ireland),british ecological society
british geomorphological research group (united kingdom of great britain and northern ireland),british geomorphological research group
"british grassland society, (united states)",british grassland society
british ornithologists' union (united kingdom of great britain and northern ireland),british ornithologists' union
british phycological society (united kingdom of great britain and northern ireland),british phycological society
british society for plant pathology (united kingdom of great britain and northern ireland),british society for plant pathology
british society of soil science (united kingdom of great britain and northern ireland),british society of soil science
british water (united kingdom of great britain and northern ireland),british water
"brookings institution,",brookings institution
"brown, vence and associates, inc. (united states)","brown, vence and associates, inc."
building partnership for development (bpd) (united kingdom of great britain and northern ireland),building partnership for development
burapha university (thailand),burapha university
"burundi rugby league cooperative,",burundi rugby league cooperative
business machines tanzania limited (united republic of tanzania),business machines tanzania limited
cad (senegal),cad
caf - development bank of latin america,development bank of latin america
"caldas,",caldas
caledonia languages abroad,caledonia languages abroad
"california,",california
cámara de comercio de bogotá,bogota chamber of commerce
"cámara de comercio de bogotá (bogota chamber of commerce),",cámara de comercio de bogotá
camara de comercio de tarapoto,tarapoto chamber of commerce
cámara de industrias de guayaquil,guayaquil chamber of industries
camara del agro,agro chamber
camara nacional de exportadores de productos pesqueros - canepp,national chamber of exporters of fishery products
"cámara nicaragüense de la micro, pequeña y mediana empresa","nicaraguan chamber of micro, small and medium enterprises"
cambodia fuelwood saving project (cambodia),cambodia
"cambridge ip,",cambridge university
cambridge scientific abstracts (united states),cambridge scientific abstracts
cambridge university press (united kingdom of great britain and northern ireland),cambridge university press
cameroon associations for the defence of victims of accident(cadva),cameroon associations for the defence of victims of accident
canada (government of,canada
"canada,",canada
canadian association for renewable energies (canada),canadian association for renewable energies
canmet energy technology centre (cetc) (canada),canmet energy technology centre
"cantur: cámara nicaragüense de la micro, pequeña y mediana empresa (nicaragua)","cámara nicaragüense de la micro, pequeña y mediana empresa"
"cap,",consumers association of penang
CAP-NET,united nations development program
carbon clear (united kingdom of great britain and northern ireland),carbon clear
carbon disclosure project,cdp (formerly the carbon disclosure project)
carbon international (united kingdom of great britain and northern ireland),carbon international
carbonsense (united kingdom of great britain and northern ireland),carbonsense
cardno entrix,cardno entrix
care (united states),care
carefree travel group,carefree travel group
cargo freighters’ association,cargo freighters’ association
caribbean challenge initiative (cci);,caribbean challenge initiative
caribbean community climate change center,caribbean community climate change center
caribbean community climate change centre,caribbean community climate change center
caribbean disaster emergency response agency,caribbean disaster emergency management agency
caribbean environment program,united nations environment program
"caribbean renewable energy development programme, credp caricom (guyana)",carribean community
caribbean tourism organizaton,caribbean tourism organization
caritas - bangladesh,caritas internationalis
cáritas arquidiocesana de são paulo •,archdiocese of sao paulo charity
casa de las baterías,house of the batteries
cascade medical and stove teams (united states),cascade medical and stove teams
case western reserve university;,case western reserve university
cases;,cooperative antonio sergio for the social economy
"catalan network of education for sustainability research, catalunya, spain",catalan network of education for sustainability research
caterpillar inc.,catepillar
caterpillar inc. (canada),catepillar
caterpillar inc. (united states),catepillar
catholic bishop's conf. of the philippines (philippines),catholic bishop's conference of the philippines
catholic relief services (madagascar),catholic relief services
catholic university of portugal (porto),catholic university of portugal
cbd secretariat,convention on biological diversity secretariat
ccla;,ccla
cclc;,portugal-croatia chamber of commerce
ccp;,confederation of commerce and services of portugal
cd aricd;,"intermunicipal network for development cooperation, association of municipalities"
cdp,cdp (formerly the carbon disclosure project)
cdx gas llc (united states),cdx gas llc
ce-cap (formerly ceres capital llc) (united kingdom of great britain and northern ireland),ce-cap
cedesol-bol (bolivia),CEDESOL Foundation
cemda,cemda
cens - center for nuclear safety (slovakia),center for nuclear safety
center for agrarian reform and rural development (carrd) (philippines),center for agrarian reform and rural development
center for clean air policy (ccap) (united states);,center for clean air policy
center for clean air policy (united states),center for clean air policy
center for clean air policy;,center for clean air policy
center for community development (ccode),center for community development
center for development support initiative,center for development and support initiative
center for ecology & environment,center for ecology and environment
"center for energy, cdm & environment (mongolia)","center for energy, cdm & environment"
center for entrepreneurship in international health and development (united states),"university of california, berkeley"
center for environment & development for the arab region & europe,center for environment and development for the arab region and europe
center for environmental law & community rights,center for environmental law and community rights
center for environmental law and community rights advocacy group,center for environmental law and community rights
center for human rights and environmen,center for human rights and environment
center for international forest research,center for international forestry research
center for research and advanced studies of the national polytechnic institute,national polytechnic institute
center for resource solutions (united states),center for resource solutions
center for science and environment (india);,center for science and environment
Center for studies and safeguarding of Mediterranean sea turtles,Center for studies and safeguarding of Mediterranean sea turtles
"center for sustainability transformation gmbh, germany;",center for sustainability transformation gmbh
center for sustainable energy technology (liberia),center for sustainable energy technology
center for sustainable transport (cts) mexico (mexico),center for sustainable transport mexico
"center for transportation and logistics studies (pustral), gadjah mada university (indonesia)",gadjah mada university
"center for youth activism of pakistan (cyap),",center for youth activism of pakistan
center-for-cetacean-research-and-conservation,center for cetacean research and conservation
central american comm for environ and development,central american commission for environment and development
central american integration system,central american integration system
central american intergration system,central american integration system
"central departament,",central departament
central mining institute (poland),central mining institute
central water and sewerage authority - solid waste management unit;,central water and sewerage authority - solid waste management unit
centre d'action pour le développement des organisations locales,action center for the development of local organizations
centre d'actions et de réalisations internationales (cari) (france),center of actions and international achievements
centre de cartographie et de teledetection,mapping and remote sensing center
centre de developpement des energies renouvelables,renewable energy development center
centre de developpement des energies renouvelables (morocco),renewable energy development center
centre de recherche et d'education pour le développement,research and education center for development
centre de recherche et d'education pour le développement (crepd),research and education center for development
centre de recherches insulaires et observatoire de l'environnement,island research center and observatory of the environment
centre de recherches oceanographiques de dakar-thiaroye 'crodt',oceanographic research center of dakar-thiaroye 'crodt'
centre de ressources et de promotions pour la promotion des actions communautaires,resource and promotion center for the promotion of community actions
centre d'entreînement aux méthodes d'education active,center of education with methods of active education
centre detudes et de sauvegarde des tortues marines de mediterrane cestmed,Center for studies and safeguarding of Mediterranean sea turtles
centre for alpine ecology,center for alpine ecology
centre for alternative technology,center for alternative technology
centre for appropriate technology,center for appropriate technology
centre for appropriate technology (cameroon),center for appropriate technology
centre for character and leadership development,center for character and leadership development
centre for climate change and disaster reduction,center for climate change and disaster reduction
centre for climate change and environmental studies,center for climate change and environmental studies
centre for community development and education,center for community development and education
centre for community economics and development consultants society,center for community economics and development consultants society
centre for ecology & environment,center for ecology and environment
"centre for ecology and hydrology, edinburgh","center for ecology and hydrology, edinburgh"
centre for environment education,center for environment education
"centre for environment planning & technology (cept), ahmedabad (india);",cept university
"centre for environment, fisheries and aquaculture, science","center for environment, fisheries and aquaculture, science"
centre for environmental law & community rights,center for environmental law and community rights
centre for european policy studies,center for european policy studies
centre for global equality,center for global equality
centre for household energy and environment,center for household energy and environment
centre for household energy and environment (nigeria),center for household energy and environment
centre for international forestry research,center for international forestry research
centre for legislative research and advocacy,center for legislative research and advocacy
