TITLES,REGISTRATION,GOALS,DESCRIPTION,PARTNERS,COUNTRIES,SDG 14 TARGETS COVERED,OCEAN BASINS,BENEFICIARY COUNTRIES,OTHER BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOX Project- the Dyslexia Social Awareness Campaign through Augmented Reality - United Nations Partnerships for SDGs platform,Registered: 18 December 2019,['Goal 4'],"
Description/achievement of initiative

The Dyslexia Social Awareness Campaign (BOOX Project) through Augmented Reality offers learning opportunity through justified education and dissemination (pre-schools to mid-30s) in building the needed understanding, and strong empathy of the learning challenges and difficulties faced by students with dyslexia. Through proper simulation of such condition of the affected learners, it will create the strong understanding through appropriate need and actions to ensure the learning processes through learning differences through creative output.The BBOX project programme facilitates relationships and partnerships among educators and parents to become borderless acceptance towards learning differences and closely mentors towards potential future innovators.
 

 


Implementation methodologies



The BOOX Initiative provides continuous mentoring as long as the relationship prevails with the partners and the expansion towards more educators nationwide and international educator engagement. 

1. UCSI University through De Institute of Creative Arts and Design (ICAD), is the educational institution who provide the expertise in innovating the BOOX Project (educational kit and technology application) and promoting the dissemination of dyslexia awareness to current stakeholders for educators in Malaysia. ICAD as the main initiator responsible in conducting the initiatives, together with Universitas Multimedia Nusantara (UMN) and Idrissi International School and the Idrissi Secondary School. 

2. The Persatuan Dyslexia Malaysia (PDM) will provide data and information regarding the current status and level of dyslexia and learning challenges in Malaysia specifically in the Klang Valley. 

3.The mobilisation of the campaign and the awareness are absolutely a must towards the progression of learning methods to adapt to the condition and the difficulties as needed for educators and parents. Gathering enough information and the appropriate schools in private and later towards the much needed areas in public schools will be the ambition in progression of improvements of education dissemination.



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


The country's program host, its partners, and BOOX Project local partners decide collaboratively on aspiration, strategies, and implementation of the peace and unity education and the capacity building of the local facilitators and trainers.  

BOOX Project provides its teaching-learning content, delivers the education through continuous campaign, and raise and empowers local facilitators, educators, trainers, and parents; to gradually take the leading role in running this education and awareness program towards learning difficulties (dyslexia). The local hosts normally organize and host the programs with the team members lead guidance, and increasingly move towards independence. Key leaders from various stakeholders (of the listed collaborators) will meet each other during annual meetings, or when corresponding parties at an arranged meet-ups locally and in different countries. The fund is raised through training fees, sponsorship, and volunteerism.


Partner(s)


UCSI Education Sdn Bhd, De Institute of Creative Arts & Design, Universitas Multimedia Nusantara, Fakultas Seni Desain UMN, Persatuan Dyslexia Malaysia, Idrissi International School, Dyslexia Center Indonesia, Yayasan Pantara.

","['UCSI Education Sdn Bhd', ' De Institute of Creative Arts & Design', ' Universitas Multimedia Nusantara', ' Fakultas Seni Desain UMN', ' Persatuan Dyslexia Malaysia', ' Idrissi International School', ' Dyslexia Center Indonesia', ' Yayasan Pantara.']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEPSEAS: Marine Environment Protection of the South-East Asian Seas - United Nations Partnerships for SDGs platform,"Start: 01 January, 2018","['Goal 5', '\n\n\nGoal 7', '\n\n\nGoal 9', '\n\n\nGoal 14', '\n\n\nGoal 17']","
Description

                            Objective: 
Build capacity in developing countries to ratify and implement the chosen IMO marine environment protection conventions. 

Conventions: 
Each participating MEPSEAS country has selected at least two Conventions and/or Annexes to ratify and implement.
1.	International Convention on the Control of Harmful Anti-fouling Systems on Ships 
	(AFS Convention)
2.	International Convention for the Control and Management of Ships&#39; Ballast Water and Sediments 
	(BWM Convention)
3.	International Convention for the Prevention of Pollution from Ships - Annex I 
	(MARPOL - Annex I) 
4.	International Convention for the Prevention of Pollution from Ships - Annex II 
	(MARPOL - Annex II)
5.	International Convention for the Prevention of Pollution from Ships - Annex V 
	(MARPOL - Annex V)
6.	Protocol on the Prevention of Marine Pollution by Dumping of Wastes and Other Matter 
	(London Protocol)

Implementation methodology: 
This initiative brings together national maritime administrations and strategic partners to discuss and develop the best method of implementation of the chosen conventions. The methodology includes four complementary steps:
1.	Legal, policy and institutional review in developing countries
2.	Development of best practices and guidance documents
3.	Capacity building and national training
4.	Awareness raising and knowledge sharing

Governance: 
The action is coordinated by a team based at IMO and governed by seven country representatives.
                        
Expected impact

                            1.	Biodiversity - reduced transfer of invasive species. By encouraging countries to ratify and implement the BWM Convention, improvement in the standards for marine biofouling management will occur which will minimize the transfer of invasive aquatic species through the discharge of ballast water. 5 of the participating countries have selected this Convention.
	https://mepseas.imo.org/conventions/bwm 

2.	Marine environment protection - reduction of harmful anti-fouling paints which damage marine life and can kill sea-life. Parties to the AFS Convention are required to prohibit and/or restrict the use of harmful paints which are applied to the ships’ hulls. 3 of the participating countries have selected this Convention.
		https://mepseas.imo.org/conventions/afs 

3.	Prevention of marine pollution – management of garbage from ships, noxious waste and oil discharge. Annex V of MARPOL covers different types of garbage, specifies the manner and distances from land in which they may be disposed. Annex II pertains to the control of pollution by noxious liquid substances in bulk and prohibits discharge of these substances within 12 miles of the nearest land. Annex I deals with pollution by oil from operational measures as well as from accidental discharges. 4 MEPSEAS countries have prioritised the various annexes of MARPOL.
	https://mepseas.imo.org/conventions/marpol

4.	Prevention of dumping – prohibition on the dumping of certain hazardous materials. The London Protocol parties take steps to mitigate the impacts of increasing concentrations of CO2 in the atmosphere by enforcing the ban of dumping low-level radioactive wastes into the sea and the incineration of industrial wastes at sea. 1 MEPSEAS Country has prioritised the London Protocol.
	https://mepseas.imo.org/conventions/london-protocol
                        
Website

https://mepseas.imo.org/

",[''],"['Jose Matheickal, Dr., jmatheic@imo.org, +4407891661671']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transforming Livestock Sector: Reduce carbon emissions, remove the requirement for non-therapeutic antibiotics (AMR) and reduce resources required. - United Nations Partnerships for SDGs platform",Registered: 17 December 2019,"['Goal 1', '\n\n\nGoal 2', '\n\n\nGoal 3', '\n\n\nGoal 5', '\n\n\nGoal 6', '\n\n\nGoal 8', '\n\n\nGoal 9', '\n\n\nGoal 12', '\n\n\nGoal 13', '\n\n\nGoal 15']","
Description/achievement of initiative

A critical issue of worldwide concern is antibiotic resistance creating threats to global health, food security, and development and Carbon gas is predicted to produce global warming and droughts. This project combats the need for non-therapeutic antibiotics in livestock production while maintaining growth, reducing resources and reducing carbon emissions of ruminant livestock. In order to achieve global food security and improve quality/functionality under changing global climate, the goals in this 4-year project target the education of livestock management, an R&D project on better ruminant nutrition and trials documenting the reduction in carbon emissions through better nutrition.
 

 


Implementation methodologies



This project will be broken down into several phases: Phase 1 – Begin the education process.  ProAgni has developed content on antibiotic resistance and the responsible use of antibiotics in animal production. They will present approximately six presentations at industry and academic events within the next 12 months.  The education process will continue throughout the project with the overall aim of 15 events over 5 years.  Phase 2 - Improve Ruminant Livestock Digestion to reduce Carbon Emissions, reduce by developing an additional nutritional supplement. ProAgni is in the process of developing a new nutritional supplement that is focused on significantly reducing induction times in intensive feeding systems using shelf stable probiotics. This will improve and support ruminant nutrition creating better overall nutrition absorption for ruminant species.  After development is completed, the product will be trialled and tested on ruminant and non-ruminant livestock.  Phase 3 – Test the methane produced by cattle on the current grain diet to create a baseline.  Test cattle on antibiotic free ration and measure differences in emissions.  After completion on new nutritional supplement, another round of testing will commence documenting improvements in methane levels produced.  Phase 4 - Trial – Run and ongoing test at a farm/feedlot site to determine the amount of antibiotics in the soil and water supply prior to switching to feed containing no antibiotics. Measure through 5 generations of cattle and track changes in antibiotic levels in soil and water in the surrounding area.



Arrangements for Capacity-Building and Technology Transfer 


Provide useful data and evidence to support the removal of antibiotics from livestock production and the following SDGs [Goal 2] By promoting agriculture and agricultural technology that reduces the resources needed for ruminant livestock, removes the need for non-therapeutic antibiotics and reduces carbon emissions produced, this project helps create sustainable, resilient agriculture, producing more food and supporting family farmers. [Goal 3] Systemic antibiotic use is contributing to antimicrobial resistance. A large portion of antibiotics fed to animals are used to promote growth or to control acidosis. Reducing the non-therapeutic use of antibiotics, this project supports better health world-wide by helping to ensure antibiotics still work and are not excreted into the soil and water supplies.  [Goal 5] We support family owned farms, many of which are female run.[Goal 6] By reducing the production time of ruminant livestock, we reduce the amount of water needed to raise livestock. By removing antibiotics from the food chain, the risk of contaminants flowing into wetlands and rivers is reduced or removed.[Goal 8] Per the Global Agenda for Sustainable Livestock LAMP Responsible use of antibiotics promotes economic growth by supporting healthy and productive animals.[Goal 12] This project promotes sustainable use of resources by decreasing the amount of water needed to produce ruminant livestock and reducing losses in production by supporting livestock through the dramatic changes to nutritional demands that occur directly prior to the birthing process. Preparation for these changes is critical for offspring survival, immunity and vigour.  By increasing immunity in offspring through better colostrum volumes and quality, we decrease nutritional stress, increase survivability of offspring.[Goal 13] Greenhouse gas emissions from ruminants are largely a by-product of inefficient feed conversion. Dietary manipulation is the most effective and convenient way to reduce methane emissions and increase nitrogen utilization efficiency. ProAgni reduces emissions by making feed conversion more efficient, and replacing empty calories, with nutrient dense supplementation. Measuring emissions per kilogram of meat produced, ProAgni are reducing emissions by nearly 50% when compared to cattle on other non-medicated feeds. [Goal 15] This project supports responsible use of resources, especially land and water by increasing feed efficiency, better utilisation of resources and removal of potential harmful additives from livestock excretions.  With better feed efficiency, less land is required, current land can be better utilized, and antibiotics are removed from the feed decreasing potential contaminants in the soil, water and potential degradation of land.



Coordination mechanisms/governance structure


The initiative will be implemented using a project management approach. The high level of management will be a project management team with leadership of a project manager from ProAgni Pty Ltd. The project will form appropriate committees to manage its activities as a means for internal controls. The initiative will use a matrix approach and a bottom up approach with regards to monitoring and reporting.


Partner(s)


ProAgni Pty Ltd., AMBOS, CSIRO, University of New South Wales

",['Overall status: On track\n\n\n\tPublished: 5 January 2020'],"['Australia', 'United States of America']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upcycle Ocean Plastic - United Nations Partnerships for SDGs platform,Registered: 16 December 2019,['Goal 14'],"
Description/achievement of initiative

A lot of what we believe in isn’t revolutionary. Cleaner oceans. Sustainable lifestyles. Waste as a resource. Every year, more than eight million tons of plastic trash land in the ocean. Tide Ocean SA admits to reprocess ocean, coastlines and uncontrolled ocean side landfills plastic and up-cycle this valuable raw material that can be used in a range of sustainable products such as hard plastic products and textiles made from 100% ocean related plastic. Tide Ocean SA believes in the necessity of a circular economy and protecting the environment.
 

 


Implementation methodologies



The Tide labeled raw material is tested and produced in partnership with the Institute for Materials Technology and Plastics Processing (IWK), a branch of the University of Applied Sciences (Hochschule für Technik) in Rapperswil, Switzerland. Together, IWK and #tide have developed a formula that regenerates the plastic granules and reverses the damage caused by the UV rays and salt water the plastic trash was exposed to while floating in the ocean or washed ashore. Additionally it is compounded with the help of solar energy to reduce the carbon footprint during production stage.

Tide is processing all kinds of plastic, not just PET bottles. Hard plastics like shampoo bottles and plastic containers can be used to recreate new plastic products such as watches, furniture and electronic devices, or in the interior of a car. Additionally Tide has successfully achieved to create a yarn for apparel, home & office interiors, carpets or bags.



Arrangements for Capacity-Building and Technology Transfer 


Tide has capacity to process more than 1'000 tons of plastic within its compounding center in Switzerland plus it has further potential due to the strong partnership with Institute for Materials Technology and Plastics Processing (IWK), a branch of the University of Applied Sciences (Hochschule für Technik) in Rapperswil, Switzerland



Coordination mechanisms/governance structure


Tide has partnered up with local organisations and local people in South East Asia (Phillipines & Thailand) to pay the local collection a specific price per collected ocean plastic. This income will enable the collector to make a living and support his family and local ecosystem.


Partner(s)


Tide Ocean SA, Basel, Switzerland
Institute for Materials Technology and Plastics Processing (IWK), a branch of the University of Applied Sciences (Hochschule für Technik) in Rapperswil, Switzerland

","['Tide Ocean SA', ' Basel', ' Switzerland\nInstitute for Materials Technology and Plastics Processing (IWK)', ' a branch of the University of Applied Sciences (Hochschule für Technik) in Rapperswil', ' Switzerland']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDG Action Alliance - United Nations Partnerships for SDGs platform,Registered: 16 December 2019,"['Goal 2', '\n\n\nGoal 3', '\n\n\nGoal 4', '\n\n\nGoal 6', '\n\n\nGoal 7', '\n\n\nGoal 8', '\n\n\nGoal 11', '\n\n\nGoal 12', '\n\n\nGoal 13', '\n\n\nGoal 14', '\n\n\nGoal 15', '\n\n\nGoal 17']","
Description/achievement of initiative

The University of South Florida has identified the need to formalize a central hub for SDG-related work at the university. From initial planning conducted by USF’s Patel College of Sustainability, an action plan was developed to establish the SDG Action Alliance. The mission of the Alliance is to align the university’s operations, governance and community with the objectives of the UN SDGs. The role of the Alliance is to capture and distribute SDG-related work in order to build new partnerships, access new funding streams, and promote the university as a leader in global awareness and responsible research.
 

 


Implementation methodologies



Methodologies developed by the taskforce, coordinator, and subsequent Action Alliance steering committee will take the form of a mission, vision, and goals tableau, as well as other supporting procedures for implementing SDG work at USF and for reporting activities. Interdepartmental programming is planned to include resources and support from Student Affairs, USF World, Student Green Energy Fund, Student Government, and other strategic partners in order to reach the greatest audience for participation. The Action Alliance will help to promote SDG work such as global citizens education, environmental studies, and projects which involve sustainability and green energy in curricular and extracurricular capacities. Workshops and technical trainings will be hosted through the Action Alliance which focus on integrating the SDGs into curriculum, university policies and decisions, financing and procurement, campus services, facilities, and other institutional structures and vehicles.



Arrangements for Capacity-Building and Technology Transfer 


As a showcase of SDG-related work at USF, the SDG Action Alliance will promote the awareness of ongoing projects to a broad network of stakeholders at the university, within the region, and beyond via media and reporting platforms. In addition, one prominent goal of the Action Alliance is to generate streams of funding that are available to conduct SDG-related work; therefore, the steering committee will actively maintain a database of resources which include funding for research and programming. Trainings and technical certifications related to SDG work will also be promoted. The Action Alliance will prioritize support for SDG work among student research by encouraging SDG-related curricula that is experiential and interdisciplinary.



Coordination mechanisms/governance structure


In order to establish the SDG Action Alliance at USF, a task force and coordinator will first be established among stakeholders who hold an active interest in drafting the procedures and implementation plan for the initiative. Students from USF’s Patel College of Global Sustainability were tasked with researching existing UN SDG Partnerships, as well as identifying ongoing SDG work already being conducted at USF, in order to draft best practices and management strategies centered around a formalized hub, now known as the USF SDG Action Alliance. Plans for the Action Alliance shall be enacted in the form of a steering committee comprised of students, staff, and faculty from across the campus. Initially, the Action Alliance will be housed under the Patel College and in partnership with the Office of Sustainability. Centralized efforts will be made to streamline data collection and project ideation using the Action Alliance and resources from the USF community. Other coordination of SDG work will involve regular meetings with top administrators at the university and an annual retreat for stakeholders.


Partner(s)


University of South Florida (Patel College of Global Sustainability, Office of Sustainability, Global Citizen's Project, Center for Leadership and Civic Engagement, USF World, Gus A. Stavros Center)

","['University of South Florida (Patel College of Global Sustainability', ' Office of Sustainability', "" Global Citizen's Project"", ' Center for Leadership and Civic Engagement', ' USF World', ' Gus A. Stavros Center)']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ocean Conference  | Marine protection,Registered: 14 December 2019,['goal 12'],"

To reduce litter input into the ocean through promoting marine environmental protection and coastal cleanup activities.

","['China Blue', ' sustainable fishing.\nBetterBlue', ' marine protection education.\nDive4Love', ' coral conservationÃƒÂ£Ã¢â€šÂ¬Ã¢â‚¬Å¡']",,"['14.1 \n\n\n\n\nBy 2025, prevent and significantly reduce marine pollution of all kinds, in particular from land-based activities, including marine debris and nutrient pollution \n\n\n\nType of commitment\nPLASTICS\n\nCoastal clean-ups\nPlastics product bans or restrictions']",['North Pacific'],['China'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,
Zongo Climate Change Agenda for Sustainable Development (ZCCASD) - United Nations Partnerships for SDGs platform,Registered: 14 December 2019,"['Goal 6', '\n\n\nGoal 13']","
Description/achievement of initiative

Presently climate change is moving faster than we can imaging, some scientists are already predicting that sea level rise could double from what is currently projected by the end of this century. Our local Zongo communities are vulnerable to the effect of climate change. We have no knowledge of climate change. We seek to find the natural and human activities that causes Climate Change, its effect on the communities and our children. Aiming at educating our people on waste management, strengthen the participation of our local communities in improving water and sanitation management. Find measures to build climate resilient society.
 

 


Implementation methodologies



Global warming and changing of our natural environment characteristics, including temperature, humidity, rainfall, wind and several weather events which is course by both natural and human activities is rapidly knocking the door for annihilation. We therefore wants to look at different climate change related risk that threaten Zongo Communities. The Initiative will be carried out in all Zongo Community in Ghana Starting from Ayawaso Municipality, Ayawaso East Municipality and the La-nkwantanang Madina Municipal assemblies all in the greater Accra Region of Ghana.  And latter extend in to reach all the one thousand, and eighty (1,080) Zongo communities in Ghana. We will research on policies, initiatives and programs of the government to mitigate the effect of climate change by looking at the accessibility of Ghana's Intended Nationally Determined Contribution (Ghana INDC), is it reaching its target objectives, how effective is the programs and what can be done to improve it. Lobby government for equitable distribution and access to safe and affordable drinking water for all in our zongo communities.
The initiative will also help in raising awareness among schools children and out of schools youth on the need to imbibe positive attitudes toward their local environment. How the children can help reduce some of the human actions that causes climate change such as bush burning, indiscriminate plastic waste disposal, water management and excessive uses of electric energy in the communities.
We will organize community forums, trainings and workshops on climate change knowledge, its impact and ways to prevent the human courses. We are going to create Climate Change Ambassadors (CCA) among the school children and community members to motivate them take up the project serious and also help in tree planting activities and maintenance till it grows. Climate Change Ambassadors will be encouraged to carryout individual or collective community project(s) on Climate Change mitigation in their schools and immediate environment. Periodic award and prizes to best projects and areas that will maintain their trees to grow. 
”Live No One Behind” implementation this project we will try not to leave anyone behind. The people will not only be inform, but they would be involve in all activities so that we can all help to achieve the 2030 Agenda. 
The organization will open itself, ready to partner any organizations that give free access to their facility or partner to carry out the initiatives.



Arrangements for Capacity-Building and Technology Transfer 


The organization will collaborate with financial institutions, corporate bodies, governmental institutions, Local and International NGOs to organize a periodic community leadership training, climate change workshop and seminars to build the capacity of the community to be self-reliance and productive for sustainable development of the individual and the community, people will also be encourage to share knowledge or experience they gain to other. With technology transfer we plan to put the data on the environmental issue, reports to public usage. Community Leaders including Municipal Chief Executives, service providers, and opinion leaders, chiefs, Imams, Pastors, Youth Leaders and Assembly members will be encouraged to take a very active role in achieving the objectives of the initiatives in other to help empower the communities and Ghana at large. Beneficiaries will have to transfer knowledge of SDG goal 6 and 13 to their peers and other community members.  Strengthen the role of volunteerism to achieve the SDGs especially goal 6 and 13.



Coordination mechanisms/governance structure


The Executive Members of the organization with other partners will collaborate with stakeholders, Ministries, the Local Government Authorities and the Municipalities to coordinate in implementing the project; facilitators will be selected to train and empower the people. Community involvement and participation will be given high priority for the project to achieve its objectives, the Program Director Will be task to plan Activities on how to reach out to the partners and the community; awareness creation, research & data collection, lobbying and Advocacy will be major part in coordinating the project.
We also look at some possible programs aim to provide children’s perspective to discussion of climate change with peers, and how children’s resilience could be strengthened for them to take up climate change education by creating Child Climate Change Ambassadors (3CA) in Schools and Climate Change  Ambassadors (CCA)  for youth and out of school children, they will then coordinate with their schools and nearby community to create awareness in schools and surrounding communities,  the initiative will also promote tree planting activities by collaborating with the Ghana Forestry Commission


Partner(s)


Sensitization Centre
Ministry of Inner City and Zongo Development
Ayawaso North Municipal Assembly
Ghana Forestry Commission
Ministry of Environment Science and Technology
Environmental Protection Agency
Ijahra Company Limited
Africa House Forex Bureau LTD

",['Sensitization Centre\nMinistry of Inner City and Zongo Development\nAyawaso North Municipal Assembly\nGhana Forestry Commission\nMinistry of Environment Science and Technology\nEnvironmental Protection Agency\nIjahra Company Limited\nAfrica House Forex Bureau LTD'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahçeşehir Cyprus University - United Nations Partnerships for SDGs platform,Registered: 13 December 2019,"['Goal 1', '\n\n\nGoal 4', '\n\n\nGoal 5', '\n\n\nGoal 17']","
Description/achievement of initiative

With this partnership we, as Bahcesehir Cyprus University, initially aim to make sure all our staff and students truly understand what Sustainable Development Goals (SDG) are and why we need them. Secondly, we intend to mobilize our personnel and students for effective implementation of these goals within our university. Finally, it is our objective to reach out to officials of our country and the members of the society we live in to create awareness about SDGs and lobby for their implementation.
 

 


Implementation methodologies


Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


Partner(s)


Bahçeşehir Cyprus University

",['Bahçeşehir Cyprus University'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ocean Conference  | Commitment for implementation of Goal 14,Registered: 12 December 2019,"['goal 4""', 'goal 5""', 'goal 10', 'goal 12', 'goal 16']","

As Novice in social media advocate my outmost aim is to learn, Educate and propagate the populace to be able to get the understanding of SDGs as a community base leader and advocate. People must  know the dangerous and harmful impact that we contribute to the infiltration of microfiber plastic into the seas, Oceans and rivers. I hope with the support of UN Ocean Conference I hope to recieved resources that will help me to understant the aims and goals with the best practices that will help metigate pollution of the oceans.

","['Gabidezin House Of Fashion-Boadi', ' UN WOMEN', ' Cuenta Conmigo NGOs']",,"['14.2 \n\n\n\n\nBy 2020, sustainably manage and protect marine and coastal ecosystems to avoid significant adverse impacts, including by strengthening their resilience, and take action for their restoration in order to achieve healthy and productive oceans \n\n\n\nType of commitment\n\nEcosystem-based Adaptation']",['Global'],"['Afghanistan', '  Ghana']",['Gabidezin House Of Fashion-Boadi'],,,,,,,,,,,,,,,,,,,,,,,,,,,
"“Design Thinking in STEM”: Education project combining STEM education, design based education and the challenges addressed by the SDGs. - United Nations Partnerships for SDGs platform","Start: 16 December, 2019","['Goal 1', '\n\n\nGoal 2', '\n\n\nGoal 3', '\n\n\nGoal 4', '\n\n\nGoal 5', '\n\n\nGoal 6', '\n\n\nGoal 7', '\n\n\nGoal 8', '\n\n\nGoal 9', '\n\n\nGoal 10', '\n\n\nGoal 11', '\n\n\nGoal 12', '\n\n\nGoal 13', '\n\n\nGoal 14', '\n\n\nGoal 15', '\n\n\nGoal 16', '\n\n\nGoal 17']","
Description

                            Our world has become increasingly complex, volatile and uncertain. Education plays a crucial role in preparing young people for a future of complex challenges such as globalization, digitalization and climate change. Siemens Stiftung offers high-quality science and technology education in order to provide young learners with the relevant knowledge to understand scientific and technical interrelations. Additionally, skills such as creative problem solving, the ability to innovate, and critical thinking – known as “21st century skills” – are increasingly important for openly embracing change and conscientiously shaping the future. This is why Siemens Stiftung has recently introduced “STEM and creativity” into its international education program by integrating design thinking as a new teaching method in STEM lessons. Thus, with the “Design Thinking in STEM” project, Siemens Stiftung combines STEM education with creative processes to encourage innovative thinking among young people. The project is aimed at developing approaches for teaching these abilities in science and technology lessons. The design thinking method encourages students to address challenges with a sense of empathy, viewing a problem through the eyes of someone actually confronting it. Through interdisciplinary teamwork, ideas and approaches are turned into physical prototypes early in the process to be tested and evaluated. 
The main focus of the project is on the 17 UN Sustainable Development Goals, established by the United Nations. They provide the thematic structure for the interdisciplinary STEM lessons and the use of the design thinking methodology. Typically, the iterative design thinking process starts with the formulation of a specific challenge. A multidisciplinary team will then develop a concrete solution for the problem, keeping the user at the heart of the process. In this project, we suggest teachers and students to choose their challenge from the SDGs, these including the economic, social, and environmental challenges of the 21st century, which are growing in their local impact alongside their global relevance. Complex STEM topics can be explained through specific problems, such as clean drinking water or sustainable power generation, while design thinking makes these problems more approachable. 
Design thinking is a very suitable method in addressing the subjects of the SDGs since due to their complexity most of the goals require a multidisciplinary approach which is a core element of the design thinking mind set. Furthermore, the SDGs are of global interest and require local action. The design thinking approach usually defines a concrete problem from the local context and develops the optimal solution for the challenge. Its solution-based approach supports young learners in nurturing their creativity and preparing an innovative mind set which is required to openly embrace current and future challenges and responsibly contribute to our society.
                        
Expected impact

                            Intended impact: We believe that high-quality STEM education is a global prerequisite for individual development and participation in a technology-driven world, which is why we focus our education program on science and technology. Additionally, skills such as critical thinking, problem solving, and the ability to innovate are increasingly important for openly embracing change and responsibly shaping the future.
Input quality: Our cooperation partner The Index Project has practised the use of the methodology in education in multiple projects  in more than 700 schools and has evaluated its impact in the target groups. Well established network of participants: the participants of our workshops is based on our network of STEM teachers and multipliers that have been trained in our Experimento program since years (up today 2.400 teachers/ 1.200.000 children worldwide) and are experienced in innovative education methods. 
Output quality: Monitoring and evaluating the impact of our work is very important to us. In South Africa, where the project has been started in early 2019, the Schools Development Unit is monitoring the project, evaluating the use of the new methods in STEM lessons, and assessing student development. For our project in Latin America, we will build on the instruments and experiences from the evaluation process in South Africa and are planning monitoring in cooperation with local partners such as Pontificia Universidad de Chile in Villarrica and Valparaiso.
Outcome: For any successful shift in education, teachers play a key role, which is why our project “Design Thinking in STEM” addresses the following two target groups of the outcome level: as “agents of change”, it is teachers that create conditions for encouraging creativity and prepare a solution-oriented, innovative mindset among young learners. This is why, first of all, our project supports educators in their own creativity to design contemporary, interdisciplinary and creative lessons while addressing the SDGs. Second, young learners are being empowered to develop meaningful, innovative solutions and sustainable in the classroom and enabled to solve newly emerging problems. The design thinking method is a fitting approach for developing these skills, and by incorporating it into schools, we emphasize our talents and abilities.
Content sustainability: Together with The Index Project, we support educators and participants in preparing the workshops and support them in their implementation of the methodology in their teaching. Our project is linked to the conditions requested by local curricula; there is an option to combine it with additional activities such as regional/national Science Expo etc. Our project is planned for long term application (more than 3 years) and secured in an existing network of Siemens Stiftung and our cooperation partners.
Outcome/Numbers: With one teachers’ training (30 participants) we will be able to reach 10.000 students over the course of 5 years (based on our 9 years experience of teacher trainings with our Experimento program). 
We are actively involved in forums and associations (i.E. STEAM Forums) in the respective regions advocating for a contemporary and high quality STEM education for sustainable development and sharing knowledge and experiences
                        
Website

https://www.siemens-stiftung.org/projects/design-thinking-in-stem/?_sft_working_areas=education&amp;_sft_working_areas=education     https://theindexproject.org/

","['Participating Teachers and the later constructed students', ' that use Design Thinking in STEM education in the classrooms.']","['Christine Niewöhner, Senior Project Manager, christine.niewoehner@siemens-stiftung.org,']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth Employment: Supporting Evidence-Based Policymaking through Local Capacity Development - United Nations Partnerships for SDGs platform,Registered: 10 December 2019,"['Goal 4', '\n\n\nGoal 8']","
Description/achievement of initiative

<p>The overall objective of PEP&rsquo;s commitment is to support and increase evidence-based policy making in nine African countries. The immediate objective is to develop the capacity of local experts to produce a reliable evidence base on youth employment issues, while engaging with policy to ensure uptake in decision and advisory processes. PEP will &nbsp;support local researchers to carry out contextualized research and policy engagement activities through nine projects supported by PEP&rsquo;s current core donors: DFID, IDRC and Hewlett Foundation. The commitment will run for three years from January 2020 to December 2022.</p>
 

 


Implementation methodologies



<p>PEP supports researchers from developing countries through its unique programme, the grant plus model, that uses a &ldquo;learning by doing&rdquo; approach to provide local researchers with a comprehensive package of intensive training, continual mentoring, and international peer-review, designed to strengthen a range of skills related to the production and brokering of scientific evidence to inform policy from project design to publication and dissemination. PEP grantees are required to hold periodic consultations with policy stakeholders throughout the research cycle, including organizing high-level national policy conferences, which include the public and media. Through nine ongoing youth employment projects, PEP will contribute to Decent Jobs for Youth by providing access to information on youth employment policy as an evidence base. PEP will also provide support to promote the uptake of this evidence for policy action. The projects will result in a series of knowledge products, including working papers, policy papers, policy briefs and publications in peer-reviewed journals. PEP also publishes summaries of the projects&rsquo; findings for its news channels and website. At least 27 knowledge products will be produced that will contribute to the Decent Jobs for Youth Knowledge Facility. PEP will also support researchers&rsquo; participation in international conferences, which could include conferences of Decent Jobs for Youth, where they share their research findings with peers. A total of 49 youth employment stakeholders will be supported through technical assistance, capacity building and peer learning. It is estimated that at least 27 knowledge sharing events will be held as part of the projects.</p>



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


Partner(s)


Partnership for Economic Policy (PEP)

",['Partnership for Economic Policy (PEP)'],"['Benin', 'Botswana', ""Côte d'Ivoire"", 'Ethiopia', 'Ghana', 'Senegal', 'Zambia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
