"film_id","title","rental_rate","replacement_cost","inventory_count","rental_count","profit"
627,"North Tequila","4.99","9.99","3","11","24.92"
324,"Flintstones Happiness","4.99","11.99","5","17","24.88"
846,"Sting Personal","4.99","9.99","8","21","24.87"
263,"Durham Panky","4.99","14.99","7","26","24.81"
775,"Seattle Expecations","4.99","18.99","5","24","24.81"
933,"Vampire Whale","4.99","11.99","3","12","23.91"
28,"Anthem Luke","4.99","16.99","3","15","23.88"
777,"Secretary Rouge","4.99","10.99","6","18","23.88"
685,"Platoon Instinct","4.99","10.99","2","9","22.93"
229,"Devil Desire","4.99","12.99","4","15","22.89"
633,"October Submarine","4.99","10.99","3","11","21.92"
905,"Trainspotting Strangers","4.99","10.99","3","11","21.92"
455,"Impossible Prejudice","4.99","11.99","4","14","21.90"
426,"Home Pity","4.99","15.99","3","14","21.89"
804,"Sleeping Suspects","4.99","13.99","7","24","21.83"
867,"Super Wyoming","4.99","10.99","4","13","20.91"
755,"Sabrina Midnight","4.99","11.99","7","21","20.86"
141,"Chicago North","4.99","11.99","5","16","19.89"
179,"Conquerer Nuts","4.99","14.99","4","16","19.88"
267,"Eagles Panky","4.99","14.99","6","22","19.84"
637,"Open African","4.99","16.99","5","21","19.84"
911,"Trip Newton","4.99","14.99","8","28","19.80"
84,"Boiled Dares","4.99","13.99","4","15","18.89"
396,"Hanging Deep","4.99","18.99","4","19","18.85"
117,"Candles Grapes","4.99","15.99","6","23","18.83"
31,"Apache Divine","4.99","16.99","8","31","18.77"
768,"Scarface Bang","4.99","11.99","6","18","17.88"
568,"Memento Zoolander","4.99","11.99","4","13","16.91"
580,"Mine Titans","4.99","12.99","6","19","16.87"
734,"Road Roxanne","4.99","12.99","6","19","16.87"
719,"Records Zorro","4.99","11.99","2","8","15.94"
853,"Stranger Strangers","4.99","12.99","3","11","15.92"
182,"Control Anthem","4.99","9.99","2","7","14.95"
515,"Legally Secretary","4.99","14.99","2","9","14.93"
888,"Thin Sagebrush","4.99","9.99","4","11","14.93"
980,"Wizard Coldblooded","4.99","12.99","5","16","14.89"
212,"Darn Forrester","4.99","14.99","5","18","14.87"
578,"Million Ace","4.99","16.99","5","20","14.85"
898,"Tourist Pelican","4.99","18.99","5","22","14.83"
500,"Kiss Glory","4.99","11.99","8","22","13.86"
518,"Liaisons Sweet","4.99","15.99","6","22","13.84"
239,"Dogma Family","4.99","16.99","8","30","13.78"
46,"Autumn Crow","4.99","13.99","3","11","12.92"
210,"Darko Dorado","4.99","13.99","3","11","12.92"
597,"Moonwalker Fool","4.99","12.99","4","13","12.91"
676,"Philadelphia Wife","4.99","16.99","6","23","12.83"
632,"Nuts Ties","4.99","10.99","3","9","11.94"
798,"Silverado Goldfinger","4.99","11.99","4","12","11.92"
659,"Park Citizen","4.99","14.99","2","8","9.94"
662,"Paths Control","4.99","9.99","4","10","9.94"
75,"Bird Independence","4.99","14.99","3","11","9.92"
522,"Life Twisted","2.99","9.99","2","10","9.92"
946,"Virtual Spoilers","4.99","14.99","4","14","9.90"
968,"Werewolf Lola","4.99","19.99","3","14","9.89"
486,"Jet Neighbors","4.99","14.99","6","20","9.86"
465,"Interview Liaisons","4.99","17.99","5","20","9.85"
354,"Ghost Groundhog","4.99","18.99","5","21","9.84"
695,"President Bang","4.99","12.99","2","7","8.95"
756,"Saddle Antitrust","2.99","10.99","3","14","8.89"
543,"Madigan Dorado","4.99","20.99","2","10","7.92"
411,"Heavenly Gun","4.99","13.99","2","7","6.95"
844,"Steers Armageddon","4.99","16.99","4","15","6.89"
32,"Apocalypse Flamingos","4.99","11.99","2","6","5.96"
29,"Antitrust Tomatoes","2.99","11.99","2","10","5.92"
682,"Pittsburgh Hunchback","4.99","17.99","3","12","5.91"
540,"Lucky Flying","2.99","10.99","3","13","5.90"
346,"Galaxy Sweethearts","4.99","13.99","6","18","5.88"
253,"Drifter Commandments","4.99","18.99","6","24","5.82"
445,"Hyde Doctor","2.99","11.99","6","26","5.80"
826,"Speed Suit","4.99","19.99","2","9","4.93"
133,"Chamber Italian","4.99","14.99","4","13","4.91"
227,"Details Packer","4.99","17.99","5","19","4.86"
818,"Something Duck","4.99","17.99","5","19","4.86"
881,"Temple Attraction","4.99","13.99","4","12","3.92"
42,"Artist Coldblooded","2.99","10.99","4","16","3.88"
526,"Lock Rear","2.99","10.99","4","16","3.88"
694,"Prejudice Oleander","4.99","15.99","6","20","3.86"
670,"Pelican Comforts","4.99","17.99","7","26","3.81"
156,"Clerks Angels","4.99","15.99","2","7","2.95"
653,"Panic Club","4.99","15.99","2","7","2.95"
211,"Darling Breaking","4.99","20.99","2","9","2.93"
466,"Intolerable Intentions","4.99","20.99","2","9","2.93"
770,"Scissorhands Slums","2.99","13.99","3","15","2.88"
843,"Steel Santa","4.99","15.99","7","23","2.84"
51,"Balloon Homeward","2.99","10.99","6","23","2.83"
1000,"Zorro Ark","4.99","18.99","8","31","2.77"
405,"Haunted Antitrust","4.99","13.99","2","6","1.96"
703,"Punk Divorce","4.99","18.99","2","8","1.94"
780,"Sensibility Rear","4.99","15.99","3","10","1.93"
177,"Connecticut Tramp","4.99","20.99","3","13","1.90"
21,"American Circus","4.99","17.99","6","22","1.84"
476,"Jason Trap","2.99","9.99","7","24","1.83"
181,"Contact Anonymous","2.99","10.99","7","26","0.81"
340,"Frontier Cabin","4.99","14.99","2","6","-0.04"
876,"Tarzan Videotape","2.99","11.99","2","8","-0.06"
926,"Untouchables Sunrise","2.99","11.99","2","8","-0.06"
692,"Potluck Mixed","2.99","10.99","3","11","-0.08"
564,"Massage Image","2.99","11.99","3","12","-0.09"
708,"Quills Bull","4.99","19.99","4","16","-0.12"
749,"Rules Human","4.99","19.99","4","16","-0.12"
15,"Alien Center","2.99","10.99","6","22","-0.16"
865,"Sunrise League","4.99","19.99","6","24","-0.18"
961,"Wash Heavenly","4.99","22.99","5","23","-0.18"
185,"Cowboy Doom","2.99","10.99","2","7","-1.05"
246,"Doubtfire Labyrinth","4.99","16.99","3","10","-1.07"
264,"Dwarfs Alter","2.99","13.99","2","9","-1.07"
705,"Purple Movie","2.99","9.99","4","13","-1.09"
134,"Champion Flatliners","4.99","21.99","3","13","-1.10"
626,"Noon Papi","2.99","12.99","4","17","-1.13"
422,"Hollow Jeopardy","4.99","25.99","2","10","-2.08"
347,"Games Bowfinger","4.99","17.99","4","14","-2.10"
847,"Stock Glass","2.99","10.99","4","14","-2.10"
916,"Turn Star","2.99","10.99","4","14","-2.10"
814,"Snatch Slipper","4.99","15.99","7","22","-2.15"
572,"Metropolis Coma","2.99","9.99","8","26","-2.18"
403,"Harry Idaho","4.99","18.99","8","30","-2.22"
903,"Traffic Hobbit","4.99","13.99","2","5","-3.03"
316,"Fire Wolves","4.99","18.99","2","7","-3.05"
684,"Pizza Jumanji","2.99","11.99","2","7","-3.05"
721,"Reds Pocus","4.99","23.99","2","9","-3.07"
544,"Madison Trap","2.99","11.99","4","15","-3.11"
792,"Shrek License","2.99","15.99","3","15","-3.12"
150,"Cider Desire","2.99","9.99","6","19","-3.13"
398,"Hanover Galaxy","4.99","21.99","4","17","-3.13"
912,"Trojan Tomorrow","2.99","9.99","6","19","-3.13"
608,"Murder Antitrust","2.99","11.99","6","23","-3.17"
2,"Ace Goldfinger","4.99","12.99","3","7","-4.04"
959,"Warlock Werewolf","2.99","10.99","2","6","-4.04"
490,"Jumanji Blade","2.99","13.99","2","8","-4.06"
389,"Gunfighter Mussolini","2.99","9.99","4","12","-4.08"
392,"Hall Cassidy","4.99","13.99","6","16","-4.10"
356,"Giant Troopers","2.99","10.99","8","28","-4.20"
278,"Elf Murder","4.99","19.99","2","7","-5.05"
499,"King Evolution","4.99","24.99","2","9","-5.07"
183,"Conversation Downhill","4.99","14.99","6","17","-5.11"
277,"Elephant Trojan","4.99","24.99","3","14","-5.11"
446,"Hysterical Grail","4.99","19.99","4","15","-5.11"
506,"Lady Stage","4.99","14.99","6","17","-5.11"
654,"Panky Submarine","4.99","19.99","4","15","-5.11"
964,"Waterfront Deliverance","4.99","17.99","5","17","-5.12"
308,"Ferris Mother","2.99","13.99","4","17","-5.13"
48,"Backlash Undefeated","4.99","24.99","4","19","-5.15"
880,"Telemark Heartbreakers","2.99","9.99","8","25","-5.17"
884,"Terminator Club","4.99","11.99","3","6","-6.03"
498,"Killer Innocent","2.99","11.99","2","6","-6.04"
883,"Tequila Past","4.99","17.99","2","6","-6.04"
120,"Caribbean Liberty","4.99","16.99","3","9","-6.06"
126,"Casualties Encino","4.99","16.99","3","9","-6.06"
240,"Dolls Rage","2.99","10.99","3","9","-6.06"
187,"Cranes Reservoir","2.99","12.99","3","11","-6.08"
375,"Grail Frankenstein","2.99","17.99","2","10","-6.08"
576,"Mighty Luck","2.99","13.99","3","12","-6.09"
77,"Birds Perdition","4.99","15.99","6","18","-6.12"
254,"Driver Annie","2.99","11.99","5","18","-6.13"
612,"Mussolini Spoilers","2.99","10.99","2","5","-7.03"
781,"Seven Swarm","4.99","15.99","2","5","-7.03"
248,"Dozen Lion","4.99","20.99","2","7","-7.05"
605,"Mulholland Beast","2.99","13.99","2","7","-7.05"
508,"Lambs Cincinatti","4.99","18.99","3","10","-7.07"
661,"Past Suicides","4.99","17.99","4","13","-7.09"
529,"Lonely Elephant","2.99","12.99","4","15","-7.11"
854,"Strangers Graffiti","4.99","22.99","4","17","-7.13"
841,"Star Operation","2.99","9.99","7","21","-7.14"
47,"Baby Hall","4.99","23.99","2","8","-8.06"
587,"Mod Secretary","4.99","20.99","3","11","-8.08"
987,"Words Hunter","2.99","13.99","4","16","-8.12"
106,"Bulworth Commandments","2.99","14.99","2","7","-9.05"
700,"Prix Undefeated","2.99","13.99","3","11","-9.08"
660,"Party Knock","2.99","11.99","4","13","-9.09"
380,"Greek Everyone","2.99","11.99","5","17","-9.12"
393,"Halloween Nuts","2.99","19.99","2","10","-10.08"
739,"Rocky War","4.99","17.99","5","16","-10.11"
95,"Breakfast Goldfinger","4.99","18.99","5","17","-10.12"
251,"Dragonfly Strangers","4.99","19.99","5","18","-10.13"
871,"Sweden Shining","4.99","19.99","5","18","-10.13"
78,"Blackout Private","2.99","12.99","7","27","-10.20"
124,"Casper Dragonfly","4.99","16.99","3","8","-11.05"
214,"Daughter Madigan","4.99","13.99","4","9","-11.05"
640,"Opus Ice","4.99","21.99","3","11","-11.08"
711,"Raging Airplane","4.99","18.99","4","13","-11.09"
765,"Saturn Name","4.99","18.99","4","13","-11.09"
152,"Circus Youth","2.99","13.99","4","15","-11.11"
102,"Bubble Grosse","4.99","20.99","2","6","-12.04"
758,"Saints Bride","2.99","11.99","3","8","-12.05"
656,"Papi Necklace","0.99","9.99","2","8","-12.06"
740,"Rollercoaster Bringing","2.99","13.99","3","10","-12.07"
88,"Born Spinal","4.99","17.99","4","12","-12.08"
368,"Gone Trouble","2.99","20.99","2","10","-12.08"
919,"Tycoon Gathering","4.99","17.99","4","12","-12.08"
116,"Candidate Perdition","2.99","10.99","6","18","-12.12"
443,"Hurricane Affair","2.99","11.99","7","24","-12.17"
879,"Telegraph Voyage","4.99","20.99","7","27","-12.20"
107,"Bunch Minds","2.99","13.99","2","5","-13.03"
362,"Glory Tracy","2.99","13.99","2","5","-13.03"
779,"Sense Greek","4.99","23.99","2","7","-13.05"
996,"Young Language","0.99","9.99","2","7","-13.05"
312,"Fiddler Lost","4.99","20.99","3","10","-13.07"
435,"Hotel Happiness","4.99","28.99","2","9","-13.07"
582,"Miracle Virtual","2.99","19.99","2","9","-13.07"
998,"Zhivago Core","0.99","10.99","2","9","-13.07"
449,"Identity Lover","2.99","12.99","4","13","-13.09"
478,"Jaws Harry","2.99","10.99","5","14","-13.09"
828,"Spiking Element","2.99","12.99","4","13","-13.09"
145,"Chisum Behavior","4.99","25.99","3","13","-13.10"
858,"Submarine Bed","4.99","21.99","4","15","-13.11"
298,"Eyes Driving","2.99","13.99","5","19","-13.14"
989,"Working Microcosmos","4.99","22.99","6","25","-13.19"
259,"Duck Racer","2.99","15.99","2","6","-14.04"
769,"School Jacket","4.99","21.99","2","6","-14.04"
371,"Gosford Donnie","4.99","17.99","3","8","-14.05"
401,"Harold French","0.99","10.99","2","8","-14.06"
60,"Beast Hunchback","4.99","22.99","3","11","-14.08"
539,"Luck Opus","2.99","21.99","2","10","-14.08"
219,"Deep Crusade","4.99","20.99","4","14","-14.10"
22,"Amistad Midsummer","2.99","10.99","7","21","-14.14"
702,"Pulp Beverly","2.99","12.99","8","30","-14.22"
94,"Braveheart Human","2.99","14.99","2","5","-15.03"
343,"Full Flatliners","2.99","14.99","2","5","-15.03"
431,"Hoosiers Birdcage","2.99","12.99","3","8","-15.05"
470,"Ishtar Rocketeer","4.99","24.99","2","7","-15.05"
923,"Unfaithful Kill","2.99","12.99","3","8","-15.05"
230,"Diary Panic","2.99","20.99","2","9","-15.07"
337,"Frida Slipper","2.99","11.99","4","11","-15.07"
492,"Jungle Closer","0.99","11.99","2","9","-15.07"
984,"Wonderful Drop","2.99","20.99","2","9","-15.07"
216,"Day Unfaithful","4.99","16.99","5","14","-15.09"
413,"Hedwig Alter","2.99","16.99","3","12","-15.09"
928,"Uptown Young","2.99","16.99","3","12","-15.09"
437,"House Dynamite","2.99","13.99","6","23","-15.17"
914,"Trouble Date","2.99","13.99","6","23","-15.17"
808,"Sling Luke","0.99","10.99","2","6","-16.04"
817,"Soldiers Evolution","4.99","27.99","2","8","-16.06"
202,"Daddy Pittsburgh","4.99","26.99","3","13","-16.10"
956,"Wanda Chamber","4.99","23.99","4","16","-16.12"
154,"Clash Freddy","2.99","12.99","7","25","-16.18"
310,"Fever Empire","4.99","20.99","2","5","-17.03"
289,"Eve Resurrection","4.99","25.99","2","7","-17.05"
569,"Menagerie Rushmore","2.99","18.99","2","7","-17.05"
842,"State Wasteland","2.99","13.99","4","13","-17.09"
664,"Patriot Roman","2.99","12.99","5","16","-17.11"
58,"Beach Heartbreakers","2.99","16.99","4","17","-17.13"
333,"Freaky Pocus","2.99","16.99","4","17","-17.13"
993,"Wrong Behavior","2.99","10.99","7","20","-17.13"
334,"Freddy Storm","4.99","21.99","6","23","-17.17"
675,"Phantom Glory","2.99","17.99","2","6","-18.04"
754,"Rushmore Mermaid","2.99","17.99","2","6","-18.04"
256,"Drop Waterfront","4.99","20.99","3","9","-18.06"
390,"Guys Falcon","4.99","20.99","3","9","-18.06"
591,"Monsoon Cause","4.99","20.99","3","9","-18.06"
815,"Snatchers Montezuma","2.99","14.99","3","9","-18.06"
822,"Soup Wisdom","0.99","12.99","2","8","-18.06"
934,"Vanilla Day","4.99","20.99","3","9","-18.06"
960,"Wars Pluto","2.99","15.99","3","10","-18.07"
82,"Blood Argonauts","0.99","13.99","2","10","-18.08"
931,"Valentine Vanishing","0.99","9.99","3","12","-18.09"
351,"Gaslight Crusade","2.99","10.99","6","16","-18.10"
365,"Gold River","4.99","21.99","4","14","-18.10"
793,"Shrunk Divine","2.99","14.99","4","14","-18.10"
892,"Titanic Boondock","4.99","18.99","7","23","-18.16"
649,"Oz Liaisons","2.99","14.99","6","24","-18.18"
407,"Hawk Chill","0.99","12.99","2","7","-19.05"
65,"Behavior Runaway","4.99","20.99","4","13","-19.09"
788,"Ship Wonderland","2.99","15.99","4","15","-19.11"
710,"Rage Games","4.99","18.99","6","19","-19.13"
878,"Teen Apollo","4.99","25.99","4","17","-19.13"
400,"Hardly Robbers","2.99","15.99","2","4","-20.02"
472,"Italian African","4.99","24.99","2","6","-20.04"
384,"Grosse Wonderful","4.99","19.99","3","8","-20.05"
990,"World Leathernecks","0.99","13.99","2","8","-20.06"
113,"California Birds","4.99","19.99","4","12","-20.08"
577,"Mile Mulan","0.99","10.99","3","13","-20.10"
604,"Mulan Moon","0.99","10.99","3","13","-20.10"
927,"Uprising Uptown","2.99","16.99","4","16","-20.12"
485,"Jersey Sassy","4.99","16.99","3","6","-21.03"
161,"Clue Grail","4.99","27.99","2","7","-21.05"
261,"Duffel Apocalypse","0.99","13.99","2","7","-21.05"
268,"Early Home","4.99","27.99","2","7","-21.05"
364,"Godfather Diary","2.99","14.99","3","8","-21.05"
104,"Bugsy Song","2.99","17.99","3","11","-21.08"
315,"Finding Anaconda","0.99","10.99","3","12","-21.09"
72,"Bill Others","2.99","12.99","6","19","-21.13"
235,"Divide Monster","2.99","13.99","6","21","-21.15"
125,"Cassidy Wyoming","2.99","19.99","2","6","-22.04"
507,"Ladybugs Armageddon","0.99","13.99","2","6","-22.04"
20,"Amelie Hellfighters","4.99","23.99","3","10","-22.07"
283,"Ending Crowds","0.99","10.99","3","11","-22.08"
300,"Falcon Volume","4.99","21.99","6","22","-22.16"
459,"Informer Double","4.99","23.99","2","5","-23.03"
558,"Mannequin Worst","2.99","18.99","2","5","-23.03"
237,"Divorce Shining","2.99","21.99","2","7","-23.05"
513,"Leathernecks Dwarfs","2.99","21.99","2","7","-23.05"
541,"Luke Mummy","2.99","21.99","2","7","-23.05"
321,"Flash Wars","4.99","21.99","4","13","-23.09"
929,"Usual Untouchables","4.99","21.99","4","13","-23.09"
611,"Musketeers Wait","4.99","17.99","6","17","-23.11"
70,"Bikini Borrowers","4.99","26.99","4","17","-23.13"
299,"Factory Dragon","0.99","9.99","4","17","-23.13"
348,"Gandhi Kwai","0.99","9.99","4","17","-23.13"
162,"Clueless Bucket","2.99","13.99","7","25","-23.18"
468,"Invasion Cyclone","2.99","12.99","8","27","-23.19"
284,"Enemy Odds","4.99","23.99","7","29","-23.22"
372,"Graceland Dynamite","4.99","26.99","2","6","-24.04"
836,"Squad Fish","2.99","14.99","3","7","-24.04"
997,"Youth Kick","0.99","14.99","2","6","-24.04"
208,"Dares Pluto","2.99","16.99","3","9","-24.06"
952,"Wagon Jaws","2.99","17.99","3","10","-24.07"
93,"Brannigan Sunrise","4.99","27.99","3","12","-24.09"
456,"Inch Jet","4.99","18.99","6","18","-24.12"
657,"Paradise Sabrina","2.99","12.99","6","18","-24.12"
679,"Pilot Hoosiers","2.99","17.99","4","16","-24.12"
92,"Bowfinger Gables","4.99","19.99","4","11","-25.07"
487,"Jingle Sagebrush","4.99","29.99","3","13","-25.10"
994,"Wyoming Storm","4.99","29.99","3","13","-25.10"
226,"Destiny Saturday","4.99","20.99","5","16","-25.11"
570,"Mermaid Insects","4.99","20.99","5","16","-25.11"
791,"Show Lord","4.99","24.99","6","25","-25.19"
220,"Deer Virginian","2.99","13.99","8","29","-25.21"
635,"Oklahoma Jumanji","0.99","15.99","2","6","-26.04"
223,"Desire Alien","2.99","24.99","2","8","-26.06"
829,"Spinal Rocky","2.99","12.99","5","13","-26.08"
190,"Creepers Kane","4.99","23.99","4","14","-26.10"
629,"Notorious Reunion","0.99","9.99","4","14","-26.10"
56,"Barefoot Manchurian","2.99","15.99","5","18","-26.13"
330,"Forrester Comancheros","4.99","22.99","7","27","-26.20"
838,"Stagecoach Armageddon","4.99","25.99","6","26","-26.20"
947,"Vision Torque","0.99","16.99","2","7","-27.05"
338,"Frisco Forrest","4.99","23.99","3","9","-27.06"
820,"Sons Interview","2.99","11.99","6","15","-27.09"
96,"Breaking Home","2.99","21.99","3","13","-27.10"
373,"Graduate Lord","2.99","14.99","5","16","-27.11"
937,"Varsity Trip","2.99","14.99","5","16","-27.11"
100,"Brooklyn Desert","4.99","21.99","6","21","-27.15"
255,"Driving Polish","4.99","21.99","6","21","-27.15"
674,"Pet Haunting","0.99","11.99","3","8","-28.05"
751,"Runaway Tenenbaums","0.99","17.99","2","8","-28.06"
306,"Feathers Metal","0.99","12.99","3","11","-28.08"
158,"Clones Pinocchio","2.99","16.99","5","19","-28.14"
706,"Queen Luke","4.99","22.99","6","22","-28.16"
441,"Hunter Alter","2.99","21.99","2","5","-29.03"
699,"Private Drop","4.99","26.99","2","5","-29.03"
935,"Vanished Garden","0.99","17.99","2","7","-29.05"
30,"Anything Savannah","2.99","27.99","2","9","-29.07"
355,"Ghostbusters Elf","0.99","18.99","2","9","-29.07"
482,"Jeopardy Encino","0.99","12.99","3","10","-29.07"
553,"Maker Gables","0.99","12.99","3","10","-29.07"
636,"Oleander Clue","0.99","12.99","3","10","-29.07"
886,"Theory Mermaid","0.99","9.99","4","11","-29.07"
469,"Iron Moon","4.99","27.99","3","11","-29.08"
896,"Tootsie Pilot","0.99","10.99","4","15","-29.11"
907,"Translation Summer","0.99","10.99","4","15","-29.11"
169,"Comforts Rush","2.99","19.99","4","17","-29.13"
23,"Anaconda Confessions","0.99","9.99","5","21","-29.16"
369,"Goodfellas Salute","4.99","22.99","8","31","-29.23"
62,"Bed Highball","2.99","23.99","2","6","-30.04"
224,"Desperate Trainspotting","4.99","29.99","2","6","-30.04"
262,"Dumbo Lust","0.99","17.99","2","6","-30.04"
399,"Happiness United","2.99","23.99","2","6","-30.04"
978,"Wisdom Worker","0.99","12.99","3","9","-30.06"
983,"Won Dares","2.99","18.99","3","9","-30.06"
837,"Stage World","2.99","19.99","3","10","-30.07"
613,"Mystic Truman","0.99","19.99","2","10","-30.08"
533,"Lost Bird","2.99","21.99","3","12","-30.09"
900,"Town Ark","2.99","17.99","4","14","-30.10"
44,"Attacks Hate","4.99","21.99","5","16","-30.11"
336,"French Holiday","4.99","22.99","5","17","-30.12"
442,"Hunting Musketeers","2.99","24.99","3","15","-30.12"
99,"Bringing Hysterical","2.99","14.99","6","20","-30.14"
462,"Insider Arizona","2.99","17.99","5","20","-30.15"
668,"Peak Forever","4.99","25.99","5","20","-30.15"
985,"Wonderland Christmas","4.99","19.99","7","22","-30.15"
25,"Angels Life","2.99","15.99","6","22","-30.16"
527,"Lola Agent","4.99","24.99","6","24","-30.18"
683,"Pity Bound","4.99","19.99","8","26","-30.18"
53,"Bang Kwai","2.99","25.99","2","7","-31.05"
787,"Shining Roses","0.99","12.99","3","8","-31.05"
201,"Cyclone Family","2.99","18.99","4","15","-31.11"
962,"Wasteland Divine","2.99","18.99","4","15","-31.11"
265,"Dying Maker","4.99","28.99","4","17","-31.13"
286,"Enough Raging","2.99","16.99","5","18","-31.13"
473,"Jacket Frisco","2.99","16.99","5","18","-31.13"
785,"Shawshank Bubble","4.99","20.99","6","19","-31.13"
747,"Roxanne Rebel","0.99","9.99","5","19","-31.14"
835,"Spy Mile","2.99","13.99","8","27","-31.19"
197,"Crusade Honey","2.99","27.99","2","8","-32.06"
548,"Magnificent Chitty","2.99","27.99","2","8","-32.06"
291,"Evolution Alter","0.99","10.99","4","12","-32.08"
323,"Flight Lies","4.99","22.99","4","12","-32.08"
889,"Ties Hunger","4.99","28.99","3","11","-32.08"
139,"Chasing Fight","4.99","21.99","6","20","-32.14"
680,"Pinocchio Simon","4.99","21.99","6","20","-32.14"
83,"Blues Instinct","2.99","18.99","5","21","-32.16"
547,"Magic Mallrats","0.99","19.99","2","7","-33.05"
910,"Treatment Jekyll","0.99","19.99","2","7","-33.05"
425,"Holy Tadpole","0.99","20.99","2","9","-33.07"
454,"Impact Aladdin","0.99","20.99","2","9","-33.07"
5,"African Egg","2.99","22.99","3","12","-33.09"
825,"Speakeasy Date","2.99","22.99","3","12","-33.09"
68,"Betrayed Rear","4.99","26.99","4","15","-33.11"
623,"Newton Labyrinth","0.99","9.99","5","17","-33.12"
603,"Movie Shakespeare","4.99","27.99","6","27","-33.21"
904,"Train Bunch","4.99","26.99","2","4","-34.02"
566,"Maude Mod","0.99","20.99","2","8","-34.06"
257,"Drumline Cyclone","0.99","14.99","3","11","-34.08"
899,"Towers Hurricane","0.99","14.99","3","11","-34.08"
693,"Potter Connecticut","2.99","16.99","5","17","-34.12"
474,"Jade Bunch","2.99","21.99","4","18","-34.14"
688,"Polish Brooklyn","0.99","12.99","4","18","-34.14"
824,"Spartacus Cheaper","4.99","19.99","4","9","-35.05"
258,"Drums Dynamite","0.99","11.99","4","13","-35.09"
123,"Casablanca Super","4.99","22.99","5","16","-35.11"
236,"Divine Resurrection","2.99","19.99","4","15","-35.11"
510,"Lawless Vision","4.99","29.99","4","17","-35.13"
496,"Kick Savannah","0.99","10.99","5","20","-35.15"
327,"Fool Mockingbird","4.99","24.99","6","23","-35.17"
523,"Lights Deer","0.99","21.99","2","8","-36.06"
689,"Pollock Deliverance","2.99","14.99","6","18","-36.12"
902,"Trading Pinocchio","4.99","22.99","7","25","-36.18"
520,"License Weekend","2.99","28.99","2","7","-37.05"
746,"Rouge Squad","0.99","10.99","5","18","-37.13"
477,"Jawbreaker Brooklyn","0.99","15.99","3","10","-38.07"
648,"Outlaw Hanky","4.99","17.99","6","14","-38.08"
24,"Analyze Hoosiers","2.99","19.99","4","14","-38.10"
658,"Paris Weekend","2.99","19.99","4","14","-38.10"
484,"Jerk Paycheck","2.99","13.99","7","20","-38.13"
827,"Spice Sorority","4.99","22.99","6","20","-38.14"
789,"Shock Cabin","2.99","15.99","8","30","-38.22"
238,"Doctor Grail","2.99","29.99","2","7","-39.05"
761,"Santa Paris","2.99","23.99","3","11","-39.08"
27,"Anonymous Human","0.99","12.99","4","13","-39.09"
71,"Bilko Anonymous","4.99","25.99","4","13","-39.09"
581,"Minority Kiss","0.99","16.99","3","12","-39.09"
872,"Sweet Brotherhood","2.99","27.99","3","15","-39.12"
129,"Cause Date","2.99","16.99","6","21","-39.15"
953,"Wait Cider","0.99","9.99","6","21","-39.15"
