"film_id","title","rating","rental_rate","replacement_cost","inventory_count","rental_count","profit","category_name"
615,"Nash Chocolat","PG-13","2.99","21.99","4","15","-43.11","Animation"
651,"Packer Madigan","PG-13","0.99","20.99","6","22","-104.16","Animation"
690,"Pond Seattle","PG-13","2.99","25.99","6","19","-99.13","Animation"
865,"Sunrise League","PG-13","4.99","19.99","6","24","-0.18","Animation"
880,"Telemark Heartbreakers","PG-13","2.99","9.99","8","25","-5.17","Animation"
886,"Theory Mermaid","PG-13","0.99","9.99","4","11","-29.07","Animation"
887,"Thief Pelican","PG-13","4.99","28.99","6","19","-79.13","Animation"
953,"Wait Cider","PG-13","0.99","9.99","6","21","-39.15","Animation"
23,"Anaconda Confessions","R","0.99","9.99","5","21","-29.16","Animation"
118,"Canyon Stock","R","0.99","26.99","6","19","-143.13","Animation"
245,"Double Wrath","R","0.99","28.99","7","25","-178.18","Animation"
314,"Fight Jawbreaker","R","0.99","13.99","6","22","-62.16","Animation"
355,"Ghostbusters Elf","R","0.99","18.99","2","9","-29.07","Animation"
470,"Ishtar Rocketeer","R","4.99","24.99","2","7","-15.05","Animation"
649,"Oz Liaisons","R","2.99","14.99","6","24","-18.18","Animation"
892,"Titanic Boondock","R","4.99","18.99","7","23","-18.16","Animation"
70,"Bikini Borrowers","NC-17","4.99","26.99","4","17","-23.13","Animation"
223,"Desire Alien","NC-17","2.99","24.99","2","8","-26.06","Animation"
241,"Donnie Alley","NC-17","0.99","20.99","4","14","-70.10","Animation"
243,"Doors President","NC-17","4.99","22.99","6","19","-43.13","Animation"
259,"Duck Racer","NC-17","2.99","15.99","2","6","-14.04","Animation"
268,"Early Home","NC-17","4.99","27.99","2","7","-21.05","Animation"
326,"Flying Hook","NC-17","2.99","18.99","6","20","-54.14","Animation"
330,"Forrester Comancheros","NC-17","4.99","22.99","7","27","-26.20","Animation"
456,"Inch Jet","NC-17","4.99","18.99","6","18","-24.12","Animation"
461,"Insects Stone","NC-17","0.99","14.99","6","18","-72.12","Animation"
541,"Luke Mummy","NC-17","2.99","21.99","2","7","-23.05","Animation"
696,"Pride Alamo","NC-17","0.99","20.99","5","16","-89.11","Animation"
820,"Sons Interview","NC-17","2.99","11.99","6","15","-27.09","Animation"
849,"Storm Happiness","NC-17","0.99","28.99","8","29","-203.21","Animation"
986,"Wonka Sea","NC-17","2.99","24.99","6","18","-96.12","Animation"
238,"Doctor Grail","G","2.99","29.99","2","7","-39.05","Children"
280,"Empire Malkovich","G","0.99","26.99","6","21","-141.15","Children"
304,"Fargo Gandhi","G","2.99","28.99","6","24","-102.18","Children"
354,"Ghost Groundhog","G","4.99","18.99","5","21","9.84","Children"
373,"Graduate Lord","G","2.99","14.99","5","16","-27.11","Children"
409,"Heartbreakers Bright","G","4.99","9.99","7","20","29.87","Children"
626,"Noon Papi","G","2.99","12.99","4","17","-1.13","Children"
853,"Stranger Strangers","G","4.99","12.99","3","11","15.92","Children"
873,"Sweethearts Suspects","G","0.99","13.99","8","29","-83.21","Children"
959,"Warlock Werewolf","G","2.99","10.99","2","6","-4.04","Children"
343,"Full Flatliners","PG","2.99","14.99","2","5","-15.03","Children"
423,"Hollywood Anonymous","PG","0.99","29.99","4","13","-107.09","Children"
468,"Invasion Cyclone","PG","2.99","12.99","8","27","-23.19","Children"
485,"Jersey Sassy","PG","4.99","16.99","3","6","-21.03","Children"
515,"Legally Secretary","PG","4.99","14.99","2","9","14.93","Children"
547,"Magic Mallrats","PG","0.99","19.99","2","7","-33.05","Children"
608,"Murder Antitrust","PG","2.99","11.99","6","23","-3.17","Children"
688,"Polish Brooklyn","PG","0.99","12.99","4","18","-34.14","Children"
755,"Sabrina Midnight","PG","4.99","11.99","7","21","20.86","Children"
761,"Santa Paris","PG","2.99","23.99","3","11","-39.08","Children"
883,"Tequila Past","PG","4.99","17.99","2","6","-6.04","Children"
896,"Tootsie Pilot","PG","0.99","10.99","4","15","-29.11","Children"
918,"Twisted Pirates","PG","4.99","23.99","4","11","-41.07","Children"
928,"Uptown Young","PG","2.99","16.99","3","12","-15.09","Children"
48,"Backlash Undefeated","PG-13","4.99","24.99","4","19","-5.15","Children"
124,"Casper Dragonfly","PG-13","4.99","16.99","3","8","-11.05","Children"
152,"Circus Youth","PG-13","2.99","13.99","4","15","-11.11","Children"
157,"Clockwork Paradise","PG-13","0.99","29.99","3","10","-80.07","Children"
191,"Crooked Frogmen","PG-13","0.99","27.99","6","23","-145.17","Children"
214,"Daughter Madigan","PG-13","4.99","13.99","4","9","-11.05","Children"
344,"Fury Murder","PG-13","0.99","28.99","5","19","-126.14","Children"
505,"Labyrinth League","PG-13","2.99","24.99","4","15","-55.11","Children"
553,"Maker Gables","PG-13","0.99","12.99","3","10","-29.07","Children"
573,"Microcosmos Paradise","PG-13","2.99","22.99","4","13","-53.09","Children"
735,"Robbers Joon","PG-13","2.99","26.99","7","31","-96.24","Children"
768,"Scarface Bang","PG-13","4.99","11.99","6","18","17.88","Children"
993,"Wrong Behavior","PG-13","2.99","10.99","7","20","-17.13","Children"
59,"Bear Graceland","R","2.99","20.99","5","22","-39.17","Children"
168,"Comancheros Enemy","R","0.99","23.99","2","6","-42.04","Children"
356,"Giant Troopers","R","2.99","10.99","8","28","-4.20","Children"
370,"Gorgeous Bingo","R","2.99","26.99","5","19","-78.14","Children"
424,"Holocaust Highball","R","0.99","12.99","5","17","-48.12","Children"
786,"Shepherd Midsummer","R","0.99","14.99","7","25","-80.18","Children"
833,"Splendor Patton","R","0.99","20.99","7","21","-126.14","Children"
889,"Ties Hunger","R","4.99","28.99","3","11","-32.08","Children"
999,"Zoolander Fiction","R","2.99","28.99","5","17","-94.12","Children"
66,"Beneath Rush","NC-17","0.99","27.99","3","10","-74.07","Children"
68,"Betrayed Rear","NC-17","4.99","26.99","4","15","-33.11","Children"
110,"Cabin Flash","NC-17","0.99","25.99","4","15","-89.11","Children"
149,"Christmas Moonshine","NC-17","0.99","21.99","6","21","-111.15","Children"
328,"Forever Candidate","NC-17","2.99","28.99","4","13","-77.09","Children"
392,"Hall Cassidy","NC-17","4.99","13.99","6","16","-4.10","Children"
450,"Idols Snatchers","NC-17","2.99","29.99","7","30","-120.23","Children"
491,"Jumping Wrath","NC-17","0.99","18.99","6","24","-90.18","Children"
509,"Language Cowboy","NC-17","0.99","26.99","3","11","-70.08","Children"
588,"Model Fish","NC-17","4.99","11.99","4","15","26.89","Children"
852,"Strangelove Desire","NC-17","0.99","27.99","7","24","-172.17","Children"
864,"Sundance Invasion","NC-17","0.99","21.99","6","19","-113.13","Children"
166,"Color Philadelphia","G","2.99","19.99","6","24","-48.18","Classics"
196,"Cruelty Unforgiven","G","0.99","29.99","2","7","-53.05","Classics"
249,"Dracula Crystal","G","0.99","26.99","6","21","-141.15","Classics"
297,"Extraordinary Conquerer","G","2.99","29.99","2","6","-42.04","Classics"
357,"Gilbert Pelican","G","0.99","13.99","4","9","-47.05","Classics"
445,"Hyde Doctor","G","2.99","11.99","6","26","5.80","Classics"
537,"Lover Truman","G","2.99","29.99","3","10","-60.07","Classics"
554,"Malkovich Pet","G","2.99","22.99","7","26","-83.19","Classics"
828,"Spiking Element","G","2.99","12.99","4","13","-13.09","Classics"
862,"Summer Scarface","G","0.99","25.99","5","16","-114.11","Classics"
891,"Timberland Sky","G","0.99","13.99","7","31","-67.24","Classics"
37,"Arizona Bang","PG","2.99","28.99","7","21","-140.14","Classics"
91,"Bound Cheaper","PG","0.99","17.99","8","24","-120.16","Classics"
131,"Center Dinosaur","PG","4.99","12.99","6","24","41.82","Classics"
341,"Frost Head","PG","0.99","13.99","8","30","-82.22","Classics"
469,"Iron Moon","PG","4.99","27.99","3","11","-29.08","Classics"
536,"Lovely Jingle","PG","2.99","18.99","5","14","-53.09","Classics"
611,"Musketeers Wait","PG","4.99","17.99","6","17","-23.11","Classics"
962,"Wasteland Divine","PG","2.99","18.99","4","15","-31.11","Classics"
180,"Conspiracy Spirit","PG-13","2.99","27.99","2","5","-41.03","Classics"
184,"Core Suit","PG-13","2.99","24.99","5","18","-71.13","Classics"
228,"Detective Vision","PG-13","0.99","16.99","7","27","-92.20","Classics"
266,"Dynamite Tarzan","PG-13","0.99","27.99","8","25","-199.17","Classics"
487,"Jingle Sagebrush","PG-13","4.99","29.99","3","13","-25.10","Classics"
512,"League Hellfighters","PG-13","4.99","25.99","6","17","-71.11","Classics"
578,"Million Ace","PG-13","4.99","16.99","5","20","14.85","Classics"
633,"October Submarine","PG-13","4.99","10.99","3","11","21.92","Classics"
694,"Prejudice Oleander","PG-13","4.99","15.99","6","20","3.86","Classics"
731,"Right Cranes","PG-13","4.99","29.99","3","10","-40.07","Classics"
744,"Roots Remember","PG-13","0.99","23.99","5","17","-103.12","Classics"
815,"Snatchers Montezuma","PG-13","2.99","14.99","3","9","-18.06","Classics"
951,"Voyage Legally","PG-13","0.99","28.99","7","28","-175.21","Classics"
60,"Beast Hunchback","R","4.99","22.99","3","11","-14.08","Classics"
116,"Candidate Perdition","R","2.99","10.99","6","18","-12.12","Classics"
346,"Galaxy Sweethearts","R","4.99","13.99","6","18","5.88","Classics"
358,"Gilmore Boiled","R","0.99","29.99","8","28","-212.20","Classics"
425,"Holy Tadpole","R","0.99","20.99","2","9","-33.07","Classics"
480,"Jeepers Wedding","R","2.99","29.99","4","16","-72.12","Classics"
482,"Jeopardy Encino","R","0.99","12.99","3","10","-29.07","Classics"
523,"Lights Deer","R","0.99","21.99","2","8","-36.06","Classics"
525,"Loathing Legally","R","0.99","29.99","8","27","-213.19","Classics"
548,"Magnificent Chitty","R","2.99","27.99","2","8","-32.06","Classics"
652,"Pajama Jawbreaker","R","0.99","14.99","4","14","-46.10","Classics"
725,"Requiem Tycoon","R","4.99","25.99","6","19","-61.13","Classics"
808,"Sling Luke","R","0.99","10.99","2","6","-16.04","Classics"
895,"Tomorrow Hustler","R","2.99","21.99","7","25","-79.18","Classics"
190,"Creepers Kane","NC-17","4.99","23.99","4","14","-26.10","Classics"
432,"Hope Tootsie","NC-17","2.99","22.99","5","18","-61.13","Classics"
471,"Island Exorcist","NC-17","2.99","23.99","7","26","-90.19","Classics"
484,"Jerk Paycheck","NC-17","2.99","13.99","7","20","-38.13","Classics"
663,"Patient Sister","NC-17","0.99","29.99","5","19","-131.14","Classics"
843,"Steel Santa","NC-17","4.99","15.99","7","23","2.84","Classics"
899,"Towers Hurricane","NC-17","0.99","14.99","3","11","-34.08","Classics"
970,"Westward Seabiscuit","NC-17","0.99","11.99","7","26","-58.19","Classics"
119,"Caper Motions","G","0.99","22.99","7","24","-137.17","Comedy"
127,"Cat Coneheads","G","4.99","14.99","8","30","29.78","Comedy"
178,"Connection Microcosmos","G","0.99","25.99","2","7","-45.05","Comedy"
182,"Control Anthem","G","4.99","9.99","2","7","14.95","Comedy"
202,"Daddy Pittsburgh","G","4.99","26.99","3","13","-16.10","Comedy"
247,"Downhill Enough","G","0.99","19.99","7","25","-115.18","Comedy"
478,"Jaws Harry","G","2.99","10.99","5","14","-13.09","Comedy"
529,"Lonely Elephant","G","2.99","12.99","4","15","-7.11","Comedy"
604,"Mulan Moon","G","0.99","10.99","3","13","-20.10","Comedy"
638,"Operation Operation","G","2.99","23.99","8","27","-111.19","Comedy"
932,"Valley Packer","G","0.99","21.99","4","15","-73.11","Comedy"
99,"Bringing Hysterical","PG","2.99","14.99","6","20","-30.14","Comedy"
188,"Crazy Home","PG","2.99","24.99","3","9","-48.06","Comedy"
265,"Dying Maker","PG","4.99","28.99","4","17","-31.13","Comedy"
308,"Ferris Mother","PG","2.99","13.99","4","17","-5.13","Comedy"
317,"Fireball Philadelphia","PG","0.99","25.99","7","21","-161.14","Comedy"
410,"Heaven Freedom","PG","2.99","19.99","5","18","-46.13","Comedy"
443,"Hurricane Affair","PG","2.99","11.99","7","24","-12.17","Comedy"
524,"Lion Uncut","PG","0.99","13.99","6","18","-66.12","Comedy"
555,"Mallrats United","PG","0.99","25.99","7","25","-157.18","Comedy"
660,"Party Knock","PG","2.99","11.99","4","13","-9.09","Comedy"
680,"Pinocchio Simon","PG","4.99","21.99","6","20","-32.14","Comedy"
814,"Snatch Slipper","PG","4.99","15.99","7","22","-2.15","Comedy"
837,"Stage World","PG","2.99","19.99","3","10","-30.07","Comedy"
871,"Sweden Shining","PG","4.99","19.99","5","18","-10.13","Comedy"
906,"Tramp Others","PG","0.99","27.99","5","20","-120.15","Comedy"
7,"Airplane Sierra","PG-13","4.99","28.99","5","15","-70.10","Comedy"
28,"Anthem Luke","PG-13","4.99","16.99","3","15","23.88","Comedy"
324,"Flintstones Happiness","PG-13","4.99","11.99","5","17","24.88","Comedy"
335,"Freedom Cleopatra","PG-13","0.99","23.99","2","5","-43.03","Comedy"
385,"Groundhog Uncut","PG-13","4.99","26.99","5","18","-45.13","Comedy"
502,"Knock Warlock","PG-13","2.99","21.99","7","24","-82.17","Comedy"
657,"Paradise Sabrina","PG-13","2.99","12.99","6","18","-24.12","Comedy"
672,"Perfect Groove","PG-13","2.99","17.99","6","17","-57.11","Comedy"
754,"Rushmore Mermaid","PG-13","2.99","17.99","2","6","-18.04","Comedy"
756,"Saddle Antitrust","PG-13","2.99","10.99","3","14","8.89","Comedy"
857,"Strictly Scarface","PG-13","2.99","24.99","7","23","-106.16","Comedy"
905,"Trainspotting Strangers","PG-13","4.99","10.99","3","11","21.92","Comedy"
159,"Closer Bang","R","4.99","12.99","7","28","48.79","Comedy"
242,"Doom Dancing","R","0.99","13.99","5","21","-49.16","Comedy"
365,"Gold River","R","4.99","21.99","4","14","-18.10","Comedy"
765,"Saturn Name","R","4.99","18.99","4","13","-11.09","Comedy"
858,"Submarine Bed","R","4.99","21.99","4","15","-13.11","Comedy"
938,"Velvet Terminator","R","4.99","14.99","6","26","39.80","Comedy"
939,"Vertigo Northwest","R","2.99","17.99","4","8","-48.04","Comedy"
978,"Wisdom Worker","R","0.99","12.99","3","9","-30.06","Comedy"
276,"Element Freddy","NC-17","4.99","28.99","4","10","-66.06","Comedy"
388,"Gunfight Moon","NC-17","0.99","16.99","6","24","-78.18","Comedy"
413,"Hedwig Alter","NC-17","2.99","16.99","3","12","-15.09","Comedy"
444,"Hustler Party","NC-17","4.99","22.99","8","22","-74.14","Comedy"
522,"Life Twisted","NC-17","2.99","9.99","2","10","9.92","Comedy"
568,"Memento Zoolander","NC-17","4.99","11.99","4","13","16.91","Comedy"
613,"Mystic Truman","NC-17","0.99","19.99","2","10","-30.08","Comedy"
704,"Pure Runner","NC-17","2.99","25.99","5","16","-82.11","Comedy"
774,"Searchers Wait","NC-17","2.99","22.99","4","14","-50.10","Comedy"
1000,"Zorro Ark","NC-17","4.99","18.99","8","31","2.77","Comedy"
58,"Beach Heartbreakers","G","2.99","16.99","4","17","-17.13","Documentary"
85,"Bonnie Holocaust","G","0.99","29.99","4","16","-104.12","Documentary"
156,"Clerks Angels","G","4.99","15.99","2","7","2.95","Documentary"
206,"Dancing Fever","G","0.99","25.99","8","27","-181.19","Documentary"
261,"Duffel Apocalypse","G","0.99","13.99","2","7","-21.05","Documentary"
412,"Heavyweights Beast","G","4.99","25.99","8","23","-93.15","Documentary"
575,"Midsummer Groundhog","G","4.99","27.99","6","22","-58.16","Documentary"
622,"Newsies Story","G","0.99","25.99","2","7","-45.05","Documentary"
650,"Pacific Amistad","G","0.99","27.99","6","24","-144.18","Documentary"
757,"Sagebrush Clueless","G","2.99","28.99","5","16","-97.11","Documentary"
834,"Spoilers Hellfighters","G","0.99","26.99","3","10","-71.07","Documentary"
960,"Wars Pluto","G","2.99","15.99","3","10","-18.07","Documentary"
996,"Young Language","G","0.99","9.99","2","7","-13.05","Documentary"
1,"Academy Dinosaur","PG","0.99","20.99","8","23","-145.15","Documentary"
72,"Bill Others","PG","2.99","12.99","6","19","-21.13","Documentary"
142,"Chicken Hellfighters","PG","0.99","24.99","5","22","-103.17","Documentary"
150,"Cider Desire","PG","2.99","9.99","6","19","-3.13","Documentary"
164,"Coast Rainbow","PG","0.99","20.99","5","21","-84.16","Documentary"
274,"Egg Igby","PG","2.99","20.99","7","21","-84.14","Documentary"
295,"Expendable Stallion","PG","0.99","14.99","8","28","-92.20","Documentary"
336,"French Holiday","PG","4.99","22.99","5","17","-30.12","Documentary"
552,"Majestic Floats","PG","0.99","15.99","4","17","-47.13","Documentary"
576,"Mighty Luck","PG","2.99","13.99","3","12","-6.09","Documentary"
589,"Modern Dorado","PG","0.99","20.99","4","15","-69.11","Documentary"
670,"Pelican Comforts","PG","4.99","17.99","7","26","3.81","Documentary"
776,"Secret Groundhog","PG","4.99","11.99","5","21","44.84","Documentary"
952,"Wagon Jaws","PG","2.99","17.99","3","10","-24.07","Documentary"
966,"Wedding Apollo","PG","0.99","14.99","6","24","-66.18","Documentary"
219,"Deep Crusade","PG-13","4.99","20.99","4","14","-14.10","Documentary"
393,"Halloween Nuts","PG-13","2.99","19.99","2","10","-10.08","Documentary"
407,"Hawk Chill","PG-13","0.99","12.99","2","7","-19.05","Documentary"
441,"Hunter Alter","PG-13","2.99","21.99","2","5","-29.03","Documentary"
466,"Intolerable Intentions","PG-13","4.99","20.99","2","9","2.93","Documentary"
571,"Metal Armageddon","PG-13","2.99","26.99","6","25","-87.19","Documentary"
791,"Show Lord","PG-13","4.99","24.99","6","25","-25.19","Documentary"
812,"Smoking Barbarella","PG-13","0.99","13.99","6","18","-66.12","Documentary"
855,"Streak Ridgemont","PG-13","0.99","28.99","4","16","-100.12","Documentary"
888,"Thin Sagebrush","PG-13","4.99","9.99","4","11","14.93","Documentary"
40,"Army Flintstones","R","0.99","22.99","4","16","-76.12","Documentary"
101,"Brotherhood Blanket","R","0.99","26.99","6","26","-136.20","Documentary"
129,"Cause Date","R","2.99","16.99","6","21","-39.15","Documentary"
199,"Cupboard Sinners","R","2.99","29.99","8","23","-171.15","Documentary"
400,"Hardly Robbers","R","2.99","15.99","2","4","-20.02","Documentary"
427,"Homeward Cider","R","0.99","19.99","4","16","-64.12","Documentary"
544,"Madison Trap","R","2.99","11.99","4","15","-3.11","Documentary"
708,"Quills Bull","R","4.99","19.99","4","16","-0.12","Documentary"
734,"Road Roxanne","R","4.99","12.99","6","19","16.87","Documentary"
788,"Ship Wonderland","R","2.99","15.99","4","15","-19.11","Documentary"
925,"United Pilot","R","0.99","27.99","5","17","-123.12","Documentary"
945,"Virginian Pluto","R","0.99","22.99","8","29","-155.21","Documentary"
3,"Adaptation Holes","NC-17","2.99","18.99","4","12","-40.08","Documentary"
62,"Bed Highball","NC-17","2.99","23.99","2","6","-30.04","Documentary"
248,"Dozen Lion","NC-17","4.99","20.99","2","7","-7.05","Documentary"
457,"Independence Hotel","NC-17","0.99","21.99","6","19","-113.13","Documentary"
587,"Mod Secretary","NC-17","4.99","20.99","3","11","-8.08","Documentary"
616,"National Story","NC-17","2.99","19.99","6","19","-63.13","Documentary"
627,"North Tequila","NC-17","4.99","9.99","3","11","24.92","Documentary"
629,"Notorious Reunion","NC-17","0.99","9.99","4","14","-26.10","Documentary"
687,"Pocus Pulp","NC-17","0.99","15.99","7","26","-86.19","Documentary"
698,"Princess Giant","NC-17","2.99","29.99","7","27","-129.20","Documentary"
926,"Untouchables Sunrise","NC-17","2.99","11.99","2","8","-0.06","Documentary"
973,"Wife Turn","NC-17","4.99","27.99","8","31","-69.23","Documentary"
992,"Wrath Mile","NC-17","0.99","17.99","4","14","-58.10","Documentary"
61,"Beauty Grease","G","4.99","28.99","6","22","-64.16","Drama"
107,"Bunch Minds","G","2.99","13.99","2","5","-13.03","Drama"
146,"Chitty Lock","G","2.99","24.99","3","8","-51.05","Drama"
179,"Conquerer Nuts","G","4.99","14.99","4","16","19.88","Drama"
230,"Diary Panic","G","2.99","20.99","2","9","-15.07","Drama"
366,"Goldfinger Sensibility","G","0.99","29.99","7","24","-186.17","Drama"
396,"Hanging Deep","G","4.99","18.99","4","19","18.85","Drama"
585,"Mob Duffel","G","0.99","25.99","4","12","-92.08","Drama"
758,"Saints Bride","G","2.99","11.99","3","8","-12.05","Drama"
897,"Torque Bound","G","4.99","27.99","8","27","-89.19","Drama"
958,"Wardrobe Phantom","G","2.99","19.99","6","27","-39.21","Drama"
969,"West Lion","G","4.99","29.99","4","16","-40.12","Drama"
143,"Chill Luck","PG","0.99","17.99","7","22","-104.15","Drama"
204,"Dalmations Sweden","PG","0.99","25.99","6","20","-136.14","Drama"
618,"Necklace Outbreak","PG","0.99","21.99","4","15","-73.11","Drama"
662,"Paths Control","PG","4.99","9.99","4","10","9.94","Drama"
706,"Queen Luke","PG","4.99","22.99","6","22","-28.16","Drama"
772,"Sea Virgin","PG","2.99","24.99","6","22","-84.16","Drama"
910,"Treatment Jekyll","PG","0.99","19.99","2","7","-33.05","Drama"
64,"Beethoven Exorcist","PG-13","0.99","26.99","3","11","-70.08","Drama"
79,"Blade Polish","PG-13","0.99","10.99","6","22","-44.16","Drama"
98,"Bright Encounters","PG-13","4.99","12.99","3","13","25.90","Drama"
