"title","rating","x","round","sigma","z","n"
"Sunset Racer","NC-17","28.99","20.26","5.94","1.47","2"
"Double Wrath","R","28.99","20.46","5.96","1.43","7"
"Fugitive Maguire","R","28.99","20.46","5.96","1.43","4"
"Handicap Boondock","R","28.99","20.46","5.96","1.43","6"
"Head Stranger","R","28.99","20.46","5.96","1.43","7"
"Ice Crossing","R","28.99","20.46","5.96","1.43","7"
"Ties Hunger","R","28.99","20.46","5.96","1.43","3"
"Zoolander Fiction","R","28.99","20.46","5.96","1.43","5"
"Dangerous Uptown","PG","26.99","19.22","5.71","1.36","4"
"Private Drop","PG","26.99","19.22","5.71","1.36","2"
"Worst Banger","PG","26.99","19.22","5.71","1.36","5"
"Beauty Grease","G","28.99","20.46","6.34","1.35","6"
"Fargo Gandhi","G","28.99","20.46","6.34","1.35","6"
"Lust Lock","G","28.99","20.46","6.34","1.35","6"
"Rock Instinct","G","28.99","20.46","6.34","1.35","6"
"Sagebrush Clueless","G","28.99","20.46","6.34","1.35","5"
"Saturday Lambs","G","28.99","20.46","6.34","1.35","8"
"Side Ark","G","28.99","20.46","6.34","1.35","4"
"Watership Frontier","G","28.99","20.46","6.34","1.35","2"
"Airplane Sierra","PG-13","28.99","20.68","6.31","1.32","5"
"Command Darling","PG-13","28.99","20.68","6.31","1.32","6"
"Flamingos Connecticut","PG-13","28.99","20.68","6.31","1.32","7"
"Fury Murder","PG-13","28.99","20.68","6.31","1.32","5"
"Hotel Happiness","PG-13","28.99","20.68","6.31","1.32","2"
"Hunchback Impossible","PG-13","28.99","20.68","6.31","1.32","6"
"Magnolia Forrester","PG-13","28.99","20.68","6.31","1.32","4"
"Ridgemont Submarine","PG-13","28.99","20.68","6.31","1.32","8"
"Streak Ridgemont","PG-13","28.99","20.68","6.31","1.32","4"
"Thief Pelican","PG-13","28.99","20.68","6.31","1.32","6"
"Voyage Legally","PG-13","28.99","20.68","6.31","1.32","7"
"Beneath Rush","NC-17","27.99","20.26","5.94","1.30","3"
"Clue Grail","NC-17","27.99","20.26","5.94","1.30","2"
"Early Home","NC-17","27.99","20.26","5.94","1.30","2"
"Runner Madigan","NC-17","27.99","20.26","5.94","1.30","3"
"Strangelove Desire","NC-17","27.99","20.26","5.94","1.30","7"
"Volcano Texas","NC-17","27.99","20.26","5.94","1.30","6"
"Wife Turn","NC-17","27.99","20.26","5.94","1.30","8"
"Anything Savannah","R","27.99","20.46","5.96","1.26","2"
"Campus Remember","R","27.99","20.46","5.96","1.26","7"
"Crusade Honey","R","27.99","20.46","5.96","1.26","2"
"Desert Poseidon","R","27.99","20.46","5.96","1.26","6"
"Dinosaur Secretary","R","27.99","20.46","5.96","1.26","8"
"Disturbing Scarface","R","27.99","20.46","5.96","1.26","7"
"Magnificent Chitty","R","27.99","20.46","5.96","1.26","2"
"Soldiers Evolution","R","27.99","20.46","5.96","1.26","2"
"Story Side","R","27.99","20.46","5.96","1.26","7"
"Sweet Brotherhood","R","27.99","20.46","5.96","1.26","3"
"United Pilot","R","27.99","20.46","5.96","1.26","5"
"Barbarella Streetcar","G","27.99","20.46","6.34","1.19","6"
"Chainsaw Uptown","PG","25.99","19.22","5.71","1.19","6"
"Coldblooded Darling","G","27.99","20.46","6.34","1.19","5"
"Dalmations Sweden","PG","25.99","19.22","5.71","1.19","6"
"Fireball Philadelphia","PG","25.99","19.22","5.71","1.19","7"
"Gun Bonnie","G","27.99","20.46","6.34","1.19","6"
"Liberty Magnificent","G","27.99","20.46","6.34","1.19","4"
"Mallrats United","PG","25.99","19.22","5.71","1.19","7"
"Midsummer Groundhog","G","27.99","20.46","6.34","1.19","6"
"Nightmare Chill","PG","25.99","19.22","5.71","1.19","7"
"Pacific Amistad","G","27.99","20.46","6.34","1.19","6"
"Peak Forever","PG","25.99","19.22","5.71","1.19","5"
"Range Moonwalker","PG","25.99","19.22","5.71","1.19","7"
"Sleepy Japanese","PG","25.99","19.22","5.71","1.19","5"
"Snowman Rollercoaster","G","27.99","20.46","6.34","1.19","7"
"Torque Bound","G","27.99","20.46","6.34","1.19","8"
"Alter Victory","PG-13","27.99","20.68","6.31","1.16","6"
"Confused Candles","PG-13","27.99","20.68","6.31","1.16","5"
"Conspiracy Spirit","PG-13","27.99","20.68","6.31","1.16","2"
"Crooked Frogmen","PG-13","27.99","20.68","6.31","1.16","6"
"Curtain Videotape","PG-13","27.99","20.68","6.31","1.16","8"
"Dynamite Tarzan","PG-13","27.99","20.68","6.31","1.16","8"
"Fantasy Troopers","PG-13","27.99","20.68","6.31","1.16","6"
"Gangs Pride","PG-13","27.99","20.68","6.31","1.16","7"
"Hobbit Alien","PG-13","27.99","20.68","6.31","1.16","8"
"Lord Arizona","PG-13","27.99","20.68","6.31","1.16","3"
"Madre Gables","PG-13","27.99","20.68","6.31","1.16","4"
"Paycheck Wait","PG-13","27.99","20.68","6.31","1.16","5"
"Rocketeer Mother","PG-13","27.99","20.68","6.31","1.16","8"
"Vietnam Smoochy","PG-13","27.99","20.68","6.31","1.16","4"
"Betrayed Rear","NC-17","26.99","20.26","5.94","1.13","4"
"Bikini Borrowers","NC-17","26.99","20.26","5.94","1.13","4"
"Camelot Vacation","NC-17","26.99","20.26","5.94","1.13","7"
"Chaplin License","NC-17","26.99","20.26","5.94","1.13","3"
"Cincinatti Whisperer","NC-17","26.99","20.26","5.94","1.13","4"
"Dorado Notting","NC-17","26.99","20.26","5.94","1.13","7"
"Dragon Squad","NC-17","26.99","20.26","5.94","1.13","4"
"Hanky October","NC-17","26.99","20.26","5.94","1.13","7"
"Indian Love","NC-17","26.99","20.26","5.94","1.13","6"
"Language Cowboy","NC-17","26.99","20.26","5.94","1.13","3"
"Mask Peach","NC-17","26.99","20.26","5.94","1.13","4"
"Reef Salute","NC-17","26.99","20.26","5.94","1.13","4"
"Simon North","NC-17","26.99","20.26","5.94","1.13","2"
"Brotherhood Blanket","R","26.99","20.46","5.96","1.10","6"
"Canyon Stock","R","26.99","20.46","5.96","1.10","6"
"Gorgeous Bingo","R","26.99","20.46","5.96","1.10","5"
"Graceland Dynamite","R","26.99","20.46","5.96","1.10","2"
"Reunion Witches","R","26.99","20.46","5.96","1.10","5"
"Stampede Disturbing","R","26.99","20.46","5.96","1.10","4"
"Train Bunch","R","26.99","20.46","5.96","1.10","2"
"Weekend Personal","R","26.99","20.46","5.96","1.10","5"
"Worker Tarzan","R","26.99","20.46","5.96","1.10","5"
"Affair Prejudice","G","26.99","20.46","6.34","1.03","7"
"Daddy Pittsburgh","G","26.99","20.46","6.34","1.03","3"
"Dracula Crystal","G","26.99","20.46","6.34","1.03","6"
"Empire Malkovich","G","26.99","20.46","6.34","1.03","6"
"Meet Chocolate","G","26.99","20.46","6.34","1.03","4"
"Satisfaction Confidential","G","26.99","20.46","6.34","1.03","5"
"Spoilers Hellfighters","G","26.99","20.46","6.34","1.03","3"
"War Notting","G","26.99","20.46","6.34","1.03","5"
"Chicken Hellfighters","PG","24.99","19.22","5.71","1.01","5"
"Crazy Home","PG","24.99","19.22","5.71","1.01","3"
"Fatal Haunted","PG","24.99","19.22","5.71","1.01","7"
"Fool Mockingbird","PG","24.99","19.22","5.71","1.01","6"
"Lola Agent","PG","24.99","19.22","5.71","1.01","6"
"Northwest Polish","PG","24.99","19.22","5.71","1.01","5"
"Sea Virgin","PG","24.99","19.22","5.71","1.01","6"
"Beethoven Exorcist","PG-13","26.99","20.68","6.31","1.00","3"
"Cleopatra Devil","PG-13","26.99","20.68","6.31","1.00","5"
"Expecations Natural","PG-13","26.99","20.68","6.31","1.00","5"
"Groundhog Uncut","PG-13","26.99","20.68","6.31","1.00","5"
"Innocent Usual","PG-13","26.99","20.68","6.31","1.00","8"
"Maltese Hope","PG-13","26.99","20.68","6.31","1.00","7"
"Metal Armageddon","PG-13","26.99","20.68","6.31","1.00","6"
"Mission Zoolander","PG-13","26.99","20.68","6.31","1.00","5"
"Mixed Doors","PG-13","26.99","20.68","6.31","1.00","2"
"Reap Unfaithful","PG-13","26.99","20.68","6.31","1.00","5"
"Robbers Joon","PG-13","26.99","20.68","6.31","1.00","7"
"Shakespeare Saddle","PG-13","26.99","20.68","6.31","1.00","6"
"Bang Kwai","NC-17","25.99","20.26","5.94","0.96","2"
"Cabin Flash","NC-17","25.99","20.26","5.94","0.96","4"
"Forward Temple","NC-17","25.99","20.26","5.94","0.96","8"
"Gleaming Jawbreaker","NC-17","25.99","20.26","5.94","0.96","8"
"Hollow Jeopardy","NC-17","25.99","20.26","5.94","0.96","2"
"Lolita World","NC-17","25.99","20.26","5.94","0.96","3"
"Pianist Outfield","NC-17","25.99","20.26","5.94","0.96","7"
"Pure Runner","NC-17","25.99","20.26","5.94","0.96","5"
"Sleuth Orient","NC-17","25.99","20.26","5.94","0.96","5"
"Grinch Massage","R","25.99","20.46","5.96","0.93","5"
"Horror Reign","R","25.99","20.46","5.96","0.93","8"
"Requiem Tycoon","R","25.99","20.46","5.96","0.93","6"
"Run Pacific","R","25.99","20.46","5.96","0.93","3"
"Stagecoach Armageddon","R","25.99","20.46","5.96","0.93","6"
"Window Side","R","25.99","20.46","5.96","0.93","3"
"Chisum Behavior","G","25.99","20.46","6.34","0.87","3"
"Connection Microcosmos","G","25.99","20.46","6.34","0.87","2"
"Dancing Fever","G","25.99","20.46","6.34","0.87","8"
"Eve Resurrection","G","25.99","20.46","6.34","0.87","2"
"Heavyweights Beast","G","25.99","20.46","6.34","0.87","8"
"Mob Duffel","G","25.99","20.46","6.34","0.87","4"
"Newsies Story","G","25.99","20.46","6.34","0.87","2"
"Summer Scarface","G","25.99","20.46","6.34","0.87","5"
"Teen Apollo","G","25.99","20.46","6.34","0.87","4"
"Bilko Anonymous","PG-13","25.99","20.68","6.31","0.84","4"
"Confessions Maguire","PG-13","25.99","20.68","6.31","0.84","5"
"Frisco Forrest","PG","23.99","19.22","5.71","0.84","3"
"Half Outfield","PG-13","25.99","20.68","6.31","0.84","7"
"Hellfighters Sierra","PG","23.99","19.22","5.71","0.84","6"
"Horn Working","PG","23.99","19.22","5.71","0.84","6"
"Idaho Love","PG-13","25.99","20.68","6.31","0.84","5"
"Kwai Homeward","PG-13","25.99","20.68","6.31","0.84","6"
"League Hellfighters","PG-13","25.99","20.68","6.31","0.84","6"
"Moonshine Cabin","PG-13","25.99","20.68","6.31","0.84","6"
"Pond Seattle","PG-13","25.99","20.68","6.31","0.84","6"
"Santa Paris","PG","23.99","19.22","5.71","0.84","3"
"Savannah Town","PG-13","25.99","20.68","6.31","0.84","3"
"Tomatoes Hellfighters","PG","23.99","19.22","5.71","0.84","5"
"Twisted Pirates","PG","23.99","19.22","5.71","0.84","4"
"Aladdin Calendar","NC-17","24.99","20.26","5.94","0.80","7"
"Darkness War","NC-17","24.99","20.26","5.94","0.80","4"
"Desire Alien","NC-17","24.99","20.26","5.94","0.80","2"
"Greatest North","NC-17","24.99","20.26","5.94","0.80","8"
"Hunting Musketeers","NC-17","24.99","20.26","5.94","0.80","3"
"King Evolution","NC-17","24.99","20.26","5.94","0.80","2"
"Wonka Sea","NC-17","24.99","20.26","5.94","0.80","6"
"Family Sweet","R","24.99","20.46","5.96","0.76","8"
"Ishtar Rocketeer","R","24.99","20.46","5.96","0.76","2"
"Kramer Chocolate","R","24.99","20.46","5.96","0.76","3"
"Tuxedo Mile","R","24.99","20.46","5.96","0.76","5"
"Wild Apollo","R","24.99","20.46","5.96","0.76","2"
"Bride Intrigue","G","24.99","20.46","6.34","0.71","6"
"Chitty Lock","G","24.99","20.46","6.34","0.71","3"
"Glass Dying","G","24.99","20.46","6.34","0.71","4"
"Italian African","G","24.99","20.46","6.34","0.71","2"
"Rebel Airport","G","24.99","20.46","6.34","0.71","2"
"Secrets Paradise","G","24.99","20.46","6.34","0.71","6"
"Arachnophobia Rollercoaster","PG-13","24.99","20.68","6.31","0.68","7"
"Backlash Undefeated","PG-13","24.99","20.68","6.31","0.68","4"
"Berets Agent","PG-13","24.99","20.68","6.31","0.68","6"
"Celebrity Horn","PG-13","24.99","20.68","6.31","0.68","6"
"Core Suit","PG-13","24.99","20.68","6.31","0.68","5"
"Elephant Trojan","PG-13","24.99","20.68","6.31","0.68","3"
"Labyrinth League","PG-13","24.99","20.68","6.31","0.68","4"
"Natural Stock","PG-13","24.99","20.68","6.31","0.68","3"
"Show Lord","PG-13","24.99","20.68","6.31","0.68","6"
"Strictly Scarface","PG-13","24.99","20.68","6.31","0.68","7"
"Tenenbaums Command","PG-13","24.99","20.68","6.31","0.68","4"
"Whisperer Giant","PG-13","24.99","20.68","6.31","0.68","6"
"Alaska Phantom","PG","22.99","19.22","5.71","0.66","7"
"Crow Grease","PG","22.99","19.22","5.71","0.66","4"
"French Holiday","PG","22.99","19.22","5.71","0.66","5"
"Goodfellas Salute","PG","22.99","19.22","5.71","0.66","8"
"Jekyll Frogmen","PG","22.99","19.22","5.71","0.66","6"
"Patton Interview","PG","22.99","19.22","5.71","0.66","7"
"Queen Luke","PG","22.99","19.22","5.71","0.66","6"
"Shane Darkness","PG","22.99","19.22","5.71","0.66","4"
"Suspects Quills","PG","22.99","19.22","5.71","0.66","7"
"Trading Pinocchio","PG","22.99","19.22","5.71","0.66","7"
"Alley Evolution","NC-17","23.99","20.26","5.94","0.63","4"
"Baby Hall","NC-17","23.99","20.26","5.94","0.63","2"
"Bed Highball","NC-17","23.99","20.26","5.94","0.63","2"
"Birdcage Casper","NC-17","23.99","20.26","5.94","0.63","3"
"Creatures Shakespeare","NC-17","23.99","20.26","5.94","0.63","6"
"Creepers Kane","NC-17","23.99","20.26","5.94","0.63","4"
"Enemy Odds","NC-17","23.99","20.26","5.94","0.63","7"
"Informer Double","NC-17","23.99","20.26","5.94","0.63","2"
"Island Exorcist","NC-17","23.99","20.26","5.94","0.63","7"
"Joon Northwest","NC-17","23.99","20.26","5.94","0.63","5"
"Lawrence Love","NC-17","23.99","20.26","5.94","0.63","5"
"Nemo Campus","NC-17","23.99","20.26","5.94","0.63","5"
"Rear Trading","NC-17","23.99","20.26","5.94","0.63","4"
"Scorpion Apollo","NC-17","23.99","20.26","5.94","0.63","7"
"Amelie Hellfighters","R","23.99","20.46","5.96","0.59","3"
"Comancheros Enemy","R","23.99","20.46","5.96","0.59","2"
"Express Lonely","R","23.99","20.46","5.96","0.59","4"
"High Encino","R","23.99","20.46","5.96","0.59","6"
"Sense Greek","R","23.99","20.46","5.96","0.59","2"
"Siege Madre","R","23.99","20.46","5.96","0.59","4"
"Silence Kane","R","23.99","20.46","5.96","0.59","5"
"Spirit Flintstones","R","23.99","20.46","5.96","0.59","4"
"Vacation Boondock","R","23.99","20.46","5.96","0.59","6"
"Women Dorado","R","23.99","20.46","5.96","0.59","7"
"Cheaper Clyde","G","23.99","20.46","6.34","0.56","5"
"Happiness United","G","23.99","20.46","6.34","0.56","2"
"Hook Chariots","G","23.99","20.46","6.34","0.56","4"
"Muscle Bright","G","23.99","20.46","6.34","0.56","8"
"Operation Operation","G","23.99","20.46","6.34","0.56","8"
"Pickup Driving","G","23.99","20.46","6.34","0.56","4"
"Freedom Cleopatra","PG-13","23.99","20.68","6.31","0.52","2"
"Network Peak","PG-13","23.99","20.68","6.31","0.52","8"
"Reds Pocus","PG-13","23.99","20.68","6.31","0.52","2"
"Roots Remember","PG-13","23.99","20.68","6.31","0.52","5"
"Roses Treasure","PG-13","23.99","20.68","6.31","0.52","8"
"Stallion Sundance","PG-13","23.99","20.68","6.31","0.52","2"
"Taxi Kick","PG-13","23.99","20.68","6.31","0.52","5"
"Wanda Chamber","PG-13","23.99","20.68","6.31","0.52","4"
"Ali Forever","PG","21.99","19.22","5.71","0.49","4"
"Bedazzled Married","PG","21.99","19.22","5.71","0.49","4"
"Champion Flatliners","PG","21.99","19.22","5.71","0.49","3"
"Charade Duffel","PG","21.99","19.22","5.71","0.49","4"
"Chasing Fight","PG","21.99","19.22","5.71","0.49","6"
"Grit Clockwork","PG","21.99","19.22","5.71","0.49","8"
"Instinct Airport","PG","21.99","19.22","5.71","0.49","5"
"Necklace Outbreak","PG","21.99","19.22","5.71","0.49","4"
"Pinocchio Simon","PG","21.99","19.22","5.71","0.49","6"
"Slums Duck","PG","21.99","19.22","5.71","0.49","7"
"Calendar Gunfight","NC-17","22.99","20.26","5.94","0.46","7"
"Dances None","NC-17","22.99","20.26","5.94","0.46","4"
"Deceiver Betrayed","NC-17","22.99","20.26","5.94","0.46","7"
"Doors President","NC-17","22.99","20.26","5.94","0.46","6"
"Forrester Comancheros","NC-17","22.99","20.26","5.94","0.46","7"
"Gentlemen Stage","NC-17","22.99","20.26","5.94","0.46","6"
"Hope Tootsie","NC-17","22.99","20.26","5.94","0.46","5"
"Human Graffiti","NC-17","22.99","20.26","5.94","0.46","5"
"Hustler Party","NC-17","22.99","20.26","5.94","0.46","8"
"Maguire Apache","NC-17","22.99","20.26","5.94","0.46","3"
"Montezuma Command","NC-17","22.99","20.26","5.94","0.46","3"
"Panther Reds","NC-17","22.99","20.26","5.94","0.46","6"
"Searchers Wait","NC-17","22.99","20.26","5.94","0.46","4"
"Spice Sorority","NC-17","22.99","20.26","5.94","0.46","6"
"Texas Watch","NC-17","22.99","20.26","5.94","0.46","2"
"Army Flintstones","R","22.99","20.46","5.96","0.42","4"
"Badman Dawn","R","22.99","20.46","5.96","0.42","6"
"Beast Hunchback","R","22.99","20.46","5.96","0.42","3"
"Chance Resurrection","R","22.99","20.46","5.96","0.42","7"
"Earring Instinct","R","22.99","20.46","5.96","0.42","6"
"Fish Opus","R","22.99","20.46","5.96","0.42","7"
"Flight Lies","R","22.99","20.46","5.96","0.42","4"
"Haunting Pianist","R","22.99","20.46","5.96","0.42","6"
"Orient Closer","R","22.99","20.46","5.96","0.42","6"
"Strangers Graffiti","R","22.99","20.46","5.96","0.42","4"
"Virginian Pluto","R","22.99","20.46","5.96","0.42","8"
"Wash Heavenly","R","22.99","20.46","5.96","0.42","5"
"Willow Tracy","R","22.99","20.46","5.96","0.42","5"
"Working Microcosmos","R","22.99","20.46","5.96","0.42","6"
"African Egg","G","22.99","20.46","6.34","0.40","3"
"Borrowers Bedazzled","G","22.99","20.46","6.34","0.40","6"
"Caper Motions","G","22.99","20.46","6.34","0.40","7"
"Casablanca Super","G","22.99","20.46","6.34","0.40","5"
"Malkovich Pet","G","22.99","20.46","6.34","0.40","7"
"Married Go","G","22.99","20.46","6.34","0.40","8"
"Mosquito Armageddon","G","22.99","20.46","6.34","0.40","4"
"Bingo Talented","PG-13","22.99","20.68","6.31","0.37","8"
"Gathering Calendar","PG-13","22.99","20.68","6.31","0.37","4"
"Microcosmos Paradise","PG-13","22.99","20.68","6.31","0.37","4"
"Minds Truman","PG-13","22.99","20.68","6.31","0.37","7"
"Shootist Superfly","PG-13","22.99","20.68","6.31","0.37","7"
"Speakeasy Date","PG-13","22.99","20.68","6.31","0.37","3"
"Undefeated Dalmations","PG-13","22.99","20.68","6.31","0.37","7"
"Voice Peach","PG-13","22.99","20.68","6.31","0.37","6"
"Academy Dinosaur","PG","20.99","19.22","5.71","0.31","8"
"Amadeus Holy","PG","20.99","19.22","5.71","0.31","6"
"Behavior Runaway","PG","20.99","19.22","5.71","0.31","4"
"Coast Rainbow","PG","20.99","19.22","5.71","0.31","5"
"Egg Igby","PG","20.99","19.22","5.71","0.31","7"
"Modern Dorado","PG","20.99","19.22","5.71","0.31","4"
"Monsoon Cause","PG","20.99","19.22","5.71","0.31","3"
"Moon Bunch","PG","20.99","19.22","5.71","0.31","8"
"Pirates Roxanne","PG","20.99","19.22","5.71","0.31","6"
"Rush Goodfellas","PG","20.99","19.22","5.71","0.31","8"
"Shanghai Tycoon","PG","20.99","19.22","5.71","0.31","6"
"Shawshank Bubble","PG","20.99","19.22","5.71","0.31","6"
"Sugar Wonka","PG","20.99","19.22","5.71","0.31","6"
"Telegraph Voyage","PG","20.99","19.22","5.71","0.31","7"
"Bull Shawshank","NC-17","21.99","20.26","5.94","0.29","5"
"Christmas Moonshine","NC-17","21.99","20.26","5.94","0.29","6"
"Driving Polish","NC-17","21.99","20.26","5.94","0.29","6"
"Flash Wars","NC-17","21.99","20.26","5.94","0.29","4"
"Freddy Storm","NC-17","21.99","20.26","5.94","0.29","6"
"Hanover Galaxy","NC-17","21.99","20.26","5.94","0.29","4"
"Independence Hotel","NC-17","21.99","20.26","5.94","0.29","6"
"Jade Bunch","NC-17","21.99","20.26","5.94","0.29","4"
"Luck Opus","NC-17","21.99","20.26","5.94","0.29","2"
"Luke Mummy","NC-17","21.99","20.26","5.94","0.29","2"
"Mars Roman","NC-17","21.99","20.26","5.94","0.29","5"
"Sundance Invasion","NC-17","21.99","20.26","5.94","0.29","6"
"Vanishing Rocky","NC-17","21.99","20.26","5.94","0.29","6"
"Beverly Outlaw","R","21.99","20.46","5.96","0.26","8"
"Brooklyn Desert","R","21.99","20.46","5.96","0.26","6"
"Gold River","R","21.99","20.46","5.96","0.26","4"
"Hamlet Wisdom","R","21.99","20.46","5.96","0.26","4"
"Lights Deer","R","21.99","20.46","5.96","0.26","2"
"Love Suicides","R","21.99","20.46","5.96","0.26","4"
"Opus Ice","R","21.99","20.46","5.96","0.26","3"
"Robbery Bright","R","21.99","20.46","5.96","0.26","4"
"South Wait","R","21.99","20.46","5.96","0.26","7"
"Submarine Bed","R","21.99","20.46","5.96","0.26","4"
"Tomorrow Hustler","R","21.99","20.46","5.96","0.26","7"
"Blanket Beverly","G","21.99","20.46","6.34","0.24","4"
"Divorce Shining","G","21.99","20.46","6.34","0.24","2"
"Garden Island","G","21.99","20.46","6.34","0.24","8"
"Hunger Roof","G","21.99","20.46","6.34","0.24","4"
"Samurai Lion","G","21.99","20.46","6.34","0.24","7"
"Valley Packer","G","21.99","20.46","6.34","0.24","4"
"Alabama Devil","PG-13","21.99","20.68","6.31","0.21","5"
"Attacks Hate","PG-13","21.99","20.68","6.31","0.21","5"
"Breaking Home","PG-13","21.99","20.68","6.31","0.21","3"
"Congeniality Quest","PG-13","21.99","20.68","6.31","0.21","6"
"Falcon Volume","PG-13","21.99","20.68","6.31","0.21","6"
"Homicide Peach","PG-13","21.99","20.68","6.31","0.21","6"
"Hunter Alter","PG-13","21.99","20.68","6.31","0.21","2"
"Karate Moon","PG-13","21.99","20.68","6.31","0.21","6"
"Knock Warlock","PG-13","21.99","20.68","6.31","0.21","7"
"Leathernecks Dwarfs","PG-13","21.99","20.68","6.31","0.21","2"
"Lost Bird","PG-13","21.99","20.68","6.31","0.21","3"
"Nash Chocolat","PG-13","21.99","20.68","6.31","0.21","4"
"Orange Grapes","PG-13","21.99","20.68","6.31","0.21","7"
"School Jacket","PG-13","21.99","20.68","6.31","0.21","2"
"Usual Untouchables","PG-13","21.99","20.68","6.31","0.21","4"
"Heaven Freedom","PG","19.99","19.22","5.71","0.14","5"
"Hysterical Grail","PG","19.99","19.22","5.71","0.14","4"
