"title","rating","x","sqrt","sigma","z"
"Uncut Suicides","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Virgin Daisy","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Wyoming Storm","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Double Wrath","R","28.99","5.7857791155298621",2,"1.5138798395299976"
"Fugitive Maguire","R","28.99","5.7857791155298621",2,"1.5138798395299976"
"Handicap Boondock","R","28.99","5.7857791155298621",2,"1.5138798395299976"
"Head Stranger","R","28.99","5.7857791155298621",2,"1.5138798395299976"
"Ice Crossing","R","28.99","5.7857791155298621",2,"1.5138798395299976"
"Ties Hunger","R","28.99","5.7857791155298621",2,"1.5138798395299976"
"Zoolander Fiction","R","28.99","5.7857791155298621",2,"1.5138798395299976"
"Element Freddy","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Forever Candidate","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Lesson Cleopatra","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"License Weekend","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Lies Treatment","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Roman Punk","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Seabiscuit Punk","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Storm Happiness","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Sunset Racer","NC-17","28.99","5.9275080323794504",2,"1.4934405662589013"
"Dangerous Uptown","PG","26.99","5.6704217342519380",2,"1.4162840457775959"
"Hate Handicap","PG","26.99","5.6704217342519380",2,"1.4162840457775959"
"Private Drop","PG","26.99","5.6704217342519380",2,"1.4162840457775959"
"Worst Banger","PG","26.99","5.6704217342519380",2,"1.4162840457775959"
"Beauty Grease","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Fargo Gandhi","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Lust Lock","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Rock Instinct","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Sagebrush Clueless","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Saturday Lambs","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Side Ark","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Watership Frontier","G","28.99","6.3894066317950023",2,"1.3874791588957478"
"Airplane Sierra","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Command Darling","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Flamingos Connecticut","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Fury Murder","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Hotel Happiness","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Hunchback Impossible","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Magnolia Forrester","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Ridgemont Submarine","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Streak Ridgemont","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Thief Pelican","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Treasure Command","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Voyage Legally","PG-13","28.99","6.3181867336379082",2,"1.3591627326348159"
"Anything Savannah","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Campus Remember","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Crusade Honey","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Desert Poseidon","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Dinosaur Secretary","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Disturbing Scarface","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Magnificent Chitty","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Soldiers Evolution","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Story Side","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Sweet Brotherhood","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"United Pilot","R","27.99","5.7857791155298621",2,"1.3410422700286220"
"Beneath Rush","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Clue Grail","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Early Home","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Perdition Fargo","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Runner Madigan","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Strangelove Desire","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Volcano Texas","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Wife Turn","NC-17","27.99","5.9275080323794504",2,"1.3247356071871588"
"Chainsaw Uptown","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Dalmations Sweden","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Fireball Philadelphia","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Mallrats United","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Nightmare Chill","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Peak Forever","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Range Moonwalker","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Sleepy Japanese","PG","25.99","5.6704217342519380",2,"1.2399303199233895"
"Barbarella Streetcar","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Coldblooded Darling","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Gun Bonnie","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Liberty Magnificent","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Midsummer Groundhog","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Pacific Amistad","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Snowman Rollercoaster","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Torque Bound","G","27.99","6.3894066317950023",2,"1.2309701029493326"
"Alter Victory","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Confused Candles","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Conspiracy Spirit","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Crooked Frogmen","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Curtain Videotape","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Dynamite Tarzan","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Fantasy Troopers","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Gangs Pride","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Hobbit Alien","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Lord Arizona","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Madre Gables","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Paycheck Wait","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Rocketeer Mother","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Vietnam Smoochy","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Villain Desperate","PG-13","27.99","6.3181867336379082",2,"1.2008894744742081"
"Brotherhood Blanket","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Canyon Stock","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Gorgeous Bingo","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Graceland Dynamite","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Reunion Witches","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Stampede Disturbing","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Train Bunch","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Weekend Personal","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Worker Tarzan","R","26.99","5.7857791155298621",2,"1.1682047005272464"
"Betrayed Rear","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Bikini Borrowers","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Camelot Vacation","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Chaplin License","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Cincinatti Whisperer","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Dorado Notting","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Dragon Squad","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Hanky October","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Indian Love","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Language Cowboy","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Mask Peach","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Reef Salute","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Simon North","NC-17","26.99","5.9275080323794504",2,"1.1560306481154164"
"Affair Prejudice","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"Daddy Pittsburgh","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"Dracula Crystal","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"Empire Malkovich","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"Meet Chocolate","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"Satisfaction Confidential","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"Spoilers Hellfighters","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"War Notting","G","26.99","6.3894066317950023",2,"1.07446104700291749147"
"Chicken Hellfighters","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Chinatown Gladiator","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Crazy Home","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Fatal Haunted","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Fool Mockingbird","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Lola Agent","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Northwest Polish","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Sea Virgin","PG","24.99","5.6704217342519380",2,"1.0635765940691830"
"Beethoven Exorcist","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Cleopatra Devil","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Expecations Natural","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Groundhog Uncut","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Innocent Usual","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Maltese Hope","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Metal Armageddon","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Mission Zoolander","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Mixed Doors","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Reap Unfaithful","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Robbers Joon","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Shakespeare Saddle","PG-13","26.99","6.3181867336379082",2,"1.04261621631360026569"
"Grinch Massage","R","25.99","5.7857791155298621",2,"0.99536713102587077967"
"Horror Reign","R","25.99","5.7857791155298621",2,"0.99536713102587077967"
"Requiem Tycoon","R","25.99","5.7857791155298621",2,"0.99536713102587077967"
"Roof Champion","R","25.99","5.7857791155298621",2,"0.99536713102587077967"
"Run Pacific","R","25.99","5.7857791155298621",2,"0.99536713102587077967"
"Stagecoach Armageddon","R","25.99","5.7857791155298621",2,"0.99536713102587077967"
"Window Side","R","25.99","5.7857791155298621",2,"0.99536713102587077967"
"Ark Ridgemont","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Bang Kwai","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Cabin Flash","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Forward Temple","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Gleaming Jawbreaker","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Hollow Jeopardy","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Lolita World","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Pianist Outfield","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Pure Runner","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Sleuth Orient","NC-17","25.99","5.9275080323794504",2,"0.98732568904367387154"
"Chisum Behavior","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Connection Microcosmos","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Dancing Fever","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Eve Resurrection","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Heavyweights Beast","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Mob Duffel","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Newsies Story","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Summer Scarface","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Teen Apollo","G","25.99","6.3894066317950023",2,"0.91795199105650234140"
"Frisco Forrest","PG","23.99","5.6704217342519380",2,"0.88722286821497662612"
"Hellfighters Sierra","PG","23.99","5.6704217342519380",2,"0.88722286821497662612"
"Horn Working","PG","23.99","5.6704217342519380",2,"0.88722286821497662612"
"Santa Paris","PG","23.99","5.6704217342519380",2,"0.88722286821497662612"
"Tomatoes Hellfighters","PG","23.99","5.6704217342519380",2,"0.88722286821497662612"
"Twisted Pirates","PG","23.99","5.6704217342519380",2,"0.88722286821497662612"
"Bilko Anonymous","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Confessions Maguire","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Half Outfield","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Idaho Love","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Kwai Homeward","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"League Hellfighters","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Moonshine Cabin","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Pond Seattle","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Savannah Town","PG-13","25.99","6.3181867336379082",2,"0.88434295815299246481"
"Family Sweet","R","24.99","5.7857791155298621",2,"0.82252956152449517756"
"Ishtar Rocketeer","R","24.99","5.7857791155298621",2,"0.82252956152449517756"
"Kramer Chocolate","R","24.99","5.7857791155298621",2,"0.82252956152449517756"
"Tuxedo Mile","R","24.99","5.7857791155298621",2,"0.82252956152449517756"
"Wild Apollo","R","24.99","5.7857791155298621",2,"0.82252956152449517756"
"Aladdin Calendar","NC-17","24.99","5.9275080323794504",2,"0.81862072997193138794"
"Darkness War","NC-17","24.99","5.9275080323794504",2,"0.81862072997193138794"
"Desire Alien","NC-17","24.99","5.9275080323794504",2,"0.81862072997193138794"
"Greatest North","NC-17","24.99","5.9275080323794504",2,"0.81862072997193138794"
"Hunting Musketeers","NC-17","24.99","5.9275080323794504",2,"0.81862072997193138794"
"King Evolution","NC-17","24.99","5.9275080323794504",2,"0.81862072997193138794"
"Wonka Sea","NC-17","24.99","5.9275080323794504",2,"0.81862072997193138794"
"Bride Intrigue","G","24.99","6.3894066317950023",2,"0.76144293511008719133"
"Chitty Lock","G","24.99","6.3894066317950023",2,"0.76144293511008719133"
"Glass Dying","G","24.99","6.3894066317950023",2,"0.76144293511008719133"
"Italian African","G","24.99","6.3894066317950023",2,"0.76144293511008719133"
"Rebel Airport","G","24.99","6.3894066317950023",2,"0.76144293511008719133"
"Secrets Paradise","G","24.99","6.3894066317950023",2,"0.76144293511008719133"
"Arachnophobia Rollercoaster","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Backlash Undefeated","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Berets Agent","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Celebrity Horn","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Core Suit","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Elephant Trojan","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Labyrinth League","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Natural Stock","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Show Lord","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Strictly Scarface","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Tenenbaums Command","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Whisperer Giant","PG-13","24.99","6.3181867336379082",2,"0.72606969999238466392"
"Alaska Phantom","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Crow Grease","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"French Holiday","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Goodfellas Salute","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Jekyll Frogmen","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Patton Interview","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Queen Luke","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Shane Darkness","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Suspects Quills","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Trading Pinocchio","PG","22.99","5.6704217342519380",2,"0.71086914236077020687"
"Alice Fantasia","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Alley Evolution","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Baby Hall","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Bed Highball","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Birdcage Casper","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Creatures Shakespeare","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Creepers Kane","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Enemy Odds","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Informer Double","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Island Exorcist","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Joon Northwest","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Lawrence Love","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Nemo Campus","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Rear Trading","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Scorpion Apollo","NC-17","23.99","5.9275080323794504",2,"0.64991577090018890434"
"Amelie Hellfighters","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Comancheros Enemy","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Express Lonely","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"High Encino","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Sense Greek","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Siege Madre","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Silence Kane","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Spirit Flintstones","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Vacation Boondock","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Women Dorado","R","23.99","5.7857791155298621",2,"0.64969199202311957544"
"Cheaper Clyde","G","23.99","6.3894066317950023",2,"0.60493387916367204126"
"Happiness United","G","23.99","6.3894066317950023",2,"0.60493387916367204126"
"Hook Chariots","G","23.99","6.3894066317950023",2,"0.60493387916367204126"
"Muscle Bright","G","23.99","6.3894066317950023",2,"0.60493387916367204126"
"Operation Operation","G","23.99","6.3894066317950023",2,"0.60493387916367204126"
"Pickup Driving","G","23.99","6.3894066317950023",2,"0.60493387916367204126"
"Freedom Cleopatra","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Network Peak","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Reds Pocus","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Roots Remember","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Roses Treasure","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Stallion Sundance","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Taxi Kick","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Wanda Chamber","PG-13","23.99","6.3181867336379082",2,"0.56779644183177686303"
"Ali Forever","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Bedazzled Married","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Champion Flatliners","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Charade Duffel","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Chasing Fight","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Grit Clockwork","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Instinct Airport","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Necklace Outbreak","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Pinocchio Simon","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Slums Duck","PG","21.99","5.6704217342519380",2,"0.53451541650656378762"
"Calendar Gunfight","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Crystal Breaking","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Dances None","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Deceiver Betrayed","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Doors President","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Forrester Comancheros","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Gentlemen Stage","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Hope Tootsie","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Human Graffiti","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Hustler Party","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Maguire Apache","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Montezuma Command","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
"Panther Reds","NC-17","22.99","5.9275080323794504",2,"0.48121081182844642073"
