"title","rating","x","round","sigma","z"
"Flatliners Killer","G","29.99","20.12","6.39","1.54"
"Goldfinger Sensibility","G","29.99","20.12","6.39","1.54"
"Hills Neighbors","G","29.99","20.12","6.39","1.54"
"Japanese Run","G","29.99","20.12","6.39","1.54"
"Lawless Vision","G","29.99","20.12","6.39","1.54"
"Lover Truman","G","29.99","20.12","6.39","1.54"
"Sassy Packer","G","29.99","20.12","6.39","1.54"
"Smile Earring","G","29.99","20.12","6.39","1.54"
"Tracy Cider","G","29.99","20.12","6.39","1.54"
"West Lion","G","29.99","20.12","6.39","1.54"
"Blindness Gun","PG-13","29.99","20.40","6.32","1.52"
"Clockwork Paradise","PG-13","29.99","20.40","6.32","1.52"
"Clyde Theory","PG-13","29.99","20.40","6.32","1.52"
"Floats Garden","PG-13","29.99","20.40","6.32","1.52"
"Jingle Sagebrush","PG-13","29.99","20.40","6.32","1.52"
"Poseidon Forever","PG-13","29.99","20.40","6.32","1.52"
"Reign Gentlemen","PG-13","29.99","20.40","6.32","1.52"
"Reservoir Adaptation","PG-13","29.99","20.40","6.32","1.52"
"Right Cranes","PG-13","29.99","20.40","6.32","1.52"
"River Outlaw","PG-13","29.99","20.40","6.32","1.52"
"Song Hedwig","PG-13","29.99","20.40","6.32","1.52"
"Uncut Suicides","PG-13","29.99","20.40","6.32","1.52"
"Virgin Daisy","PG-13","29.99","20.40","6.32","1.52"
"Wyoming Storm","PG-13","29.99","20.40","6.32","1.52"
"Double Wrath","R","28.99","20.23","5.79","1.51"
"Fugitive Maguire","R","28.99","20.23","5.79","1.51"
"Handicap Boondock","R","28.99","20.23","5.79","1.51"
"Head Stranger","R","28.99","20.23","5.79","1.51"
"Ice Crossing","R","28.99","20.23","5.79","1.51"
"Ties Hunger","R","28.99","20.23","5.79","1.51"
"Zoolander Fiction","R","28.99","20.23","5.79","1.51"
"Element Freddy","NC-17","28.99","20.14","5.93","1.49"
"Forever Candidate","NC-17","28.99","20.14","5.93","1.49"
"Lesson Cleopatra","NC-17","28.99","20.14","5.93","1.49"
"License Weekend","NC-17","28.99","20.14","5.93","1.49"
"Lies Treatment","NC-17","28.99","20.14","5.93","1.49"
"Roman Punk","NC-17","28.99","20.14","5.93","1.49"
"Seabiscuit Punk","NC-17","28.99","20.14","5.93","1.49"
"Storm Happiness","NC-17","28.99","20.14","5.93","1.49"
"Sunset Racer","NC-17","28.99","20.14","5.93","1.49"
"Dangerous Uptown","PG","26.99","18.96","5.67","1.42"
"Hate Handicap","PG","26.99","18.96","5.67","1.42"
"Private Drop","PG","26.99","18.96","5.67","1.42"
"Worst Banger","PG","26.99","18.96","5.67","1.42"
"Beauty Grease","G","28.99","20.12","6.39","1.39"
"Fargo Gandhi","G","28.99","20.12","6.39","1.39"
"Lust Lock","G","28.99","20.12","6.39","1.39"
"Rock Instinct","G","28.99","20.12","6.39","1.39"
"Sagebrush Clueless","G","28.99","20.12","6.39","1.39"
"Saturday Lambs","G","28.99","20.12","6.39","1.39"
"Side Ark","G","28.99","20.12","6.39","1.39"
"Watership Frontier","G","28.99","20.12","6.39","1.39"
"Airplane Sierra","PG-13","28.99","20.40","6.32","1.36"
"Command Darling","PG-13","28.99","20.40","6.32","1.36"
"Flamingos Connecticut","PG-13","28.99","20.40","6.32","1.36"
"Fury Murder","PG-13","28.99","20.40","6.32","1.36"
"Hotel Happiness","PG-13","28.99","20.40","6.32","1.36"
"Hunchback Impossible","PG-13","28.99","20.40","6.32","1.36"
"Magnolia Forrester","PG-13","28.99","20.40","6.32","1.36"
"Ridgemont Submarine","PG-13","28.99","20.40","6.32","1.36"
"Streak Ridgemont","PG-13","28.99","20.40","6.32","1.36"
"Thief Pelican","PG-13","28.99","20.40","6.32","1.36"
"Treasure Command","PG-13","28.99","20.40","6.32","1.36"
"Voyage Legally","PG-13","28.99","20.40","6.32","1.36"
"Anything Savannah","R","27.99","20.23","5.79","1.34"
"Campus Remember","R","27.99","20.23","5.79","1.34"
"Crusade Honey","R","27.99","20.23","5.79","1.34"
"Desert Poseidon","R","27.99","20.23","5.79","1.34"
"Dinosaur Secretary","R","27.99","20.23","5.79","1.34"
"Disturbing Scarface","R","27.99","20.23","5.79","1.34"
"Magnificent Chitty","R","27.99","20.23","5.79","1.34"
"Soldiers Evolution","R","27.99","20.23","5.79","1.34"
"Story Side","R","27.99","20.23","5.79","1.34"
"Sweet Brotherhood","R","27.99","20.23","5.79","1.34"
"United Pilot","R","27.99","20.23","5.79","1.34"
"Beneath Rush","NC-17","27.99","20.14","5.93","1.32"
"Clue Grail","NC-17","27.99","20.14","5.93","1.32"
"Early Home","NC-17","27.99","20.14","5.93","1.32"
"Perdition Fargo","NC-17","27.99","20.14","5.93","1.32"
"Runner Madigan","NC-17","27.99","20.14","5.93","1.32"
"Strangelove Desire","NC-17","27.99","20.14","5.93","1.32"
"Volcano Texas","NC-17","27.99","20.14","5.93","1.32"
"Wife Turn","NC-17","27.99","20.14","5.93","1.32"
"Chainsaw Uptown","PG","25.99","18.96","5.67","1.24"
"Dalmations Sweden","PG","25.99","18.96","5.67","1.24"
"Fireball Philadelphia","PG","25.99","18.96","5.67","1.24"
"Mallrats United","PG","25.99","18.96","5.67","1.24"
"Nightmare Chill","PG","25.99","18.96","5.67","1.24"
"Peak Forever","PG","25.99","18.96","5.67","1.24"
"Range Moonwalker","PG","25.99","18.96","5.67","1.24"
"Sleepy Japanese","PG","25.99","18.96","5.67","1.24"
"Barbarella Streetcar","G","27.99","20.12","6.39","1.23"
"Coldblooded Darling","G","27.99","20.12","6.39","1.23"
"Gun Bonnie","G","27.99","20.12","6.39","1.23"
"Liberty Magnificent","G","27.99","20.12","6.39","1.23"
"Midsummer Groundhog","G","27.99","20.12","6.39","1.23"
"Pacific Amistad","G","27.99","20.12","6.39","1.23"
"Snowman Rollercoaster","G","27.99","20.12","6.39","1.23"
"Torque Bound","G","27.99","20.12","6.39","1.23"
"Alter Victory","PG-13","27.99","20.40","6.32","1.20"
"Confused Candles","PG-13","27.99","20.40","6.32","1.20"
"Conspiracy Spirit","PG-13","27.99","20.40","6.32","1.20"
"Crooked Frogmen","PG-13","27.99","20.40","6.32","1.20"
"Curtain Videotape","PG-13","27.99","20.40","6.32","1.20"
"Dynamite Tarzan","PG-13","27.99","20.40","6.32","1.20"
"Fantasy Troopers","PG-13","27.99","20.40","6.32","1.20"
"Gangs Pride","PG-13","27.99","20.40","6.32","1.20"
"Hobbit Alien","PG-13","27.99","20.40","6.32","1.20"
"Lord Arizona","PG-13","27.99","20.40","6.32","1.20"
"Madre Gables","PG-13","27.99","20.40","6.32","1.20"
"Paycheck Wait","PG-13","27.99","20.40","6.32","1.20"
"Rocketeer Mother","PG-13","27.99","20.40","6.32","1.20"
"Vietnam Smoochy","PG-13","27.99","20.40","6.32","1.20"
"Villain Desperate","PG-13","27.99","20.40","6.32","1.20"
"Brotherhood Blanket","R","26.99","20.23","5.79","1.17"
"Canyon Stock","R","26.99","20.23","5.79","1.17"
"Gorgeous Bingo","R","26.99","20.23","5.79","1.17"
"Graceland Dynamite","R","26.99","20.23","5.79","1.17"
"Reunion Witches","R","26.99","20.23","5.79","1.17"
"Stampede Disturbing","R","26.99","20.23","5.79","1.17"
"Train Bunch","R","26.99","20.23","5.79","1.17"
"Weekend Personal","R","26.99","20.23","5.79","1.17"
"Worker Tarzan","R","26.99","20.23","5.79","1.17"
"Betrayed Rear","NC-17","26.99","20.14","5.93","1.16"
"Bikini Borrowers","NC-17","26.99","20.14","5.93","1.16"
"Camelot Vacation","NC-17","26.99","20.14","5.93","1.16"
"Chaplin License","NC-17","26.99","20.14","5.93","1.16"
"Cincinatti Whisperer","NC-17","26.99","20.14","5.93","1.16"
"Dorado Notting","NC-17","26.99","20.14","5.93","1.16"
"Dragon Squad","NC-17","26.99","20.14","5.93","1.16"
"Hanky October","NC-17","26.99","20.14","5.93","1.16"
"Indian Love","NC-17","26.99","20.14","5.93","1.16"
"Language Cowboy","NC-17","26.99","20.14","5.93","1.16"
"Mask Peach","NC-17","26.99","20.14","5.93","1.16"
"Reef Salute","NC-17","26.99","20.14","5.93","1.16"
"Simon North","NC-17","26.99","20.14","5.93","1.16"
"Affair Prejudice","G","26.99","20.12","6.39","1.07"
"Daddy Pittsburgh","G","26.99","20.12","6.39","1.07"
"Dracula Crystal","G","26.99","20.12","6.39","1.07"
"Empire Malkovich","G","26.99","20.12","6.39","1.07"
"Meet Chocolate","G","26.99","20.12","6.39","1.07"
"Satisfaction Confidential","G","26.99","20.12","6.39","1.07"
"Spoilers Hellfighters","G","26.99","20.12","6.39","1.07"
"War Notting","G","26.99","20.12","6.39","1.07"
"Chicken Hellfighters","PG","24.99","18.96","5.67","1.06"
"Chinatown Gladiator","PG","24.99","18.96","5.67","1.06"
"Crazy Home","PG","24.99","18.96","5.67","1.06"
"Fatal Haunted","PG","24.99","18.96","5.67","1.06"
"Fool Mockingbird","PG","24.99","18.96","5.67","1.06"
"Lola Agent","PG","24.99","18.96","5.67","1.06"
"Northwest Polish","PG","24.99","18.96","5.67","1.06"
"Sea Virgin","PG","24.99","18.96","5.67","1.06"
"Beethoven Exorcist","PG-13","26.99","20.40","6.32","1.04"
"Cleopatra Devil","PG-13","26.99","20.40","6.32","1.04"
"Expecations Natural","PG-13","26.99","20.40","6.32","1.04"
"Groundhog Uncut","PG-13","26.99","20.40","6.32","1.04"
"Innocent Usual","PG-13","26.99","20.40","6.32","1.04"
"Maltese Hope","PG-13","26.99","20.40","6.32","1.04"
"Metal Armageddon","PG-13","26.99","20.40","6.32","1.04"
"Mission Zoolander","PG-13","26.99","20.40","6.32","1.04"
"Mixed Doors","PG-13","26.99","20.40","6.32","1.04"
"Reap Unfaithful","PG-13","26.99","20.40","6.32","1.04"
"Robbers Joon","PG-13","26.99","20.40","6.32","1.04"
"Shakespeare Saddle","PG-13","26.99","20.40","6.32","1.04"
"Grinch Massage","R","25.99","20.23","5.79","1.00"
"Horror Reign","R","25.99","20.23","5.79","1.00"
"Requiem Tycoon","R","25.99","20.23","5.79","1.00"
"Roof Champion","R","25.99","20.23","5.79","1.00"
"Run Pacific","R","25.99","20.23","5.79","1.00"
"Stagecoach Armageddon","R","25.99","20.23","5.79","1.00"
"Window Side","R","25.99","20.23","5.79","1.00"
"Ark Ridgemont","NC-17","25.99","20.14","5.93","0.99"
"Bang Kwai","NC-17","25.99","20.14","5.93","0.99"
"Cabin Flash","NC-17","25.99","20.14","5.93","0.99"
"Forward Temple","NC-17","25.99","20.14","5.93","0.99"
"Gleaming Jawbreaker","NC-17","25.99","20.14","5.93","0.99"
"Hollow Jeopardy","NC-17","25.99","20.14","5.93","0.99"
"Lolita World","NC-17","25.99","20.14","5.93","0.99"
"Pianist Outfield","NC-17","25.99","20.14","5.93","0.99"
"Pure Runner","NC-17","25.99","20.14","5.93","0.99"
"Sleuth Orient","NC-17","25.99","20.14","5.93","0.99"
"Chisum Behavior","G","25.99","20.12","6.39","0.92"
"Connection Microcosmos","G","25.99","20.12","6.39","0.92"
"Dancing Fever","G","25.99","20.12","6.39","0.92"
"Eve Resurrection","G","25.99","20.12","6.39","0.92"
"Heavyweights Beast","G","25.99","20.12","6.39","0.92"
"Mob Duffel","G","25.99","20.12","6.39","0.92"
"Newsies Story","G","25.99","20.12","6.39","0.92"
"Summer Scarface","G","25.99","20.12","6.39","0.92"
"Teen Apollo","G","25.99","20.12","6.39","0.92"
"Frisco Forrest","PG","23.99","18.96","5.67","0.89"
"Hellfighters Sierra","PG","23.99","18.96","5.67","0.89"
"Horn Working","PG","23.99","18.96","5.67","0.89"
"Santa Paris","PG","23.99","18.96","5.67","0.89"
"Tomatoes Hellfighters","PG","23.99","18.96","5.67","0.89"
"Twisted Pirates","PG","23.99","18.96","5.67","0.89"
"Bilko Anonymous","PG-13","25.99","20.40","6.32","0.88"
"Confessions Maguire","PG-13","25.99","20.40","6.32","0.88"
"Half Outfield","PG-13","25.99","20.40","6.32","0.88"
"Idaho Love","PG-13","25.99","20.40","6.32","0.88"
"Kwai Homeward","PG-13","25.99","20.40","6.32","0.88"
"League Hellfighters","PG-13","25.99","20.40","6.32","0.88"
"Moonshine Cabin","PG-13","25.99","20.40","6.32","0.88"
"Pond Seattle","PG-13","25.99","20.40","6.32","0.88"
"Savannah Town","PG-13","25.99","20.40","6.32","0.88"
"Aladdin Calendar","NC-17","24.99","20.14","5.93","0.82"
"Darkness War","NC-17","24.99","20.14","5.93","0.82"
"Desire Alien","NC-17","24.99","20.14","5.93","0.82"
"Family Sweet","R","24.99","20.23","5.79","0.82"
"Greatest North","NC-17","24.99","20.14","5.93","0.82"
"Hunting Musketeers","NC-17","24.99","20.14","5.93","0.82"
"Ishtar Rocketeer","R","24.99","20.23","5.79","0.82"
"King Evolution","NC-17","24.99","20.14","5.93","0.82"
"Kramer Chocolate","R","24.99","20.23","5.79","0.82"
"Tuxedo Mile","R","24.99","20.23","5.79","0.82"
"Wild Apollo","R","24.99","20.23","5.79","0.82"
"Wonka Sea","NC-17","24.99","20.14","5.93","0.82"
"Bride Intrigue","G","24.99","20.12","6.39","0.76"
"Chitty Lock","G","24.99","20.12","6.39","0.76"
"Glass Dying","G","24.99","20.12","6.39","0.76"
"Italian African","G","24.99","20.12","6.39","0.76"
"Rebel Airport","G","24.99","20.12","6.39","0.76"
"Secrets Paradise","G","24.99","20.12","6.39","0.76"
"Arachnophobia Rollercoaster","PG-13","24.99","20.40","6.32","0.73"
"Backlash Undefeated","PG-13","24.99","20.40","6.32","0.73"
"Berets Agent","PG-13","24.99","20.40","6.32","0.73"
"Celebrity Horn","PG-13","24.99","20.40","6.32","0.73"
"Core Suit","PG-13","24.99","20.40","6.32","0.73"
"Elephant Trojan","PG-13","24.99","20.40","6.32","0.73"
"Labyrinth League","PG-13","24.99","20.40","6.32","0.73"
"Natural Stock","PG-13","24.99","20.40","6.32","0.73"
"Show Lord","PG-13","24.99","20.40","6.32","0.73"
"Strictly Scarface","PG-13","24.99","20.40","6.32","0.73"
"Tenenbaums Command","PG-13","24.99","20.40","6.32","0.73"
"Whisperer Giant","PG-13","24.99","20.40","6.32","0.73"
"Alaska Phantom","PG","22.99","18.96","5.67","0.71"
"Crow Grease","PG","22.99","18.96","5.67","0.71"
"French Holiday","PG","22.99","18.96","5.67","0.71"
"Goodfellas Salute","PG","22.99","18.96","5.67","0.71"
"Jekyll Frogmen","PG","22.99","18.96","5.67","0.71"
"Patton Interview","PG","22.99","18.96","5.67","0.71"
"Queen Luke","PG","22.99","18.96","5.67","0.71"
"Shane Darkness","PG","22.99","18.96","5.67","0.71"
"Suspects Quills","PG","22.99","18.96","5.67","0.71"
"Trading Pinocchio","PG","22.99","18.96","5.67","0.71"
"Alice Fantasia","NC-17","23.99","20.14","5.93","0.65"
"Alley Evolution","NC-17","23.99","20.14","5.93","0.65"
"Amelie Hellfighters","R","23.99","20.23","5.79","0.65"
"Baby Hall","NC-17","23.99","20.14","5.93","0.65"
"Bed Highball","NC-17","23.99","20.14","5.93","0.65"
"Birdcage Casper","NC-17","23.99","20.14","5.93","0.65"
"Comancheros Enemy","R","23.99","20.23","5.79","0.65"
"Creatures Shakespeare","NC-17","23.99","20.14","5.93","0.65"
"Creepers Kane","NC-17","23.99","20.14","5.93","0.65"
"Enemy Odds","NC-17","23.99","20.14","5.93","0.65"
"Express Lonely","R","23.99","20.23","5.79","0.65"
"High Encino","R","23.99","20.23","5.79","0.65"
"Informer Double","NC-17","23.99","20.14","5.93","0.65"
"Island Exorcist","NC-17","23.99","20.14","5.93","0.65"
"Joon Northwest","NC-17","23.99","20.14","5.93","0.65"
"Lawrence Love","NC-17","23.99","20.14","5.93","0.65"
"Nemo Campus","NC-17","23.99","20.14","5.93","0.65"
"Rear Trading","NC-17","23.99","20.14","5.93","0.65"
"Scorpion Apollo","NC-17","23.99","20.14","5.93","0.65"
"Sense Greek","R","23.99","20.23","5.79","0.65"
"Siege Madre","R","23.99","20.23","5.79","0.65"
"Silence Kane","R","23.99","20.23","5.79","0.65"
"Spirit Flintstones","R","23.99","20.23","5.79","0.65"
"Vacation Boondock","R","23.99","20.23","5.79","0.65"
"Women Dorado","R","23.99","20.23","5.79","0.65"
"Cheaper Clyde","G","23.99","20.12","6.39","0.60"
"Happiness United","G","23.99","20.12","6.39","0.60"
"Hook Chariots","G","23.99","20.12","6.39","0.60"
"Muscle Bright","G","23.99","20.12","6.39","0.60"
"Operation Operation","G","23.99","20.12","6.39","0.60"
"Pickup Driving","G","23.99","20.12","6.39","0.60"
"Freedom Cleopatra","PG-13","23.99","20.40","6.32","0.57"
"Network Peak","PG-13","23.99","20.40","6.32","0.57"
"Reds Pocus","PG-13","23.99","20.40","6.32","0.57"
"Roots Remember","PG-13","23.99","20.40","6.32","0.57"
"Roses Treasure","PG-13","23.99","20.40","6.32","0.57"
"Stallion Sundance","PG-13","23.99","20.40","6.32","0.57"
"Taxi Kick","PG-13","23.99","20.40","6.32","0.57"
"Wanda Chamber","PG-13","23.99","20.40","6.32","0.57"
"Ali Forever","PG","21.99","18.96","5.67","0.53"
"Bedazzled Married","PG","21.99","18.96","5.67","0.53"
"Champion Flatliners","PG","21.99","18.96","5.67","0.53"
"Charade Duffel","PG","21.99","18.96","5.67","0.53"
"Chasing Fight","PG","21.99","18.96","5.67","0.53"
"Grit Clockwork","PG","21.99","18.96","5.67","0.53"
"Instinct Airport","PG","21.99","18.96","5.67","0.53"
"Necklace Outbreak","PG","21.99","18.96","5.67","0.53"
"Pinocchio Simon","PG","21.99","18.96","5.67","0.53"
"Slums Duck","PG","21.99","18.96","5.67","0.53"
"Army Flintstones","R","22.99","20.23","5.79","0.48"
"Badman Dawn","R","22.99","20.23","5.79","0.48"
"Beast Hunchback","R","22.99","20.23","5.79","0.48"
"Calendar Gunfight","NC-17","22.99","20.14","5.93","0.48"
"Chance Resurrection","R","22.99","20.23","5.79","0.48"
"Crystal Breaking","NC-17","22.99","20.14","5.93","0.48"
"Dances None","NC-17","22.99","20.14","5.93","0.48"
"Deceiver Betrayed","NC-17","22.99","20.14","5.93","0.48"
"Doors President","NC-17","22.99","20.14","5.93","0.48"
"Earring Instinct","R","22.99","20.23","5.79","0.48"
"Fish Opus","R","22.99","20.23","5.79","0.48"
"Flight Lies","R","22.99","20.23","5.79","0.48"
"Forrester Comancheros","NC-17","22.99","20.14","5.93","0.48"
"Gentlemen Stage","NC-17","22.99","20.14","5.93","0.48"
"Haunting Pianist","R","22.99","20.23","5.79","0.48"
"Hope Tootsie","NC-17","22.99","20.14","5.93","0.48"
"Human Graffiti","NC-17","22.99","20.14","5.93","0.48"
"Hustler Party","NC-17","22.99","20.14","5.93","0.48"
"Maguire Apache","NC-17","22.99","20.14","5.93","0.48"
"Montezuma Command","NC-17","22.99","20.14","5.93","0.48"
"Orient Closer","R","22.99","20.23","5.79","0.48"
"Panther Reds","NC-17","22.99","20.14","5.93","0.48"
"Searchers Wait","NC-17","22.99","20.14","5.93","0.48"
"Spice Sorority","NC-17","22.99","20.14","5.93","0.48"
"Strangers Graffiti","R","22.99","20.23","5.79","0.48"
"Texas Watch","NC-17","22.99","20.14","5.93","0.48"
"Virginian Pluto","R","22.99","20.23","5.79","0.48"
"Wash Heavenly","R","22.99","20.23","5.79","0.48"
"Willow Tracy","R","22.99","20.23","5.79","0.48"
"Working Microcosmos","R","22.99","20.23","5.79","0.48"
"African Egg","G","22.99","20.12","6.39","0.45"
"Borrowers Bedazzled","G","22.99","20.12","6.39","0.45"
"Caper Motions","G","22.99","20.12","6.39","0.45"
"Casablanca Super","G","22.99","20.12","6.39","0.45"
"Malkovich Pet","G","22.99","20.12","6.39","0.45"
"Married Go","G","22.99","20.12","6.39","0.45"
"Mosquito Armageddon","G","22.99","20.12","6.39","0.45"
"Bingo Talented","PG-13","22.99","20.40","6.32","0.41"
"Gathering Calendar","PG-13","22.99","20.40","6.32","0.41"
"Microcosmos Paradise","PG-13","22.99","20.40","6.32","0.41"
"Minds Truman","PG-13","22.99","20.40","6.32","0.41"
"Shootist Superfly","PG-13","22.99","20.40","6.32","0.41"
"Speakeasy Date","PG-13","22.99","20.40","6.32","0.41"
"Undefeated Dalmations","PG-13","22.99","20.40","6.32","0.41"
"Voice Peach","PG-13","22.99","20.40","6.32","0.41"
"Academy Dinosaur","PG","20.99","18.96","5.67","0.36"
"Amadeus Holy","PG","20.99","18.96","5.67","0.36"
"Behavior Runaway","PG","20.99","18.96","5.67","0.36"
"Coast Rainbow","PG","20.99","18.96","5.67","0.36"
"Egg Igby","PG","20.99","18.96","5.67","0.36"
"Gladiator Westward","PG","20.99","18.96","5.67","0.36"
"Modern Dorado","PG","20.99","18.96","5.67","0.36"
"Monsoon Cause","PG","20.99","18.96","5.67","0.36"
"Moon Bunch","PG","20.99","18.96","5.67","0.36"
"Pirates Roxanne","PG","20.99","18.96","5.67","0.36"
"Rush Goodfellas","PG","20.99","18.96","5.67","0.36"
"Shanghai Tycoon","PG","20.99","18.96","5.67","0.36"
"Shawshank Bubble","PG","20.99","18.96","5.67","0.36"
"Sugar Wonka","PG","20.99","18.96","5.67","0.36"
"Telegraph Voyage","PG","20.99","18.96","5.67","0.36"
"Bull Shawshank","NC-17","21.99","20.14","5.93","0.31"
"Christmas Moonshine","NC-17","21.99","20.14","5.93","0.31"
"Driving Polish","NC-17","21.99","20.14","5.93","0.31"
"Flash Wars","NC-17","21.99","20.14","5.93","0.31"
"Freddy Storm","NC-17","21.99","20.14","5.93","0.31"
"Hanover Galaxy","NC-17","21.99","20.14","5.93","0.31"
"Independence Hotel","NC-17","21.99","20.14","5.93","0.31"
"Jade Bunch","NC-17","21.99","20.14","5.93","0.31"
"Luck Opus","NC-17","21.99","20.14","5.93","0.31"
"Luke Mummy","NC-17","21.99","20.14","5.93","0.31"
"Mars Roman","NC-17","21.99","20.14","5.93","0.31"
"Sundance Invasion","NC-17","21.99","20.14","5.93","0.31"
"Vanishing Rocky","NC-17","21.99","20.14","5.93","0.31"
"Beverly Outlaw","R","21.99","20.23","5.79","0.30"
"Brooklyn Desert","R","21.99","20.23","5.79","0.30"
"Gold River","R","21.99","20.23","5.79","0.30"
"Hamlet Wisdom","R","21.99","20.23","5.79","0.30"
"Lights Deer","R","21.99","20.23","5.79","0.30"
"Love Suicides","R","21.99","20.23","5.79","0.30"
"Opus Ice","R","21.99","20.23","5.79","0.30"
"Robbery Bright","R","21.99","20.23","5.79","0.30"
"South Wait","R","21.99","20.23","5.79","0.30"
"Submarine Bed","R","21.99","20.23","5.79","0.30"
"Tomorrow Hustler","R","21.99","20.23","5.79","0.30"
"Blanket Beverly","G","21.99","20.12","6.39","0.29"
"Divorce Shining","G","21.99","20.12","6.39","0.29"
"Garden Island","G","21.99","20.12","6.39","0.29"
"Hunger Roof","G","21.99","20.12","6.39","0.29"
"Samurai Lion","G","21.99","20.12","6.39","0.29"
"Valley Packer","G","21.99","20.12","6.39","0.29"
"Alabama Devil","PG-13","21.99","20.40","6.32","0.25"
"Attacks Hate","PG-13","21.99","20.40","6.32","0.25"
"Breaking Home","PG-13","21.99","20.40","6.32","0.25"
"Congeniality Quest","PG-13","21.99","20.40","6.32","0.25"
"Falcon Volume","PG-13","21.99","20.40","6.32","0.25"
"Homicide Peach","PG-13","21.99","20.40","6.32","0.25"
"Hunter Alter","PG-13","21.99","20.40","6.32","0.25"
"Karate Moon","PG-13","21.99","20.40","6.32","0.25"
"Knock Warlock","PG-13","21.99","20.40","6.32","0.25"
"Leathernecks Dwarfs","PG-13","21.99","20.40","6.32","0.25"
"Lost Bird","PG-13","21.99","20.40","6.32","0.25"
"Nash Chocolat","PG-13","21.99","20.40","6.32","0.25"
"Orange Grapes","PG-13","21.99","20.40","6.32","0.25"
"School Jacket","PG-13","21.99","20.40","6.32","0.25"
"Usual Untouchables","PG-13","21.99","20.40","6.32","0.25"
"Heaven Freedom","PG","19.99","18.96","5.67","0.18"
"Hysterical Grail","PG","19.99","18.96","5.67","0.18"
"Magic Mallrats","PG","19.99","18.96","5.67","0.18"
"Stage World","PG","19.99","18.96","5.67","0.18"
"Sweden Shining","PG","19.99","18.96","5.67","0.18"
"Treatment Jekyll","PG","19.99","18.96","5.67","0.18"
"Walls Artist","PG","19.99","18.96","5.67","0.18"
"Wonderland Christmas","PG","19.99","18.96","5.67","0.18"
"Baked Cleopatra","G","20.99","20.12","6.39","0.14"
"Crossroads Casualties","G","20.99","20.12","6.39","0.14"
"Dazed Punk","G","20.99","20.12","6.39","0.14"
"Destiny Saturday","G","20.99","20.12","6.39","0.14"
"Diary Panic","G","20.99","20.12","6.39","0.14"
"Donnie Alley","NC-17","20.99","20.14","5.93","0.14"
"Dozen Lion","NC-17","20.99","20.14","5.93","0.14"
"Encounters Curtain","NC-17","20.99","20.14","5.93","0.14"
"Excitement Eve","G","20.99","20.12","6.39","0.14"
"Grapes Fury","G","20.99","20.12","6.39","0.14"
"Grease Youth","G","20.99","20.12","6.39","0.14"
"Mermaid Insects","NC-17","20.99","20.14","5.93","0.14"
