id,name,type,city_name,subcountry_name,country_name,site
52,Academic Alliance For Aids Care/Prevention In Africa,Sci,Kampala,,Uganda,"Kampala, , Uganda"
53,Academic Association Of Lisbon,Ngo,Lisbon,,Portugal,"Lisbon, , Portugal"
54,Academic Committee Of State Key Laboratory Of Large Yellow Croaker Breeding,Sci,Ningde,,China,"Ningde, , China"
55,Academic Publisher,Priv,Budapest,,Hungary,"Budapest, , Hungary"
56,Academy For Educational Development,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
57,Academy For International Science And Research,Acad,Derry,,United Kingdom,"Derry, , United Kingdom"
58,Academy Of Engineering And Green Technologies,Acad,Hartford,,United States,"Hartford, , United States"
59,Academy Of Fine Arts And Design Of Aruba,Acad,Oranjestad,,Aruba,"Oranjestad, , Aruba"
60,Academy Of Innovation For Sustainability,Priv,Bogota,,Colombia,"Bogota, , Colombia"
61,Academy Of Learning Nigeria,Acad,Abuja,,Nigeria,"Abuja, , Nigeria"
62,Acadian Regional Federation Of Professional Fishermen,Ngo,Shippagan,,Canada,"Shippagan, , Canada"
63,Accenture,Priv,Dublin,,Ireland,"Dublin, , Ireland"
64,Acción International,Ngo,Cambridge,,United States,"Cambridge, , United States"
65,Accion Rse,Ngo,Santiago,,Chile,"Santiago, , Chile"
66,Acciona,Priv,Madrid,,Spain,"Madrid, , Spain"
67,Accobams,Un,Monte Carlo,,Monaco,"Monte Carlo, , Monaco"
68,Accord 3.0 Consultants,Priv,Honolulu,,United States,"Honolulu, , United States"
69,Accord A Vocation Du Travail,Ngo,Gasabo,,Rwanda,"Gasabo, , Rwanda"
70,Accounting For International Development,Ngo,London,,United Kingdom,"London, , United Kingdom"
71,Accra,Subgov,Accra,,Ghana,"Accra, , Ghana"
72,Accur8africa,Ngo,London,,United Kingdom,"London, , United Kingdom"
73,Acd- Agency For Cultural Diplomacy,Ngo,Vienna,,Austria,"Vienna, , Austria"
74,Aceh Aquaculture Cooperative,Priv,Aceh,,Indonesia,"Aceh, , Indonesia"
75,Acionista,Priv,Porto Alegre,,Brazil,"Porto Alegre, , Brazil"
76,Acopia,Subgov,Acopia,,Peru,"Acopia, , Peru"
77,Acoplama,Ngo,Coiba Island,,Panama,"Coiba Island, , Panama"
78,Acoustical Society Of America,Sci,College Park,,United States,"College Park, , United States"
79,Acp Secretariat,Intergov,Brussels,,Belgium,"Brussels, , Belgium"
80,Acquawise,Priv,Obidos,,Portugal,"Obidos, , Portugal"
81,Act Alliance,Ngo,Geneva,,Switzerland,"Geneva, , Switzerland"
82,Act For Change,Ngo,Accra,,Ghana,"Accra, , Ghana"
83,Act Institute,Ngo,Recife,,Brazil,"Recife, , Brazil"
84,Action Center For The Development Of Local Organizations,Ngo,Port-Au-Prince,,Haiti,"Port-Au-Prince, , Haiti"
85,Action For Economic And Agricultural Development,Ngo,Bukavu,,Congo,"Bukavu, , Congo"
86,Action For Economic Reforms,Ngo,Quezon City,,Philippines,"Quezon City, , Philippines"
87,Action Fund,Ngo,Bogota,,Columbia,"Bogota, , Columbia"
88,Action Of Study And Valuation Of The Environment,Ngo,Bamako,,Mali,"Bamako, , Mali"
89,Action Platform On Source-To-Sea Management,Ngo,Stockholm,,Sweden,"Stockholm, , Sweden"
90,Actionaid International,Ngo,Johannesburg,,South Africa,"Johannesburg, , South Africa"
91,Active Projectile Ltd,Priv,Lagos,,Nigeria,"Lagos, , Nigeria"
92,Active Remedy Ltd.,Ngo,London,,United Kingdom,"London, , United Kingdom"
93,Acuario Nacional,Sci,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
94,Acumen,Ngo,New York City,,United States,"New York City, , United States"
95,Ada District Assembly,Subgov,Ada,,Ghana,"Ada, , Ghana"
96,Ada Traditional Council,Ngo,Ada,,Ghana,"Ada, , Ghana"
97,Adama Science And Technology University,Acad,Adama,,Ethiopia,"Adama, , Ethiopia"
376,Amrita Sree,Ngo,Kollam,,India,"Kollam, , India"
98,Adaptation Fund,Un,Washington Dc,,United States,"Washington Dc, , United States"
99,Add International,Ngo,London,,United Kingdom,"London, , United Kingdom"
100,Addis Ababa,Subgov,Addis Ababa,,Ethiopia,"Addis Ababa, , Ethiopia"
101,Addis Ababa University,Acad,Addis Ababa,,Ethiopia,"Addis Ababa, , Ethiopia"
102,Adelphi Research,Priv,Doylestown,,United States,"Doylestown, , United States"
103,Adesco 13 De Enero,Ngo,San Isidiro,,El Salvador,"San Isidiro, , El Salvador"
104,Adescocasal,Ngo,El Salamar,,El Salvador,"El Salamar, , El Salvador"
105,Adescoccal,Ngo,La Calzada,,El Salvador,"La Calzada, , El Salvador"
106,Adescoch,Ngo,San Sebastián El Chingo,,El Salvador,"San Sebastián El Chingo, , El Salvador"
107,Adescocoegcgz,Ngo,Esperanzas De Guadalupe,,El Salvador,"Esperanzas De Guadalupe, , El Salvador"
108,Adescoeco,Ngo,Caserío El Conacaste,,El Salvador,"Caserío El Conacaste, , El Salvador"
109,Adescoiselcor,Ngo,Isla El Cordoncillo,,El Salvador,"Isla El Cordoncillo, , El Salvador"
110,Adescoquis,Ngo,Quinta,,El Salvador,"Quinta, , El Salvador"
111,Adescoran,Ngo,El Ranchon,,El Salvador,"El Ranchon, , El Salvador"
112,Adidas,Priv,Herzogenaurach,,Germany,"Herzogenaurach, , Germany"
113,Adolescence Education Programme,Ngo,New Delhi,,India,"New Delhi, , India"
114,Adolescent Health Information Project,Ngo,Kano,,Nigeria,"Kano, , Nigeria"
115,Adsorptech Inc,Priv,Middlesex,,United States,"Middlesex, , United States"
116,"Advanced Research Center For Health, Environment And Space",Sci,Bari,,Italy,"Bari, , Italy"
117,Adventist Development And Relief Agency,Ngo,Silver Spring,,United States,"Silver Spring, , United States"
118,Adventure Journeyworld Travel,Priv,Kota Kinabalu,,Malaysia,"Kota Kinabalu, , Malaysia"
119,Advertising And Marketing Superior School,Acad,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
120,Advice On Biotechnology,Ngo,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
121,Advocacy Forum,Ngo,Kathmandu,,Nepal,"Kathmandu, , Nepal"
122,Advocate For Youth Uganda,Ngo,Kampala,,Uganda,"Kampala, , Uganda"
123,Advocates Coalition For Development And Environment,Ngo,Kampala,,Uganda,"Kampala, , Uganda"
124,Aea Technology Plc,Priv,Harwell,,United Kingdom,"Harwell, , United Kingdom"
125,Aecom,Priv,Los Angeles,,United States,"Los Angeles, , United States"
126,Aegean University,Acad,Mytilene,,Greece,"Mytilene, , Greece"
127,Aerogeophysica Latinoamerica,Priv,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
128,Aes,Priv,Arlington (Va),,United States,"Arlington (Va), , United States"
129,Afd Development Bank,Natgov,Paris,,France,"Paris, , France"
130,Afghanistan,Natgov,Kabul,,Afghanistan,"Kabul, , Afghanistan"
131,Afghanistan Human Rights Organization,Ngo,London,,United Kingdom,"London, , United Kingdom"
132,Afghanistan Independent Bar Association,Ngo,Kabul,,Afghanistan,"Kabul, , Afghanistan"
133,Aflatoun,Ngo,Amsterdam,,Netherlands,"Amsterdam, , Netherlands"
134,Africa Adaptnet,Ngo,Dakar,,Senegal,"Dakar, , Senegal"
135,Africa Conservation Fund,Ngo,London,,United Kingdom,"London, , United Kingdom"
136,Africa Gathering,Priv,London,,United Kingdom,"London, , United Kingdom"
137,Africa Governance Initiative,Ngo,London,,United Kingdom,"London, , United Kingdom"
138,Africa Sustainable Energy Association,Ngo,Johannesburg,,South Africa,"Johannesburg, , South Africa"
139,Africa Unite,Ngo,Cape Town,,South Africa,"Cape Town, , South Africa"
140,Africa Water Enterprises,Ngo,Hollington,,United Kingdom,"Hollington, , United Kingdom"
141,Africalia,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
142,African Agricultural Technology Foundation,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
143,African Center For Biodiversity,Ngo,Johannesburg,,South Africa,"Johannesburg, , South Africa"
144,African Center For Technology Studies,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
145,African Center Of Meteorological Applications For Development,Intergov,Niamey,,Niger,"Niamey, , Niger"
146,African Climate Policy Centre,Intergov,Addis Ababa,,Ethiopia,"Addis Ababa, , Ethiopia"
147,African Confederation Of Artisanal Fisheries Organizations,Ngo,Dakar,,Senegal,"Dakar, , Senegal"
148,African Conservation Foundation,Ngo,London,,United Kingdom,"London, , United Kingdom"
149,African Cultural Exchange,Ngo,New York City,,United States,"New York City, , United States"
150,African Democracy Forum,Ngo,Kigali,,Rwanda,"Kigali, , Rwanda"
151,African Development Bank,Intergov,Abidjan,,Cote D'Ivoire,"Abidjan, , Cote D'Ivoire"
152,African Disability Forum,Ngo,Addis Ababa,,Ethiopia,"Addis Ababa, , Ethiopia"
153,African Energy Policy Research Network,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
154,African Forum For Utility Regulators,Ngo,Pretoria,,South Africa,"Pretoria, , South Africa"
155,African Foundation For Environment And Climate Change,Ngo,Sokoto,,Nigeria,"Sokoto, , Nigeria"
156,African Grantmakers Network,Ngo,Warrenton,,United States,"Warrenton, , United States"
157,African Hiv In Prisons Partnership Network,Ngo,Johannesburg,,South Africa,"Johannesburg, , South Africa"
158,African Indigenous And Minority People,Ngo,Kigali,,Rwanda,"Kigali, , Rwanda"
159,African Marine Waste Network,Ngo,Kenton,,South Africa,"Kenton, , South Africa"
160,African Medical And Research Foundation,Ngo,New York City,,United States,"New York City, , United States"
161,African Ministerial Conference On The Environment,Intergov,Nairobi,,Kenya,"Nairobi, , Kenya"
162,African Monitor,Ngo,Cape Town,,South Africa,"Cape Town, , South Africa"
163,African Mountain Association,Ngo,Wageningen,,Netherlands,"Wageningen, , Netherlands"
164,African Network Campaign On Education For All,Ngo,Dakar,,Senegal,"Dakar, , Senegal"
165,African Network Of Scientific And Technological Institutions,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
166,African Philanthropy Network,Ngo,Dar Es Salaam,,Tanzania,"Dar Es Salaam, , Tanzania"
167,African Roundtable On Sustainable Consumption And Production,Ngo,Dar Es Salaam,,Tanzania,"Dar Es Salaam, , Tanzania"
168,African Society For Engineering Management,Ngo,Abuja,,Nigeria,"Abuja, , Nigeria"
169,African Union,Intergov,Addis Ababa,,Ethiopia,"Addis Ababa, , Ethiopia"
170,African Union Chapter,Ngo,K’Shani,,South Africa,"K’Shani, , South Africa"
171,African Water Association,Ngo,Abidjan,,Cote D'Ivoire,"Abidjan, , Cote D'Ivoire"
172,African Wildlife Foundation,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
173,African Women Development Fund,Ngo,Accra,,Ghana,"Accra, , Ghana"
174,African Women'S Economic Policy Network,Ngo,Kampala,,Uganda,"Kampala, , Uganda"
175,African Women'S Network For Community Management Of Forests,Ngo,Yaounde,,Cameroon,"Yaounde, , Cameroon"
176,African Youth In Philanthropy Network,Ngo,New York,,United States,"New York, , United States"
177,African Youth Initiative On Climate Change,Ngo,Kanifing,,Gambia,"Kanifing, , Gambia"
178,African Youth Union,Ngo,Pretoria,,South Africa,"Pretoria, , South Africa"
179,"African, Caribbean And Pacific Group Of States Secretariat",Intergov,Brussels,,Belgium,"Brussels, , Belgium"
180,African-Hungarian Union,Ngo,Budapest,,Hungary,"Budapest, , Hungary"
181,Afrilabs,Ngo,Abuja,,Nigeria,"Abuja, , Nigeria"
182,Afroatlantic Theologies & Treaties Institute,Ngo,Wappinger Falls,,United States,"Wappinger Falls, , United States"
183,Afton Chemicals,Priv,Richmond,,United States,"Richmond, , United States"
184,Aga Khan Development Network,Ngo,Geneva,,Switzerland,"Geneva, , Switzerland"
185,Aga Khan University,Acad,Karachi,,Pakistan,"Karachi, , Pakistan"
186,Agama Energy,Priv,Cape Town,,South Africa,"Cape Town, , South Africa"
187,Agbar Foundation,Ngo,Barcelona,,Spain,"Barcelona, , Spain"
188,Ageing Nepal,Ngo,Nagarjun,,Nepal,"Nagarjun, , Nepal"
189,Agence France-Presse,Priv,Paris,,France,"Paris, , France"
190,Agency For Rational Energy Use And Ecology,Priv,Kiev,,Ukraine,"Kiev, , Ukraine"
191,Agency For The Promotion Of European Research,Sci,Rome,,Italy,"Rome, , Italy"
192,Agency Of Development Initiatives,Ngo,Bishkek,,Kyrgyzstan,"Bishkek, , Kyrgyzstan"
193,Agl,Priv,Sydney,,Australia,"Sydney, , Australia"
194,Agora,Priv,Santa Clara,,United States,"Santa Clara, , United States"
195,Agrhymet,Sci,Niamey,,Niger,"Niamey, , Niger"
196,Agribusiness Support Fund,Priv,Lahore,,Pakistan,"Lahore, , Pakistan"
197,Agricultural Commodities Supply,Priv,Addis Ababa,,Ethiopia,"Addis Ababa, , Ethiopia"
198,Agricultural Development Institute,Priv,Stutterheim,,South Africa,"Stutterheim, , South Africa"
199,Agricultural Economics Society,Ngo,Banbury,,United Kingdom,"Banbury, , United Kingdom"
200,Agricultural Leadership Foundation Of Hawaii,Ngo,Kailua,,United States,"Kailua, , United States"
201,Agricultural Plant Biotechnology Association,Ngo,Bogota,,Colombia,"Bogota, , Colombia"
202,Agricultural Research Council,Sci,Pretoria,,South Africa,"Pretoria, , South Africa"
203,Agriculture Chamber Of New Caledonia,Ngo,Noumea,,New Caledonia,"Noumea, , New Caledonia"
204,Agrimat,Priv,Legon,,Ghana,"Legon, , Ghana"
205,Agrinergy Ltd,Priv,London,,United Kingdom,"London, , United Kingdom"
206,Agritech,Priv,Singapore,,Singapore,"Singapore, , Singapore"
207,Agriterra,Ngo,Arnhem,,Netherlands,"Arnhem, , Netherlands"
208,Agrivet,Priv,Antananarivo,,Madagascar,"Antananarivo, , Madagascar"
209,Agro Chamber,Ngo,Guatemala City,,Guatemala,"Guatemala City, , Guatemala"
210,Agrocampus Ouest,Acad,Rennes,,France,"Rennes, , France"
211,Agro-Ecotourism Association Of Wild Cashews - Eben Nada,Ngo,Chama,,Panama,"Chama, , Panama"
212,Agro-Fishing Eco-Tourist Association Of Quebro,Ngo,Quebro,,Panama,"Quebro, , Panama"
213,Agrofrontera,Ngo,Guaybin,,Dominican Republic,"Guaybin, , Dominican Republic"
214,Agroicone,Priv,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
215,Agronomes Et Vrinaires Sans Frontires,Ngo,Lyon,,France,"Lyon, , France"
216,Agronomic Research For Development,Sci,Paris,,France,"Paris, , France"
217,Agronomy And Veterinary Institute Hassan Ii,Acad,Rabat,,Morocco,"Rabat, , Morocco"
218,Agroparistech,Acad,Paris,,France,"Paris, , France"
219,Agropolis Institute,Sci,Montpellier,,France,"Montpellier, , France"
220,Agrotour Cameroun,Ngo,Douala,,Cameroon,"Douala, , Cameroon"
221,Agua Blanca,Subgov,Agua Blanca,,Ecuador,"Agua Blanca, , Ecuador"
222,Agua Inc.,Priv,Serekunda,,Gambia,"Serekunda, , Gambia"
223,Agua Para El Pueblo,Ngo,Tegucigalpa,,Honduras,"Tegucigalpa, , Honduras"
224,Aguaclara Llc,Priv,Washington Dc,,United States,"Washington Dc, , United States"
225,Agueda,Subgov,Aguead,,Portugal,"Aguead, , Portugal"
226,Ahfad University For Women,Acad,Omdurman,,Sudan,"Omdurman, , Sudan"
227,Ahmedabad Bus Rapid Transit System,Priv,Usmanpura,,India,"Usmanpura, , India"
228,Ahrend,Priv,Sint-Oedenrode,,Netherlands,"Sint-Oedenrode, , Netherlands"
229,Aid And Actions,Ngo,Geneva,,Switzerland,"Geneva, , Switzerland"
230,Aid For Rural Education Access Initiative- Areai,Ngo,New York City,,United States,"New York City, , United States"
231,Aid For Trade Logistics,Ngo,Kingereka,,Tanzania,"Kingereka, , Tanzania"
232,Aid Green,Priv,Suwon,,South Korea,"Suwon, , South Korea"
233,Aida,Ngo,San Francisco,,United States,"San Francisco, , United States"
234,Aidafrica,Ngo,La Crescenta,,California,"La Crescenta, , California"
235,Aiders International,Ngo,Montreal,,Canada,"Montreal, , Canada"
236,Aidhub International Ltd,Ngo,Melbourne,,Australia,"Melbourne, , Australia"
237,Aids Association,Ngo,Marrakesh,,Morocco,"Marrakesh, , Morocco"
238,Aids Law Project,Ngo,Philadelphia,,United States,"Philadelphia, , United States"
239,Aids Study Center In Rio Grande Do Sul,Sci,Porto Alegro,,Brazil,"Porto Alegro, , Brazil"
240,Aidsportal,Ngo,London,,United Kingdom,"London, , United Kingdom"
241,Aiesec International,Ngo,Montreal,,Canada,"Montreal, , Canada"
242,Aifo,Ngo,Bologna,,Italy,"Bologna, , Italy"
243,Aikagroup,Priv,Helsinki,,Finland,"Helsinki, , Finland"
244,Aimst University,Acad,Bedong,,Malaysia,"Bedong, , Malaysia"
245,Aip Foundation,Ngo,Lisbon,,Portugal,"Lisbon, , Portugal"
246,Air India,Priv,New Delhi,,India,"New Delhi, , India"
247,Air Mariutus,Priv,Port Louis,,Mariutus,"Port Louis, , Mariutus"
248,Air Namibia,Priv,Windhoek,,Namibia,"Windhoek, , Namibia"
249,Air New Zealand,Priv,Auckland,,New Zealand,"Auckland, , New Zealand"
250,Air Senegal,Priv,Dakar,,Senegal,"Dakar, , Senegal"
251,Air Transport Action Group,Priv,Geneva,,Switzerland,"Geneva, , Switzerland"
252,Airbus,Priv,Lieden,,Netherlands,"Lieden, , Netherlands"
253,Airport Group Of The South Of Mexico,Priv,Mexico City,,Mexico,"Mexico City, , Mexico"
254,Airports Council International,Ngo,Montreal,,Canada,"Montreal, , Canada"
255,Airtel,Priv,New Delhi,,India,"New Delhi, , India"
256,Aisbl World Ocean Network,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
257,Aitutaki Conservation Trust,Ngo,Home,,Cook Islands,"Home, , Cook Islands"
258,Aitutaki Island Government,Subgov,Arutanga,,Cook Islands,"Arutanga, , Cook Islands"
259,Ajedui,Ngo,Cotonou,,Benin,"Cotonou, , Benin"
260,Ajuda De Desenvolvimento De Povo Para Povo,Ngo,Matola,,Mozambique,"Matola, , Mozambique"
261,Akaa Project,Ngo,Wayland (Ma),,United States,"Wayland (Ma), , United States"
262,Akatu Institute,Ngo,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
263,Akhil Bhartiya Magasargiya Vikas Mandal,Ngo,Buldhana,,India,"Buldhana, , India"
264,Akumal Ecological Center,Ngo,Akumal,,Mexico,"Akumal, , Mexico"
265,Akwapim Mountain Women'S Forum,Ngo,Accra,,Ghana,"Accra, , Ghana"
266,Akzonobel,Priv,Amsterdam,,Netherlands,"Amsterdam, , Netherlands"
267,Al Farabi Kazakh National University,Acad,Almaty,,Kazakhstan,"Almaty, , Kazakhstan"
268,Al Mabarrat Association,Ngo,Ghobeiry,,Lebanon,"Ghobeiry, , Lebanon"
269,Al Majd Rehabilitation,Priv,Giza,,Egypt,"Giza, , Egypt"
270,Alaska Native Tribal Health Consortium,Ngo,Anchorage,,United States,"Anchorage, , United States"
271,Alaska Permanent Fund Corporation,Priv,Juneau,,United States,"Juneau, , United States"
272,Albania,Natgov,Tirana,,Albania,"Tirana, , Albania"
273,Albawsala,Ngo,Tunis,,Tunisia,"Tunis, , Tunisia"
274,Albemarle,Priv,Charlotte,,United States,"Charlotte, , United States"
275,Albertine Rift Conservation Society,Ngo,Kampala,,Uganda,"Kampala, , Uganda"
276,Alberto Hurtado University,Acad,Santiago,,Chile,"Santiago, , Chile"
277,Albion Farms And Fisheries,Priv,Richmond,,Canada,"Richmond, , Canada"
278,Albion Fisheries Research Centre,Acad,Albion,,Mauritius,"Albion, , Mauritius"
279,Alcacer Do Sal,Subgov,Alcacer Do Sal,,Portugal,"Alcacer Do Sal, , Portugal"
280,Alcalda De Barahona,Subgov,Barahona,,Dominican Republic,"Barahona, , Dominican Republic"
281,Alcaldía Arroyo Barril,Subgov,Arroyo Barril,,Dominican Republic,"Arroyo Barril, , Dominican Republic"
282,Alcaldia De Rincon Del Mar,Subgov,Rincon Del Mar,,Colombia,"Rincon Del Mar, , Colombia"
283,"Alchem Field Services, Inc.",Priv,Oklahoma City,,United States,"Oklahoma City, , United States"
284,Alecta,Priv,Stockholm,,Sweden,"Stockholm, , Sweden"
285,Alert Youth Fund,Ngo,Amsterdam,,Netherlands,"Amsterdam, , Netherlands"
286,Aleut International Association,Ngo,Anchorage,,United States,"Anchorage, , United States"
287,Alexander Technological Educational Institute Of Thessaloniki,Acad,Thessaloniki,,Greece,"Thessaloniki, , Greece"
288,Alexander Von Humboldt Biological Resources Research Institute,Sci,Bogota,,Colombia,"Bogota, , Colombia"
289,Alexandria University,Acad,Alexandria,,Egypt,"Alexandria, , Egypt"
290,Alfred P. Sloan Foundation,Ngo,New York,,United States,"New York, , United States"
291,Alfred State College,Acad,Alfred,,United States,"Alfred, , United States"
292,Alfred Wegener Institute,Sci,Bremerhaven,,Germany,"Bremerhaven, , Germany"
293,Algeria,Natgov,Algiers,,Algeria,"Algiers, , Algeria"
294,Alkifah Co,Priv,Al-Ahsa,,Saudi Arabia,"Al-Ahsa, , Saudi Arabia"
295,All India Association For Educational Research,Ngo,Pondicherry,,India,"Pondicherry, , India"
296,All India Institute Of Local Self Government,Ngo,Mumbai,,India,"Mumbai, , India"
297,All-China Environment Federation,Ngo,Beijing,,China,"Beijing, , China"
298,All-China Youth Federation,Ngo,Beijing,,China,"Beijing, , China"
299,Allen & Overy,Priv,London,,United Kingdom,"London, , United Kingdom"
300,Allergan,Priv,Dublin,,Ireland,"Dublin, , Ireland"
301,Allgemeiner Deutscher Automobil-Club E.V.,Priv,Munich,,Germany,"Munich, , Germany"
302,Alliance For Energy Efficiency,Ngo,Mexico City,,Mexico,"Mexico City, , Mexico"
303,Alliance For Financial Inclusion,Ngo,Kuala Lumpur,,Malaysia,"Kuala Lumpur, , Malaysia"
304,Alliance For Global Water Adaptation,Ngo,Stockholm,,Sweden,"Stockholm, , Sweden"
305,Alliance For Responsible Mining,Ngo,Envigado,,Colombia,"Envigado, , Colombia"
306,Alliance For Rural Electrification,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
307,Alliance For Zero Extinction,Ngo,The Plains,,United States,"The Plains, , United States"
308,Alliance Maghreb Pour L'Eau,Ngo,Casablanca,,Morocoo,"Casablanca, , Morocoo"
309,Alliance Of Automobile Manufacturers,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
310,Alliance Of Central Asian Mountain Communities,Ngo,Bishkek,,Kyrgyzstan,"Bishkek, , Kyrgyzstan"
311,Alliance Of Civil Society Organizations For Clean Energy Access,Ngo,London,,United Kingdom,"London, , United Kingdom"
312,Alliance Of Independent Journalists,Ngo,Jakarta,,Indonesia,"Jakarta, , Indonesia"
313,Alliance Of Independent Travel Traders,Ngo,Berlin,,Germany,"Berlin, , Germany"
314,Alliance Of Quebec Professional Fishermen,Ngo,Quebec,,Canada,"Quebec, , Canada"
315,Alliance Of Small Island States,Intergov,New York City,,United States,"New York City, , United States"
316,Alliance To Save Energy,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
317,Allianz Se,Priv,Munich,,Germany,"Munich, , Germany"
318,Alligator Head Foundation,Ngo,Port Antonio,,Jamaica,"Port Antonio, , Jamaica"
319,All-Ukrainian Ecological League,Ngo,Kiev,,Ukraine,"Kiev, , Ukraine"
320,Almae,Priv,Marcoussis,,France,"Marcoussis, , France"
321,Almeida,Subgov,Almeida,,Portugal,"Almeida, , Portugal"
322,Alnitak Marine Research And Education Center,Ngo,Madrid,,Spain,"Madrid, , Spain"
323,Alphazulu Advocates,Ngo,Hounslow,,United Kingdom,"Hounslow, , United Kingdom"
