"title","length","rental_rate","replacement_cost","roi","roi_rounded","rental_value"
"Caribbean Liberty",92,"4.99","16.99","3.4048096192384770","4","18.4368737474949900"
"Carol Texas",151,"2.99","15.99","5.3478260869565217","6","50.5016722408026756"
"Carrie Bunch",114,"0.99","11.99","12.1111111111111111","13","115.1515151515151515"
"Casablanca Super",85,"4.99","22.99","4.6072144288577154","5","17.0340681362725451"
"Casper Dragonfly",163,"4.99","16.99","3.4048096192384770","4","32.6653306613226453"
"Cassidy Wyoming",61,"2.99","19.99","6.6856187290969900","7","20.4013377926421405"
"Cat Coneheads",112,"4.99","14.99","3.0040080160320641","4","22.4448897795591182"
"Catch Amistad",183,"0.99","10.99","11.1010101010101010","12","184.8484848484848485"
"Cause Date",179,"2.99","16.99","5.6822742474916388","6","59.8662207357859532"
"Celebrity Horn",110,"0.99","24.99","25.2424242424242424","26","111.1111111111111111"
"Center Dinosaur",152,"4.99","12.99","2.6032064128256513","3","30.4609218436873747"
"Chainsaw Uptown",114,"0.99","25.99","26.2525252525252525","27","115.1515151515151515"
"Champion Flatliners",51,"4.99","21.99","4.4068136272545090","5","10.2204408817635271"
"Chance Resurrection",70,"2.99","22.99","7.6889632107023411","8","23.4113712374581940"
"Clash Freddy",81,"2.99","12.99","4.3444816053511706","5","27.0903010033444816"
"Chaplin License",146,"2.99","26.99","9.0267558528428094","10","48.8294314381270903"
"Charade Duffel",66,"2.99","21.99","7.3545150501672241","8","22.0735785953177258"
"Chariots Conspiracy",71,"2.99","29.99","10.0301003344481605","11","23.7458193979933110"
"Chasing Fight",114,"4.99","21.99","4.4068136272545090","5","22.8456913827655311"
"Cheaper Clyde",87,"0.99","23.99","24.2323232323232323","25","87.8787878787878788"
"Chicago North",185,"4.99","11.99","2.4028056112224449","3","37.0741482965931864"
"Chicken Hellfighters",122,"0.99","24.99","25.2424242424242424","26","123.2323232323232323"
"Chill Luck",142,"0.99","17.99","18.1717171717171717","19","143.4343434343434343"
"Chinatown Gladiator",61,"4.99","24.99","5.0080160320641283","6","12.2244488977955912"
"Chisum Behavior",124,"4.99","25.99","5.2084168336673347","6","24.8496993987975952"
"Chitty Lock",107,"2.99","24.99","8.3578595317725753","9","35.7859531772575251"
"Chocolat Harry",101,"0.99","16.99","17.1616161616161616","18","102.0202020202020202"
"Chocolate Duck",132,"2.99","13.99","4.6789297658862876","5","44.1471571906354515"
"Christmas Moonshine",150,"0.99","21.99","22.2121212121212121","23","151.5151515151515152"
"Cider Desire",101,"2.99","9.99","3.3411371237458194","4","33.7792642140468227"
"Cincinatti Whisperer",143,"4.99","26.99","5.4088176352705411","6","28.6573146292585170"
"Circus Youth",90,"2.99","13.99","4.6789297658862876","5","30.1003344481605351"
"Citizen Shrek",165,"0.99","18.99","19.1818181818181818","20","166.6666666666666667"
"Cleopatra Devil",150,"0.99","26.99","27.2626262626262626","28","151.5151515151515152"
"Clerks Angels",164,"4.99","15.99","3.2044088176352705","4","32.8657314629258517"
"Clockwork Paradise",143,"0.99","29.99","30.2929292929292929","31","144.4444444444444444"
"Clones Pinocchio",124,"2.99","16.99","5.6822742474916388","6","41.4715719063545151"
"Closer Bang",58,"4.99","12.99","2.6032064128256513","3","11.6232464929859719"
"Club Graffiti",65,"0.99","12.99","13.1212121212121212","14","65.6565656565656566"
"Clue Grail",70,"4.99","27.99","5.6092184368737475","6","14.0280561122244489"
"Clueless Bucket",95,"2.99","13.99","4.6789297658862876","5","31.7725752508361204"
"Clyde Theory",139,"0.99","29.99","30.2929292929292929","31","140.4040404040404040"
"Coast Rainbow",55,"0.99","20.99","21.2020202020202020","22","55.5555555555555556"
"Core Suit",92,"2.99","24.99","8.3578595317725753","9","30.7692307692307692"
"Coldblooded Darling",70,"4.99","27.99","5.6092184368737475","6","14.0280561122244489"
"Color Philadelphia",149,"2.99","19.99","6.6856187290969900","7","49.8327759197324415"
"Coma Head",109,"4.99","10.99","2.2024048096192385","3","21.8436873747494990"
"Comancheros Enemy",67,"0.99","23.99","24.2323232323232323","25","67.6767676767676768"
"Comforts Rush",76,"2.99","19.99","6.6856187290969900","7","25.4180602006688963"
"Command Darling",120,"4.99","28.99","5.8096192384769539","6","24.0480961923847695"
"Commandments Express",59,"4.99","13.99","2.8036072144288577","3","11.8236472945891784"
"Coneheads Smoochy",112,"4.99","12.99","2.6032064128256513","3","22.4448897795591182"
"Confessions Maguire",65,"4.99","25.99","5.2084168336673347","6","13.0260521042084168"
"Confidential Interview",180,"4.99","13.99","2.8036072144288577","3","36.0721442885771543"
"Confused Candles",122,"2.99","27.99","9.3612040133779264","10","40.8026755852842809"
"Congeniality Quest",87,"0.99","21.99","22.2121212121212121","23","87.8787878787878788"
"Connecticut Tramp",172,"4.99","20.99","4.2064128256513026","5","34.4689378757515030"
"Connection Microcosmos",115,"0.99","25.99","26.2525252525252525","27","116.1616161616161616"
"Conquerer Nuts",173,"4.99","14.99","3.0040080160320641","4","34.6693386773547094"
"Conspiracy Spirit",184,"2.99","27.99","9.3612040133779264","10","61.5384615384615385"
"Contact Anonymous",166,"2.99","10.99","3.6755852842809365","4","55.5183946488294314"
"Control Anthem",185,"4.99","9.99","2.0020040080160321","3","37.0741482965931864"
"Conversation Downhill",112,"4.99","14.99","3.0040080160320641","4","22.4448897795591182"
"Cowboy Doom",146,"2.99","10.99","3.6755852842809365","4","48.8294314381270903"
"Craft Outfield",64,"0.99","17.99","18.1717171717171717","19","64.6464646464646465"
"Cranes Reservoir",57,"2.99","12.99","4.3444816053511706","5","19.0635451505016722"
"Crazy Home",136,"2.99","24.99","8.3578595317725753","9","45.4849498327759197"
"Creatures Shakespeare",139,"0.99","23.99","24.2323232323232323","25","140.4040404040404040"
"Creepers Kane",172,"4.99","23.99","4.8076152304609218","5","34.4689378757515030"
"Crooked Frogmen",143,"0.99","27.99","28.2727272727272727","29","144.4444444444444444"
"Crossing Divorce",50,"4.99","19.99","4.0060120240480962","5","10.0200400801603206"
"Crossroads Casualties",153,"2.99","20.99","7.0200668896321070","8","51.1705685618729097"
"Crow Grease",104,"0.99","22.99","23.2222222222222222","24","105.0505050505050505"
"Crowds Telemark",112,"4.99","16.99","3.4048096192384770","4","22.4448897795591182"
"Cruelty Unforgiven",69,"0.99","29.99","30.2929292929292929","31","69.6969696969696970"
"Crusade Honey",112,"2.99","27.99","9.3612040133779264","10","37.4581939799331104"
"Crystal Breaking",184,"2.99","22.99","7.6889632107023411","8","61.5384615384615385"
"Cupboard Sinners",56,"2.99","29.99","10.0301003344481605","11","18.7290969899665552"
"Curtain Videotape",133,"0.99","27.99","28.2727272727272727","29","134.3434343434343434"
"Cyclone Family",176,"2.99","18.99","6.3511705685618729","7","58.8628762541806020"
"Daddy Pittsburgh",161,"4.99","26.99","5.4088176352705411","6","32.2645290581162325"
"Daisy Menagerie",84,"4.99","9.99","2.0020040080160321","3","16.8336673346693387"
"Dalmations Sweden",106,"0.99","25.99","26.2525252525252525","27","107.0707070707070707"
"Dances None",58,"0.99","22.99","23.2222222222222222","24","58.5858585858585859"
"Dancing Fever",144,"0.99","25.99","26.2525252525252525","27","145.4545454545454545"
"Dangerous Uptown",121,"4.99","26.99","5.4088176352705411","6","24.2484969939879760"
"Dares Pluto",89,"2.99","16.99","5.6822742474916388","6","29.7658862876254181"
"Darkness War",99,"2.99","24.99","8.3578595317725753","9","33.1103678929765886"
"Darko Dorado",130,"4.99","13.99","2.8036072144288577","3","26.0521042084168337"
"Darling Breaking",165,"4.99","20.99","4.2064128256513026","5","33.0661322645290581"
"Darn Forrester",185,"4.99","14.99","3.0040080160320641","4","37.0741482965931864"
"Daughter Madigan",59,"4.99","13.99","2.8036072144288577","3","11.8236472945891784"
"Dawn Pond",57,"4.99","27.99","5.6092184368737475","6","11.4228456913827655"
"Day Unfaithful",113,"4.99","16.99","3.4048096192384770","4","22.6452905811623246"
"Dazed Punk",120,"4.99","20.99","4.2064128256513026","5","24.0480961923847695"
"Deceiver Betrayed",122,"0.99","22.99","23.2222222222222222","24","123.2323232323232323"
"Deep Crusade",51,"4.99","20.99","4.2064128256513026","5","10.2204408817635271"
"Deer Virginian",106,"2.99","13.99","4.6789297658862876","5","35.4515050167224080"
"Deliverance Mulholland",100,"0.99","9.99","10.0909090909090909","11","101.0101010101010101"
"Desert Poseidon",64,"4.99","27.99","5.6092184368737475","6","12.8256513026052104"
"Desire Alien",76,"2.99","24.99","8.3578595317725753","9","25.4180602006688963"
"Desperate Trainspotting",81,"4.99","29.99","6.0100200400801603","7","16.2324649298597194"
"Destination Jerk",76,"0.99","19.99","20.1919191919191919","21","76.7676767676767677"
"Destiny Saturday",56,"4.99","20.99","4.2064128256513026","5","11.2224448897795591"
"Details Packer",88,"4.99","17.99","3.6052104208416834","4","17.6352705410821643"
"Detective Vision",143,"0.99","16.99","17.1616161616161616","18","144.4444444444444444"
"Devil Desire",87,"4.99","12.99","2.6032064128256513","3","17.4348697394789579"
"Diary Panic",107,"2.99","20.99","7.0200668896321070","8","35.7859531772575251"
"Dinosaur Secretary",63,"2.99","27.99","9.3612040133779264","10","21.0702341137123746"
"Dirty Ace",147,"2.99","29.99","10.0301003344481605","11","49.1638795986622074"
"Disciple Mother",141,"0.99","17.99","18.1717171717171717","19","142.4242424242424242"
"Disturbing Scarface",94,"2.99","27.99","9.3612040133779264","10","31.4381270903010033"
"Divide Monster",68,"2.99","13.99","4.6789297658862876","5","22.7424749163879599"
"Divine Resurrection",100,"2.99","19.99","6.6856187290969900","7","33.4448160535117057"
"Divorce Shining",47,"2.99","21.99","7.3545150501672241","8","15.7190635451505017"
"Doctor Grail",57,"2.99","29.99","10.0301003344481605","11","19.0635451505016722"
"Dogma Family",122,"4.99","16.99","3.4048096192384770","4","24.4488977955911824"
"Dolls Rage",120,"2.99","10.99","3.6755852842809365","4","40.1337792642140468"
"Donnie Alley",125,"0.99","20.99","21.2020202020202020","22","126.2626262626262626"
"Doom Dancing",68,"0.99","13.99","14.1313131313131313","15","68.6868686868686869"
"Doors President",49,"4.99","22.99","4.6072144288577154","5","9.8196392785571142"
"Dorado Notting",139,"4.99","26.99","5.4088176352705411","6","27.8557114228456914"
"Double Wrath",177,"0.99","28.99","29.2828282828282828","30","178.7878787878787879"
"Doubtfire Labyrinth",154,"4.99","16.99","3.4048096192384770","4","30.8617234468937876"
"Downhill Enough",47,"0.99","19.99","20.1919191919191919","21","47.4747474747474747"
"Dozen Lion",177,"4.99","20.99","4.2064128256513026","5","35.4709418837675351"
"Dracula Crystal",176,"0.99","26.99","27.2626262626262626","28","177.7777777777777778"
"Dragon Squad",170,"0.99","26.99","27.2626262626262626","28","171.7171717171717172"
"Dragonfly Strangers",133,"4.99","19.99","4.0060120240480962","5","26.6533066132264529"
"Dream Pickup",135,"2.99","18.99","6.3511705685618729","7","45.1505016722408027"
"Drifter Commandments",61,"4.99","18.99","3.8056112224448898","4","12.2244488977955912"
"Driver Annie",159,"2.99","11.99","4.0100334448160535","5","53.1772575250836120"
"Driving Polish",175,"4.99","21.99","4.4068136272545090","5","35.0701402805611222"
"Drop Waterfront",178,"4.99","20.99","4.2064128256513026","5","35.6713426853707415"
"Drumline Cyclone",110,"0.99","14.99","15.1414141414141414","16","111.1111111111111111"
"Drums Dynamite",96,"0.99","11.99","12.1111111111111111","13","96.9696969696969697"
"Duck Racer",116,"2.99","15.99","5.3478260869565217","6","38.7959866220735786"
"Dude Blindness",132,"4.99","9.99","2.0020040080160321","3","26.4529058116232465"
"Duffel Apocalypse",171,"0.99","13.99","14.1313131313131313","15","172.7272727272727273"
"Dumbo Lust",119,"0.99","17.99","18.1717171717171717","19","120.2020202020202020"
"Durham Panky",154,"4.99","14.99","3.0040080160320641","4","30.8617234468937876"
"Dwarfs Alter",101,"2.99","13.99","4.6789297658862876","5","33.7792642140468227"
"Dynamite Tarzan",141,"0.99","27.99","28.2727272727272727","29","142.4242424242424242"
"Eagles Panky",140,"4.99","14.99","3.0040080160320641","4","28.0561122244488978"
"Early Home",96,"4.99","27.99","5.6092184368737475","6","19.2384769539078156"
"Earring Instinct",98,"0.99","22.99","23.2222222222222222","24","98.9898989898989899"
"Earth Vision",85,"0.99","29.99","30.2929292929292929","31","85.8585858585858586"
"Easy Gladiator",148,"4.99","12.99","2.6032064128256513","3","29.6593186372745491"
"Edge Kissing",153,"4.99","9.99","2.0020040080160321","3","30.6613226452905812"
"Effect Gladiator",107,"0.99","14.99","15.1414141414141414","16","108.0808080808080808"
"Egg Igby",67,"2.99","20.99","7.0200668896321070","8","22.4080267558528428"
"Egypt Tenenbaums",85,"0.99","11.99","12.1111111111111111","13","85.8585858585858586"
"Element Freddy",115,"4.99","28.99","5.8096192384769539","6","23.0460921843687375"
"Elephant Trojan",126,"4.99","24.99","5.0080160320641283","6","25.2505010020040080"
"Elf Murder",155,"4.99","19.99","4.0060120240480962","5","31.0621242484969940"
"Elizabeth Shane",152,"4.99","11.99","2.4028056112224449","3","30.4609218436873747"
"Empire Malkovich",177,"0.99","26.99","27.2626262626262626","28","178.7878787878787879"
"Encino Elf",143,"0.99","9.99","10.0909090909090909","11","144.4444444444444444"
"Encounters Curtain",92,"0.99","20.99","21.2020202020202020","22","92.9292929292929293"
"Ending Crowds",85,"0.99","10.99","11.1010101010101010","12","85.8585858585858586"
"Enemy Odds",77,"4.99","23.99","4.8076152304609218","5","15.4308617234468938"
"English Bulworth",51,"0.99","18.99","19.1818181818181818","20","51.5151515151515152"
"Enough Raging",158,"2.99","16.99","5.6822742474916388","6","52.8428093645484950"
"Entrapment Satisfaction",176,"0.99","19.99","20.1919191919191919","21","177.7777777777777778"
"Escape Metropolis",167,"2.99","20.99","7.0200668896321070","8","55.8528428093645485"
"Eve Resurrection",66,"4.99","25.99","5.2084168336673347","6","13.2264529058116232"
"Everyone Craft",163,"0.99","29.99","30.2929292929292929","31","164.6464646464646465"
"Evolution Alter",174,"0.99","10.99","11.1010101010101010","12","175.7575757575757576"
"Excitement Eve",51,"0.99","20.99","21.2020202020202020","22","51.5151515151515152"
"Exorcist Sting",167,"2.99","17.99","6.0167224080267559","7","55.8528428093645485"
"Expecations Natural",138,"4.99","26.99","5.4088176352705411","6","27.6553106212424850"
"Expendable Stallion",97,"0.99","14.99","15.1414141414141414","16","97.9797979797979798"
"Express Lonely",178,"2.99","23.99","8.0234113712374582","9","59.5317725752508361"
"Extraordinary Conquerer",122,"2.99","29.99","10.0301003344481605","11","40.8026755852842809"
"Eyes Driving",172,"2.99","13.99","4.6789297658862876","5","57.5250836120401338"
"Factory Dragon",144,"0.99","9.99","10.0909090909090909","11","145.4545454545454545"
"Falcon Volume",102,"4.99","21.99","4.4068136272545090","5","20.4408817635270541"
"Family Sweet",155,"0.99","24.99","25.2424242424242424","26","156.5656565656565657"
"Fantasia Park",131,"2.99","29.99","10.0301003344481605","11","43.8127090301003344"
"Fantasy Troopers",58,"0.99","27.99","28.2727272727272727","29","58.5858585858585859"
"Fargo Gandhi",130,"2.99","28.99","9.6956521739130435","10","43.4782608695652174"
"Fatal Haunted",91,"2.99","24.99","8.3578595317725753","9","30.4347826086956522"
"Feathers Metal",104,"0.99","12.99","13.1212121212121212","14","105.0505050505050505"
"Fellowship Autumn",77,"4.99","9.99","2.0020040080160321","3","15.4308617234468938"
"Ferris Mother",142,"2.99","13.99","4.6789297658862876","5","47.4916387959866221"
"Feud Frogmen",98,"0.99","29.99","30.2929292929292929","31","98.9898989898989899"
"Fever Empire",158,"4.99","20.99","4.2064128256513026","5","31.6633266533066132"
"Fiction Christmas",72,"0.99","14.99","15.1414141414141414","16","72.7272727272727273"
"Fiddler Lost",75,"4.99","20.99","4.2064128256513026","5","15.0300601202404810"
"Fidelity Devil",118,"4.99","11.99","2.4028056112224449","3","23.6472945891783567"
"Fight Jawbreaker",91,"0.99","13.99","14.1313131313131313","15","91.9191919191919192"
"Finding Anaconda",156,"0.99","10.99","11.1010101010101010","12","157.5757575757575758"
"Fire Wolves",173,"4.99","18.99","3.8056112224448898","4","34.6693386773547094"
"Fireball Philadelphia",148,"0.99","25.99","26.2525252525252525","27","149.4949494949494949"
"Firehouse Vietnam",103,"0.99","14.99","15.1414141414141414","16","104.0404040404040404"
"Fish Opus",125,"2.99","22.99","7.6889632107023411","8","41.8060200668896321"
"Flamingos Connecticut",80,"4.99","28.99","5.8096192384769539","6","16.0320641282565130"
"Flash Wars",123,"4.99","21.99","4.4068136272545090","5","24.6492985971943888"
"Flatliners Killer",100,"2.99","29.99","10.0301003344481605","11","33.4448160535117057"
"Flight Lies",179,"4.99","22.99","4.6072144288577154","5","35.8717434869739479"
"Flintstones Happiness",148,"4.99","11.99","2.4028056112224449","3","29.6593186372745491"
"Floats Garden",145,"2.99","29.99","10.0301003344481605","11","48.4949832775919732"
"Flying Hook",69,"2.99","18.99","6.3511705685618729","7","23.0769230769230769"
"Fool Mockingbird",158,"4.99","24.99","5.0080160320641283","6","31.6633266533066132"
"Forever Candidate",131,"2.99","28.99","9.6956521739130435","10","43.8127090301003344"
"Forrest Sons",63,"2.99","15.99","5.3478260869565217","6","21.0702341137123746"
"Forrester Comancheros",112,"4.99","22.99","4.6072144288577154","5","22.4448897795591182"
"Forward Temple",90,"2.99","25.99","8.6923076923076923","9","30.1003344481605351"
"Frankenstein Stranger",159,"0.99","16.99","17.1616161616161616","18","160.6060606060606061"
"Freaky Pocus",126,"2.99","16.99","5.6822742474916388","6","42.1404682274247492"
