"title","x","round","sigma","z"
"Coldblooded Darling","G","20.12","6.39","1.23"
"Gun Bonnie","G","20.12","6.39","1.23"
"Liberty Magnificent","G","20.12","6.39","1.23"
"Midsummer Groundhog","G","20.12","6.39","1.23"
"Pacific Amistad","G","20.12","6.39","1.23"
"Snowman Rollercoaster","G","20.12","6.39","1.23"
"Torque Bound","G","20.12","6.39","1.23"
"Alter Victory","PG-13","20.40","6.32","1.20"
"Confused Candles","PG-13","20.40","6.32","1.20"
"Conspiracy Spirit","PG-13","20.40","6.32","1.20"
"Crooked Frogmen","PG-13","20.40","6.32","1.20"
"Curtain Videotape","PG-13","20.40","6.32","1.20"
"Dynamite Tarzan","PG-13","20.40","6.32","1.20"
"Fantasy Troopers","PG-13","20.40","6.32","1.20"
"Gangs Pride","PG-13","20.40","6.32","1.20"
"Hobbit Alien","PG-13","20.40","6.32","1.20"
"Lord Arizona","PG-13","20.40","6.32","1.20"
"Madre Gables","PG-13","20.40","6.32","1.20"
"Paycheck Wait","PG-13","20.40","6.32","1.20"
"Rocketeer Mother","PG-13","20.40","6.32","1.20"
"Vietnam Smoochy","PG-13","20.40","6.32","1.20"
"Villain Desperate","PG-13","20.40","6.32","1.20"
"Brotherhood Blanket","R","20.23","5.79","1.17"
"Canyon Stock","R","20.23","5.79","1.17"
"Gorgeous Bingo","R","20.23","5.79","1.17"
"Graceland Dynamite","R","20.23","5.79","1.17"
"Reunion Witches","R","20.23","5.79","1.17"
"Stampede Disturbing","R","20.23","5.79","1.17"
"Train Bunch","R","20.23","5.79","1.17"
"Weekend Personal","R","20.23","5.79","1.17"
"Worker Tarzan","R","20.23","5.79","1.17"
"Betrayed Rear","NC-17","20.14","5.93","1.16"
"Bikini Borrowers","NC-17","20.14","5.93","1.16"
"Camelot Vacation","NC-17","20.14","5.93","1.16"
"Chaplin License","NC-17","20.14","5.93","1.16"
"Cincinatti Whisperer","NC-17","20.14","5.93","1.16"
"Dorado Notting","NC-17","20.14","5.93","1.16"
"Dragon Squad","NC-17","20.14","5.93","1.16"
"Hanky October","NC-17","20.14","5.93","1.16"
"Indian Love","NC-17","20.14","5.93","1.16"
"Language Cowboy","NC-17","20.14","5.93","1.16"
"Mask Peach","NC-17","20.14","5.93","1.16"
"Reef Salute","NC-17","20.14","5.93","1.16"
"Simon North","NC-17","20.14","5.93","1.16"
"Affair Prejudice","G","20.12","6.39","1.07"
"Daddy Pittsburgh","G","20.12","6.39","1.07"
"Dracula Crystal","G","20.12","6.39","1.07"
"Empire Malkovich","G","20.12","6.39","1.07"
"Meet Chocolate","G","20.12","6.39","1.07"
"Satisfaction Confidential","G","20.12","6.39","1.07"
"Spoilers Hellfighters","G","20.12","6.39","1.07"
"War Notting","G","20.12","6.39","1.07"
"Chicken Hellfighters","PG","18.96","5.67","1.06"
"Chinatown Gladiator","PG","18.96","5.67","1.06"
"Crazy Home","PG","18.96","5.67","1.06"
"Fatal Haunted","PG","18.96","5.67","1.06"
"Fool Mockingbird","PG","18.96","5.67","1.06"
"Lola Agent","PG","18.96","5.67","1.06"
"Northwest Polish","PG","18.96","5.67","1.06"
"Sea Virgin","PG","18.96","5.67","1.06"
"Beethoven Exorcist","PG-13","20.40","6.32","1.04"
"Cleopatra Devil","PG-13","20.40","6.32","1.04"
"Expecations Natural","PG-13","20.40","6.32","1.04"
"Groundhog Uncut","PG-13","20.40","6.32","1.04"
"Innocent Usual","PG-13","20.40","6.32","1.04"
"Maltese Hope","PG-13","20.40","6.32","1.04"
"Metal Armageddon","PG-13","20.40","6.32","1.04"
"Mission Zoolander","PG-13","20.40","6.32","1.04"
"Mixed Doors","PG-13","20.40","6.32","1.04"
"Reap Unfaithful","PG-13","20.40","6.32","1.04"
"Robbers Joon","PG-13","20.40","6.32","1.04"
"Shakespeare Saddle","PG-13","20.40","6.32","1.04"
"Grinch Massage","R","20.23","5.79","1.00"
"Horror Reign","R","20.23","5.79","1.00"
"Requiem Tycoon","R","20.23","5.79","1.00"
"Roof Champion","R","20.23","5.79","1.00"
"Run Pacific","R","20.23","5.79","1.00"
"Stagecoach Armageddon","R","20.23","5.79","1.00"
"Window Side","R","20.23","5.79","1.00"
"Ark Ridgemont","NC-17","20.14","5.93","0.99"
"Bang Kwai","NC-17","20.14","5.93","0.99"
"Cabin Flash","NC-17","20.14","5.93","0.99"
"Forward Temple","NC-17","20.14","5.93","0.99"
"Gleaming Jawbreaker","NC-17","20.14","5.93","0.99"
"Hollow Jeopardy","NC-17","20.14","5.93","0.99"
"Lolita World","NC-17","20.14","5.93","0.99"
"Pianist Outfield","NC-17","20.14","5.93","0.99"
"Pure Runner","NC-17","20.14","5.93","0.99"
"Sleuth Orient","NC-17","20.14","5.93","0.99"
"Chisum Behavior","G","20.12","6.39","0.92"
"Connection Microcosmos","G","20.12","6.39","0.92"
"Dancing Fever","G","20.12","6.39","0.92"
"Eve Resurrection","G","20.12","6.39","0.92"
"Heavyweights Beast","G","20.12","6.39","0.92"
"Mob Duffel","G","20.12","6.39","0.92"
"Newsies Story","G","20.12","6.39","0.92"
"Summer Scarface","G","20.12","6.39","0.92"
"Teen Apollo","G","20.12","6.39","0.92"
"Frisco Forrest","PG","18.96","5.67","0.89"
"Hellfighters Sierra","PG","18.96","5.67","0.89"
"Horn Working","PG","18.96","5.67","0.89"
"Santa Paris","PG","18.96","5.67","0.89"
"Tomatoes Hellfighters","PG","18.96","5.67","0.89"
"Twisted Pirates","PG","18.96","5.67","0.89"
"Bilko Anonymous","PG-13","20.40","6.32","0.88"
"Confessions Maguire","PG-13","20.40","6.32","0.88"
"Half Outfield","PG-13","20.40","6.32","0.88"
"Idaho Love","PG-13","20.40","6.32","0.88"
"Kwai Homeward","PG-13","20.40","6.32","0.88"
"League Hellfighters","PG-13","20.40","6.32","0.88"
"Moonshine Cabin","PG-13","20.40","6.32","0.88"
"Pond Seattle","PG-13","20.40","6.32","0.88"
"Savannah Town","PG-13","20.40","6.32","0.88"
"Aladdin Calendar","NC-17","20.14","5.93","0.82"
"Darkness War","NC-17","20.14","5.93","0.82"
"Desire Alien","NC-17","20.14","5.93","0.82"
"Family Sweet","R","20.23","5.79","0.82"
"Greatest North","NC-17","20.14","5.93","0.82"
"Hunting Musketeers","NC-17","20.14","5.93","0.82"
"Ishtar Rocketeer","R","20.23","5.79","0.82"
"King Evolution","NC-17","20.14","5.93","0.82"
"Kramer Chocolate","R","20.23","5.79","0.82"
"Tuxedo Mile","R","20.23","5.79","0.82"
"Wild Apollo","R","20.23","5.79","0.82"
"Wonka Sea","NC-17","20.14","5.93","0.82"
"Bride Intrigue","G","20.12","6.39","0.76"
"Chitty Lock","G","20.12","6.39","0.76"
"Glass Dying","G","20.12","6.39","0.76"
"Italian African","G","20.12","6.39","0.76"
"Rebel Airport","G","20.12","6.39","0.76"
"Secrets Paradise","G","20.12","6.39","0.76"
"Arachnophobia Rollercoaster","PG-13","20.40","6.32","0.73"
"Backlash Undefeated","PG-13","20.40","6.32","0.73"
"Berets Agent","PG-13","20.40","6.32","0.73"
"Celebrity Horn","PG-13","20.40","6.32","0.73"
"Core Suit","PG-13","20.40","6.32","0.73"
"Elephant Trojan","PG-13","20.40","6.32","0.73"
"Labyrinth League","PG-13","20.40","6.32","0.73"
"Natural Stock","PG-13","20.40","6.32","0.73"
"Show Lord","PG-13","20.40","6.32","0.73"
"Strictly Scarface","PG-13","20.40","6.32","0.73"
"Tenenbaums Command","PG-13","20.40","6.32","0.73"
"Whisperer Giant","PG-13","20.40","6.32","0.73"
"Alaska Phantom","PG","18.96","5.67","0.71"
"Crow Grease","PG","18.96","5.67","0.71"
"French Holiday","PG","18.96","5.67","0.71"
"Goodfellas Salute","PG","18.96","5.67","0.71"
"Jekyll Frogmen","PG","18.96","5.67","0.71"
"Patton Interview","PG","18.96","5.67","0.71"
"Queen Luke","PG","18.96","5.67","0.71"
"Shane Darkness","PG","18.96","5.67","0.71"
"Suspects Quills","PG","18.96","5.67","0.71"
"Trading Pinocchio","PG","18.96","5.67","0.71"
"Alice Fantasia","NC-17","20.14","5.93","0.65"
"Alley Evolution","NC-17","20.14","5.93","0.65"
"Amelie Hellfighters","R","20.23","5.79","0.65"
"Baby Hall","NC-17","20.14","5.93","0.65"
"Bed Highball","NC-17","20.14","5.93","0.65"
"Birdcage Casper","NC-17","20.14","5.93","0.65"
"Comancheros Enemy","R","20.23","5.79","0.65"
"Creatures Shakespeare","NC-17","20.14","5.93","0.65"
"Creepers Kane","NC-17","20.14","5.93","0.65"
"Enemy Odds","NC-17","20.14","5.93","0.65"
"Express Lonely","R","20.23","5.79","0.65"
"High Encino","R","20.23","5.79","0.65"
"Informer Double","NC-17","20.14","5.93","0.65"
"Island Exorcist","NC-17","20.14","5.93","0.65"
"Joon Northwest","NC-17","20.14","5.93","0.65"
"Lawrence Love","NC-17","20.14","5.93","0.65"
"Nemo Campus","NC-17","20.14","5.93","0.65"
"Rear Trading","NC-17","20.14","5.93","0.65"
"Scorpion Apollo","NC-17","20.14","5.93","0.65"
"Sense Greek","R","20.23","5.79","0.65"
"Siege Madre","R","20.23","5.79","0.65"
"Silence Kane","R","20.23","5.79","0.65"
"Spirit Flintstones","R","20.23","5.79","0.65"
"Vacation Boondock","R","20.23","5.79","0.65"
"Women Dorado","R","20.23","5.79","0.65"
"Cheaper Clyde","G","20.12","6.39","0.60"
"Happiness United","G","20.12","6.39","0.60"
"Hook Chariots","G","20.12","6.39","0.60"
"Muscle Bright","G","20.12","6.39","0.60"
"Operation Operation","G","20.12","6.39","0.60"
"Pickup Driving","G","20.12","6.39","0.60"
"Freedom Cleopatra","PG-13","20.40","6.32","0.57"
"Network Peak","PG-13","20.40","6.32","0.57"
"Reds Pocus","PG-13","20.40","6.32","0.57"
"Roots Remember","PG-13","20.40","6.32","0.57"
"Roses Treasure","PG-13","20.40","6.32","0.57"
"Stallion Sundance","PG-13","20.40","6.32","0.57"
"Taxi Kick","PG-13","20.40","6.32","0.57"
"Wanda Chamber","PG-13","20.40","6.32","0.57"
"Ali Forever","PG","18.96","5.67","0.53"
"Bedazzled Married","PG","18.96","5.67","0.53"
"Champion Flatliners","PG","18.96","5.67","0.53"
"Charade Duffel","PG","18.96","5.67","0.53"
"Chasing Fight","PG","18.96","5.67","0.53"
"Grit Clockwork","PG","18.96","5.67","0.53"
"Instinct Airport","PG","18.96","5.67","0.53"
"Necklace Outbreak","PG","18.96","5.67","0.53"
"Pinocchio Simon","PG","18.96","5.67","0.53"
"Slums Duck","PG","18.96","5.67","0.53"
"Army Flintstones","R","20.23","5.79","0.48"
"Badman Dawn","R","20.23","5.79","0.48"
"Beast Hunchback","R","20.23","5.79","0.48"
"Calendar Gunfight","NC-17","20.14","5.93","0.48"
"Chance Resurrection","R","20.23","5.79","0.48"
"Crystal Breaking","NC-17","20.14","5.93","0.48"
"Dances None","NC-17","20.14","5.93","0.48"
"Deceiver Betrayed","NC-17","20.14","5.93","0.48"
"Doors President","NC-17","20.14","5.93","0.48"
"Earring Instinct","R","20.23","5.79","0.48"
"Fish Opus","R","20.23","5.79","0.48"
"Flight Lies","R","20.23","5.79","0.48"
"Forrester Comancheros","NC-17","20.14","5.93","0.48"
"Gentlemen Stage","NC-17","20.14","5.93","0.48"
"Haunting Pianist","R","20.23","5.79","0.48"
"Hope Tootsie","NC-17","20.14","5.93","0.48"
"Human Graffiti","NC-17","20.14","5.93","0.48"
"Hustler Party","NC-17","20.14","5.93","0.48"
"Maguire Apache","NC-17","20.14","5.93","0.48"
"Montezuma Command","NC-17","20.14","5.93","0.48"
"Orient Closer","R","20.23","5.79","0.48"
"Panther Reds","NC-17","20.14","5.93","0.48"
"Searchers Wait","NC-17","20.14","5.93","0.48"
"Spice Sorority","NC-17","20.14","5.93","0.48"
"Strangers Graffiti","R","20.23","5.79","0.48"
"Texas Watch","NC-17","20.14","5.93","0.48"
"Virginian Pluto","R","20.23","5.79","0.48"
"Wash Heavenly","R","20.23","5.79","0.48"
"Willow Tracy","R","20.23","5.79","0.48"
"Working Microcosmos","R","20.23","5.79","0.48"
"African Egg","G","20.12","6.39","0.45"
"Borrowers Bedazzled","G","20.12","6.39","0.45"
"Caper Motions","G","20.12","6.39","0.45"
"Casablanca Super","G","20.12","6.39","0.45"
"Malkovich Pet","G","20.12","6.39","0.45"
"Married Go","G","20.12","6.39","0.45"
"Mosquito Armageddon","G","20.12","6.39","0.45"
"Bingo Talented","PG-13","20.40","6.32","0.41"
"Gathering Calendar","PG-13","20.40","6.32","0.41"
"Microcosmos Paradise","PG-13","20.40","6.32","0.41"
"Minds Truman","PG-13","20.40","6.32","0.41"
"Shootist Superfly","PG-13","20.40","6.32","0.41"
"Speakeasy Date","PG-13","20.40","6.32","0.41"
"Undefeated Dalmations","PG-13","20.40","6.32","0.41"
"Voice Peach","PG-13","20.40","6.32","0.41"
"Academy Dinosaur","PG","18.96","5.67","0.36"
"Amadeus Holy","PG","18.96","5.67","0.36"
"Behavior Runaway","PG","18.96","5.67","0.36"
"Coast Rainbow","PG","18.96","5.67","0.36"
"Egg Igby","PG","18.96","5.67","0.36"
"Gladiator Westward","PG","18.96","5.67","0.36"
"Modern Dorado","PG","18.96","5.67","0.36"
"Monsoon Cause","PG","18.96","5.67","0.36"
"Moon Bunch","PG","18.96","5.67","0.36"
"Pirates Roxanne","PG","18.96","5.67","0.36"
"Rush Goodfellas","PG","18.96","5.67","0.36"
"Shanghai Tycoon","PG","18.96","5.67","0.36"
"Shawshank Bubble","PG","18.96","5.67","0.36"
"Sugar Wonka","PG","18.96","5.67","0.36"
"Telegraph Voyage","PG","18.96","5.67","0.36"
"Bull Shawshank","NC-17","20.14","5.93","0.31"
"Christmas Moonshine","NC-17","20.14","5.93","0.31"
"Driving Polish","NC-17","20.14","5.93","0.31"
"Flash Wars","NC-17","20.14","5.93","0.31"
"Freddy Storm","NC-17","20.14","5.93","0.31"
"Hanover Galaxy","NC-17","20.14","5.93","0.31"
"Independence Hotel","NC-17","20.14","5.93","0.31"
"Jade Bunch","NC-17","20.14","5.93","0.31"
"Luck Opus","NC-17","20.14","5.93","0.31"
"Luke Mummy","NC-17","20.14","5.93","0.31"
"Mars Roman","NC-17","20.14","5.93","0.31"
"Sundance Invasion","NC-17","20.14","5.93","0.31"
"Vanishing Rocky","NC-17","20.14","5.93","0.31"
"Beverly Outlaw","R","20.23","5.79","0.30"
"Brooklyn Desert","R","20.23","5.79","0.30"
"Gold River","R","20.23","5.79","0.30"
"Hamlet Wisdom","R","20.23","5.79","0.30"
"Lights Deer","R","20.23","5.79","0.30"
"Love Suicides","R","20.23","5.79","0.30"
"Opus Ice","R","20.23","5.79","0.30"
"Robbery Bright","R","20.23","5.79","0.30"
"South Wait","R","20.23","5.79","0.30"
"Submarine Bed","R","20.23","5.79","0.30"
"Tomorrow Hustler","R","20.23","5.79","0.30"
"Blanket Beverly","G","20.12","6.39","0.29"
"Divorce Shining","G","20.12","6.39","0.29"
"Garden Island","G","20.12","6.39","0.29"
"Hunger Roof","G","20.12","6.39","0.29"
"Samurai Lion","G","20.12","6.39","0.29"
"Valley Packer","G","20.12","6.39","0.29"
"Alabama Devil","PG-13","20.40","6.32","0.25"
"Attacks Hate","PG-13","20.40","6.32","0.25"
"Breaking Home","PG-13","20.40","6.32","0.25"
"Congeniality Quest","PG-13","20.40","6.32","0.25"
"Falcon Volume","PG-13","20.40","6.32","0.25"
"Homicide Peach","PG-13","20.40","6.32","0.25"
"Hunter Alter","PG-13","20.40","6.32","0.25"
"Karate Moon","PG-13","20.40","6.32","0.25"
"Knock Warlock","PG-13","20.40","6.32","0.25"
"Leathernecks Dwarfs","PG-13","20.40","6.32","0.25"
"Lost Bird","PG-13","20.40","6.32","0.25"
"Nash Chocolat","PG-13","20.40","6.32","0.25"
"Orange Grapes","PG-13","20.40","6.32","0.25"
"School Jacket","PG-13","20.40","6.32","0.25"
"Usual Untouchables","PG-13","20.40","6.32","0.25"
"Heaven Freedom","PG","18.96","5.67","0.18"
"Hysterical Grail","PG","18.96","5.67","0.18"
"Magic Mallrats","PG","18.96","5.67","0.18"
"Stage World","PG","18.96","5.67","0.18"
"Sweden Shining","PG","18.96","5.67","0.18"
"Treatment Jekyll","PG","18.96","5.67","0.18"
"Walls Artist","PG","18.96","5.67","0.18"
"Wonderland Christmas","PG","18.96","5.67","0.18"
"Baked Cleopatra","G","20.12","6.39","0.14"
"Crossroads Casualties","G","20.12","6.39","0.14"
"Dazed Punk","G","20.12","6.39","0.14"
"Destiny Saturday","G","20.12","6.39","0.14"
"Diary Panic","G","20.12","6.39","0.14"
"Donnie Alley","NC-17","20.14","5.93","0.14"
"Dozen Lion","NC-17","20.14","5.93","0.14"
"Encounters Curtain","NC-17","20.14","5.93","0.14"
"Excitement Eve","G","20.12","6.39","0.14"
"Grapes Fury","G","20.12","6.39","0.14"
"Grease Youth","G","20.12","6.39","0.14"
"Mermaid Insects","NC-17","20.14","5.93","0.14"
"Mod Secretary","NC-17","20.14","5.93","0.14"
"Pride Alamo","NC-17","20.14","5.93","0.14"
"Redemption Comforts","NC-17","20.14","5.93","0.14"
"Vanilla Day","NC-17","20.14","5.93","0.14"
"Wonderful Drop","NC-17","20.14","5.93","0.14"
"Bear Graceland","R","20.23","5.79","0.13"
"Bubble Grosse","R","20.23","5.79","0.13"
"Connecticut Tramp","R","20.23","5.79","0.13"
"Drop Waterfront","R","20.23","5.79","0.13"
"Escape Metropolis","R","20.23","5.79","0.13"
"Fever Empire","R","20.23","5.79","0.13"
"Fiddler Lost","R","20.23","5.79","0.13"
"Goldmine Tycoon","R","20.23","5.79","0.13"
"Gone Trouble","R","20.23","5.79","0.13"
"Guys Falcon","R","20.23","5.79","0.13"
"Holy Tadpole","R","20.23","5.79","0.13"
"Madigan Dorado","R","20.23","5.79","0.13"
"Maude Mod","R","20.23","5.79","0.13"
"Mother Oleander","R","20.23","5.79","0.13"
"Neighbors Charade","R","20.23","5.79","0.13"
"Splendor Patton","R","20.23","5.79","0.13"
"Troopers Metal","R","20.23","5.79","0.13"
"Darling Breaking","PG-13","20.40","6.32","0.09"
"Deep Crusade","PG-13","20.40","6.32","0.09"
"Impact Aladdin","PG-13","20.40","6.32","0.09"
"Intolerable Intentions","PG-13","20.40","6.32","0.09"
"Moulin Wake","PG-13","20.40","6.32","0.09"
"Packer Madigan","PG-13","20.40","6.32","0.09"
"Peach Innocent","PG-13","20.40","6.32","0.09"
"Spirited Casualties","PG-13","20.40","6.32","0.09"
"Birch Antitrust","PG","18.96","5.67","0.01"
"Cyclone Family","PG","18.96","5.67","0.01"
"Dream Pickup","PG","18.96","5.67","0.01"
"Legend Jedi","PG","18.96","5.67","0.01"
"Lovely Jingle","PG","18.96","5.67","0.01"
"Muppet Mile","PG","18.96","5.67","0.01"
"Others Soup","PG","18.96","5.67","0.01"
"Punk Divorce","PG","18.96","5.67","0.01"
"Wasteland Divine","PG","18.96","5.67","0.01"
"Won Dares","PG","18.96","5.67","0.01"
"Bowfinger Gables","NC-17","20.14","5.93","-0.02"
"California Birds","NC-17","20.14","5.93","-0.02"
"Cassidy Wyoming","NC-17","20.14","5.93","-0.02"
"Color Philadelphia","G","20.12","6.39","-0.02"
"Comforts Rush","NC-17","20.14","5.93","-0.02"
"Downhill Enough","G","20.12","6.39","-0.02"
"Dragonfly Strangers","NC-17","20.14","5.93","-0.02"
"Elf Murder","NC-17","20.14","5.93","-0.02"
"Hocus Frida","G","20.12","6.39","-0.02"
"Midnight Westward","G","20.12","6.39","-0.02"
"Mystic Truman","NC-17","20.14","5.93","-0.02"
"National Story","NC-17","20.14","5.93","-0.02"
"Panky Submarine","G","20.12","6.39","-0.02"
"Pity Bound","NC-17","20.14","5.93","-0.02"
"Racer Egg","NC-17","20.14","5.93","-0.02"
"Spartacus Cheaper","NC-17","20.14","5.93","-0.02"
"Stone Fire","G","20.12","6.39","-0.02"
"Wardrobe Phantom","G","20.12","6.39","-0.02"
"Werewolf Lola","G","20.12","6.39","-0.02"
"Analyze Hoosiers","R","20.23","5.79","-0.04"
"Crossing Divorce","R","20.23","5.79","-0.04"
"Date Speed","R","20.23","5.79","-0.04"
"Divine Resurrection","R","20.23","5.79","-0.04"
"Entrapment Satisfaction","R","20.23","5.79","-0.04"
"Grosse Wonderful","R","20.23","5.79","-0.04"
"Homeward Cider","R","20.23","5.79","-0.04"
"Quills Bull","R","20.23","5.79","-0.04"
"Rules Human","R","20.23","5.79","-0.04"
"Straight Hours","R","20.23","5.79","-0.04"
"Butch Panther","PG-13","20.40","6.32","-0.07"
"Destination Jerk","PG-13","20.40","6.32","-0.07"
